effective_C,SSE,RMSE,q0,q1,q2,s_mM,success
2.500000000000000000e-01,2.663466420553913250e-01,1.489817220487665850e-01,9.929803949245924466e-01,9.929803949245924466e-01,1.168453939410950618e-02,2.939573220980251089e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.265789918841284944e-01,1.027046704082992257e-01,9.952580950174696461e-01,9.952580950174696461e-01,5.211140857487971817e-02,3.971057602061285330e-01,1.000000000000000000e+00
1.000000000000000000e+01,3.195507203855214168e-02,5.160351412335544702e-02,9.967500053860168796e-01,9.967500053860168796e-01,1.099434793701702801e-01,4.969861655612740625e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.716288750814674163e-02,3.781852225667860917e-02,9.971771468731598365e-01,9.971771468731598365e-01,1.369548813773091844e-01,5.343228288648478319e-01,1.000000000000000000e+00
1.000000000000000000e+04,1.590404875573069379e-02,3.640518364616351227e-02,9.973467064680437977e-01,9.973467064680437977e-01,1.498354144802716004e-01,5.506831969621951428e-01,1.000000000000000000e+00
