G_mM,theta,p0_H,p1_H,p2_H,p3_H,p0_R,p1_R,p2_R,p3_R,UT_H,UR,UT_R
3.150552607819671804e-03,9.987350085858485160e-01,2.024243407411429803e-09,4.794537103408679868e-06,3.785379095517411863e-03,9.962098243431357636e-01,2.774959001467887617e-09,5.612412957418234516e-06,3.783741091662228776e-03,9.962106437204212295e-01,8.882568233664926982e-01,1.125060446925773509e-03,7.584861406198099010e-01
3.184825969237751759e-03,9.987329617649615132e-01,2.034085303416899171e-09,4.810055411238080682e-06,3.791488492037073822e-03,9.962036994184664263e-01,2.788450885799601103e-09,5.630576480657815264e-06,3.789845186801135777e-03,9.962045214482673217e-01,8.871563041651586712e-01,1.125486992885896308e-03,7.575461371402041344e-01
3.219472174232535649e-03,9.987308861316294140e-01,2.044098265912436493e-09,4.825817737873921896e-06,3.797683837341212475e-03,9.961974883008226644e-01,2.802177278735901571e-09,5.649025607808784189e-06,3.796035147364062480e-03,9.961983130248508456e-01,8.860458933682283655e-01,1.125922054580565448e-03,7.565976841159869348e-01
3.254495278791737136e-03,9.987287812293456080e-01,2.054285926757040695e-09,4.841828630811920731e-06,3.803966491843771645e-03,9.961911896252394483e-01,2.816143159054940537e-09,5.667765661073251434e-06,3.802312332211281887e-03,9.961920170859843715e-01,8.849255235535818942e-01,1.126365793511914862e-03,7.556407239391085273e-01
3.289899383026218590e-03,9.987266465935105142e-01,2.064652010417523508e-09,4.858092737423880204e-06,3.810337840037578572e-03,9.961848020025729777e-01,2.830353632489161506e-09,5.686802079538830631e-06,3.808678124248608167e-03,9.961856322433182420e-01,8.837951272862709651e-01,1.126818373983740594e-03,7.546751989901537838e-01
3.325688631650007727e-03,9.987244817512782591e-01,2.075200336699178670e-09,4.874614807456433781e-06,3.816799290949299869e-03,9.961783240190429378e-01,2.844813935463028074e-09,5.706140422095049567e-06,3.815133930878978133e-03,9.961791570838849363e-01,8.826546371296144500e-01,1.127279963142126511e-03,7.537010516478129807e-01
3.361867214465491093e-03,9.987222862213950281e-01,2.085934823593262674e-09,4.891399695640205856e-06,3.823352278619164546e-03,9.961717542357503286e-01,2.859529439005547272e-09,5.725786370498641297e-06,3.821681184485309357e-03,9.961725901696147911e-01,8.815039856565378695e-01,1.127750731016410879e-03,7.527182242985607230e-01
3.398439366853927938e-03,9.987200595140379722e-01,2.096859490201323909e-09,4.908452364343532094e-06,3.829998262578925873e-03,9.961650911881972936e-01,2.874505652751612267e-09,5.745745732468788034e-06,3.828321342904198940e-03,9.961659300368577163e-01,8.803431054611595696e-01,1.128230850560487525e-03,7.517266593465451452e-01
3.435409370271275391e-03,9.987178011306481196e-01,2.107978459771432377e-09,4.925777886322406952e-06,3.836738728347617155e-03,9.961583333857876310e-01,2.889748229105425310e-09,5.766024444906643406e-06,3.835055889921270764e-03,9.961591751958855934e-01,8.791719291706266981e-01,1.128720497694442240e-03,7.507262992236913846e-01
3.472781552749399508e-03,9.987155105637620656e-01,2.119295962826352600e-09,4.943381447532060470e-06,3.843575187930850685e-03,9.961514793113256383e-01,2.905262967530061594e-09,5.786628577187045636e-06,3.841886335770084565e-03,9.961523241303897880e-01,8.779903894572020917e-01,1.129219851346508147e-03,7.497170864000184398e-01
