PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,6.957894209284354314e-01,3.071471141608240196e-01,7.420459042190074017e-01,6.442422240964140734e-03
5.000000000000000000e-01,6.957894209284354314e-01,3.369262490618652461e-01,7.420459042190075127e-01,6.367034681541094976e-03
5.000000000000000000e-01,6.957894209284354314e-01,3.695925895870819655e-01,7.420459042190075127e-01,6.294965234370342166e-03
5.000000000000000000e-01,6.957894209284354314e-01,4.054260618103502356e-01,7.420459042190075127e-01,6.226637505101662029e-03
5.000000000000000000e-01,6.957894209284354314e-01,4.447337317522747635e-01,7.420459042190075127e-01,6.161601973778796371e-03
5.000000000000000000e-01,6.957894209284354314e-01,4.878524367060187439e-01,7.420459042190075127e-01,6.099729826771094210e-03
5.000000000000000000e-01,6.957894209284354314e-01,5.351516716806418161e-01,7.420459042190075127e-01,6.041525861753438420e-03
5.000000000000000000e-01,6.957894209284354314e-01,5.870367556966068490e-01,7.420459042190074017e-01,5.986462583238094659e-03
5.000000000000000000e-01,6.957894209284354314e-01,6.439523050662339099e-01,7.420459042190075127e-01,5.934603295209783802e-03
5.000000000000000000e-01,6.957894209284354314e-01,7.063860434225154306e-01,7.420459042190075127e-01,5.885958583272676847e-03
5.000000000000000000e-01,6.957894209284354314e-01,7.748729811453863858e-01,7.420459042190075127e-01,5.840296047898929643e-03
5.000000000000000000e-01,6.957894209284354314e-01,8.499999999999999778e-01,7.420459042190076238e-01,5.797499895286217786e-03
5.000000000000000000e-01,9.579511610221181916e-01,2.800000000000000266e-01,7.387214224220530756e-01,4.946623167369157414e-03
5.000000000000000000e-01,9.579511610221181916e-01,3.071471141608240196e-01,7.387214224220531866e-01,4.886168120829759154e-03
5.000000000000000000e-01,9.579511610221181916e-01,3.369262490618652461e-01,7.387214224220532977e-01,4.828280019001485179e-03
5.000000000000000000e-01,9.579511610221181916e-01,3.695925895870819655e-01,7.387214224220530756e-01,4.772949765940448508e-03
