C_cap,C_fit,SSE,RMSE,q0,q1,q2,s_mM
2.500000000000000000e-01,2.499999999999999445e-01,2.551507818056750754e-01,1.458168891125884714e-01,9.999989999999998602e-01,9.999980141287876378e-01,1.412778796002185991e-02,2.879965945845208708e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.223515590877139736e-01,1.009750625516493416e-01,9.999989999999998602e-01,9.999980533759571522e-01,5.337495742721256459e-02,3.925576195276052061e-01
1.000000000000000000e+01,9.999999999999998224e+00,3.147526286598240769e-02,5.121463240291001390e-02,9.999989999999998602e-01,9.999981106469705283e-01,1.106459708262258756e-01,4.937857279562031798e-01
1.000000000000000000e+02,9.999999999999995737e+01,1.698845269590963311e-02,3.762584738349161739e-02,9.942961660906913801e-01,9.942953081154519701e-01,1.363211857122483273e-01,5.372366301430570035e-01
1.000000000000000000e+04,9.999999999999990905e+03,1.497447408965023319e-02,3.532524367650117375e-02,9.907526726032777065e-01,9.907518302006340649e-01,1.483500290788046516e-01,5.574557223858456201e-01
