# S4 Fig: reported/calculated cascade coefficient against the downstream ladder factor nu_2 (twelve-site ladder K_i = (n-i+1)/i Khat2 w^(i-1)), Khat2 pinned to each reported midpoint
w,nu2,ratio_PII_36,ratio_PII_5,ratio_PII_0.5
1.0,1.0,0.9115870545337208,1.7092557287428871,1.4724741736246574
1.025,1.0722827802150274,0.8650431186742692,1.6237661340674274,1.4014174329674942
1.05,1.1524170227524988,0.8200691176137291,1.540393895378953,1.3314926212361196
1.075,1.2414776086474948,0.7765839671091044,1.4592395167928427,1.2629324105538526
1.1,1.340680511939639,0.7345149595998364,1.3803558128529168,1.1959008264228523
1.125,1.4513872832550483,0.6937972984959192,1.3037615412991974,1.130509339118233
1.15,1.5751025890842927,0.6543737608820341,1.2294521531615659,1.0668301554641038
1.175,1.7134613687217115,0.6161945107281875,1.1574083202284926,1.0049071012430655
1.2,1.8682015561628056,0.5792170932061522,1.087602822318574,0.9447645637659433
1.225,2.0411179902526624,0.5434066546727593,1.0200063070847385,0.8864149701451287
1.25,2.233993386788578,0.5087364531877856,0.9545923868117382,0.8298652608323914
1.275,2.4485034185142944,0.47518875208574113,0.8913425146332018,0.7751228040354473
1.3,2.686095387998813,0.44275622288434857,0.8302510825522017,0.7222011919059835
1.325,2.947843899707457,0.4114440154161088,0.7713311877556541,0.6711263520039158
1.35,3.234292242302574,0.3812726579337052,0.7146214704515444,0.6219433549836354
1.375,3.545294267639944,0.3522818689566591,0.6601942223123122,0.5747241033059244
1.4,3.8798771535554177,0.3245350793090317,0.6081643840092394,0.5295755625692203
1.425,4.236148780788619,0.2981238001360611,0.5586977828945718,0.48664708898770515
1.45,4.6112726409381,0.2731697881233405,0.5120147929369567,0.4461335528259048
1.475,5.001526933123738,0.24982147197676197,0.4683830114914211,0.40826880723520803
1.5,5.402452924763643,0.22824044527757562,0.4280916516788941,0.373303421950482
1.55,6.216222062193251,0.19093287463077932,0.35850235736910446,0.31290557773858396
1.6535714285714287,7.804533139137903,0.1386797609483663,0.26102046995889694,0.2282183359545708
1.7571428571428571,9.071699513479569,0.11135330216094308,0.20992749271535055,0.18374614533052344
1.8607142857142858,9.970940776195627,0.09710755529588087,0.18324331401580723,0.16048907940775947
1.9642857142857144,10.576253420348552,0.08924107016175038,0.16849577069137484,0.1476276895667245
2.067857142857143,10.97990352654103,0.08460616555045995,0.15980420386587876,0.14004610545960378
2.1714285714285717,11.25261409999583,0.08171149191345288,0.1543760450709839,0.135311058531262
2.275,11.440920059702448,0.07981298125187522,0.15081638009045806,0.13220611152997766
2.3785714285714286,11.57402800154196,0.07851692584598075,0.14838672153461852,0.13008701631197372
2.482142857142857,11.670216628101755,0.0776028624839581,0.14667346545737292,0.128592896491479
2.5857142857142854,11.741110541422458,0.07694083138840085,0.14543280143524467,0.1275110199858692
2.689285714285714,11.79427440559723,0.07645069303765806,0.14451440097512747,0.12671022736928603
2.7928571428571427,11.834751926971853,0.07608107751776894,0.1438219177934266,0.12610646494401687
2.8964285714285714,11.865984700116158,0.07579795173313487,0.14329153249126356,0.12564406116089452
3.0,11.890371168041236,0.07557812698887123,0.1428797686692336,0.1252850939076348
