# Fig 3B: residuals of the bounded fixed-exponent fits divided by sigma_hat = 0.0407 (h = 2 fit, 9 dof)
glutamine_mM,r_h1,r_h2,r_h3
0.02,1.185481959091021,0.053519082844692985,3.16915009553821
0.1,5.264534843939264,-0.8109772943369128,0.7913815065802794
0.2,9.672012345291728,1.8277093093949346,0.5071522172153327
0.3,4.91303417861742,-1.676642197826806,-4.70178783436937
0.4,4.094914052787618,0.034909158671488305,-2.580057127763235
0.5,2.541503150836883,1.1813227139396971,0.2550440400807752
0.6,-1.0561287959856762,-0.06692584010960954,0.788502964378795
0.8,-4.858485171224759,-0.688807184775776,2.0613701935427557
1.0,-5.942784080452813,-0.26680284828131823,2.5068893198604703
1.3,-5.992802580715489,0.1558539520652222,1.7875242553659627
2.0,-4.056545507470696,0.4314608385801473,-0.38981294323348475
10.0,5.931655234346499,-0.17461980845042727,-4.195356822117622
