G_mM,PII_uM,GS_odds,large_pool_limit,odds_above_large_pool_limit
5.300000000000000266e-01,2.519547956526361432e+00,1.005882714529985344e+00,9.940245644289517069e-01,1.185815010103363765e-02
5.300000000000000266e-01,2.611743154910330045e+00,1.005464118812034791e+00,9.940245644289517069e-01,1.143955438308308370e-02
5.300000000000000266e-01,2.707311956318223967e+00,1.005060299629513265e+00,9.940245644289517069e-01,1.103573520056155832e-02
5.300000000000000266e-01,2.806377807497405730e+00,1.004670735366956835e+00,9.940245644289517069e-01,1.064617093800512837e-02
5.300000000000000266e-01,2.909068672353696261e+00,1.004294922822061897e+00,9.940245644289517069e-01,1.027035839311019050e-02
5.300000000000000266e-01,3.015517197243059222e+00,1.003932376555692896e+00,9.940245644289517069e-01,9.907812126741188941e-03
5.300000000000000266e-01,3.125860882311624955e+00,1.003582628264840348e+00,9.940245644289517069e-01,9.558063835888641613e-03
5.300000000000000266e-01,3.240242259105392986e+00,1.003245226177709171e+00,9.940245644289517069e-01,9.220661748757463805e-03
5.300000000000000266e-01,3.358809074679009576e+00,1.002919734470165469e+00,9.940245644289517069e-01,8.895170041213762424e-03
5.300000000000000266e-01,3.481714482441454983e+00,1.002605732702775976e+00,9.940245644289517069e-01,8.581168273824268944e-03
5.300000000000000266e-01,3.609117239985146330e+00,1.002302815277728465e+00,9.940245644289517069e-01,8.278250848776758097e-03
5.300000000000000266e-01,3.741181914153992150e+00,1.002010590914915289e+00,9.940245644289517069e-01,7.986026485963582111e-03
5.300000000000000266e-01,3.878079093615292461e+00,1.001728682146517446e+00,9.940245644289517069e-01,7.704117717565739376e-03
5.300000000000000266e-01,4.019985609210065647e+00,1.001456724829424827e+00,9.940245644289517069e-01,7.432160400473120099e-03
5.300000000000000266e-01,4.167084762366410011e+00,1.001194367674872465e+00,9.940245644289517069e-01,7.169803245920758350e-03
5.300000000000000266e-01,4.319566561870974652e+00,1.000941271794678622e+00,9.940245644289517069e-01,6.916707365726915135e-03
5.300000000000000266e-01,4.477627969304355027e+00,1.000697110263500722e+00,9.940245644289517069e-01,6.672545834549015176e-03
5.300000000000000266e-01,4.641473153457454259e+00,1.000461567696542931e+00,9.940245644289517069e-01,6.437003267591223654e-03
5.300000000000000266e-01,4.811313754057428227e+00,1.000234339842173581e+00,9.940245644289517069e-01,6.209775413221874096e-03
5.300000000000000266e-01,4.987369155143898780e+00,1.000015133188921324e+00,9.940245644289517069e-01,5.990568759969616686e-03
5.300000000000000266e-01,5.169866768448514449e+00,9.998036645863443983e-01,9.940245644289517069e-01,5.779100157392691450e-03
5.300000000000000266e-01,5.359042327143944462e+00,9.995996608792839799e-01,9.940245644289517069e-01,5.575096450332273079e-03
5.300000000000000266e-01,5.555140190341711026e+00,9.994028585550270849e-01,9.940245644289517069e-01,5.378294126075378045e-03
5.300000000000000266e-01,5.758413658732213669e+00,9.992130034029278463e-01,9.940245644289517069e-01,5.188438973976139401e-03
5.300000000000000266e-01,5.969125301774607983e+00,9.990298501860388480e-01,9.940245644289517069e-01,5.005285757087141185e-03
5.300000000000000266e-01,6.187547296859235324e+00,9.988531623243417368e-01,9.940245644289517069e-01,4.828597895390029926e-03
5.300000000000000266e-01,6.413961780880652164e+00,9.986827115891517836e-01,9.940245644289517069e-01,4.658147160200076797e-03
5.300000000000000266e-01,6.648661214675415820e+00,9.985182778083152577e-01,9.940245644289517069e-01,4.493713379363550864e-03
5.300000000000000266e-01,6.891948760795351347e+00,9.983596485818108102e-01,9.940245644289517069e-01,4.335084152859103312e-03
5.300000000000000266e-01,7.144138675104303893e+00,9.982066190073931589e-01,9.940245644289517069e-01,4.182054578441452009e-03
5.300000000000000266e-01,7.405556712704153277e+00,9.980589914159176956e-01,9.940245644289517069e-01,4.034426986965988782e-03
