G_mM,total_log_ratio_sensitivity,via_PII,direct_glutamine
7.832682429863331575e-02,1.295810359147608892e+00,3.423264016489079298e-01,9.534839574820496155e-01
7.941021345658844099e-02,1.312317662316431210e+00,3.613409736913757997e-01,9.509766885869438413e-01
8.050858767334159727e-02,1.329743799338700683e+00,3.814042175586392358e-01,9.483395817241216941e-01
8.162215421696947248e-02,1.348133533385365013e+00,4.025664388437157903e-01,9.455670944812043510e-01
8.275112322240825435e-02,1.367532820850669628e+00,4.248792135590517272e-01,9.426536071883796497e-01
8.389570773110680002e-02,1.387988703616116259e+00,4.483952594610415843e-01,9.395934440804688537e-01
8.505612373122846404e-02,1.409549180708679961e+00,4.731682829581886907e-01,9.363808976775627180e-01
8.623259019840923134e-02,1.432263053668947128e+00,4.992527969799628318e-01,9.330102566023323885e-01
8.742532913707928843e-02,1.456179744518948160e+00,5.267039074068414761e-01,9.294758370383640056e-01
8.863456562235604019e-02,1.481349087839589407e+00,5.555770697694814020e-01,9.257720180132978927e-01
8.986052784251720438e-02,1.507821089186123009e+00,5.859278084364671901e-01,9.218932806622920362e-01
9.110344714206049244e-02,1.535645653705230762e+00,6.178114020244356297e-01,9.178342515904129861e-01
9.236355806535970214e-02,1.564872279669060395e+00,6.512825291626423985e-01,9.135897504059248275e-01
9.364109840092414705e-02,1.595549717681165935e+00,6.863948761833504886e-01,9.091548414393934019e-01
9.493630922627022128e-02,1.627725596087259197e+00,7.232007063882116560e-01,9.045248895953370560e-01
9.624943495341412025e-02,1.661446007483746490e+00,7.617503871962634232e-01,8.996956202032017069e-01
9.758072337499333615e-02,1.696755063296251143e+00,8.020918805441170640e-01,8.946631826427675627e-01
9.893042571102600435e-02,1.733694411942820812e+00,8.442701944102726230e-01,8.894242174156369307e-01
1.002987966563176070e-01,1.772302726399388240e+00,8.883268000574481293e-01,8.839759262199866630e-01
1.016860944285228191e-01,1.812615160634578393e+00,9.342990160426245527e-01,8.783161444613569735e-01
