lambda,G_mM,mean_bound_glutamine,E1_fraction
1.000000000000000000e+00,1.734815375854532882e-02,5.000000000000000000e-01,3.750000000000000000e-01
1.000000000000000000e+00,5.204446127563598645e-02,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.561333838269079455e-01,1.500000000000000000e+00,3.750000000000000555e-01
2.000000000000000000e+00,1.734815375854532882e-02,3.846153846153845812e-01,2.307692307692307543e-01
2.000000000000000000e+00,5.204446127563598645e-02,1.000000000000000000e+00,3.333333333333333148e-01
2.000000000000000000e+00,1.561333838269079455e-01,1.615384615384615419e+00,2.307692307692307543e-01
4.000000000000000000e+00,1.734815375854532882e-02,3.043478260869564300e-01,1.304347826086956208e-01
4.000000000000000000e+00,5.204446127563598645e-02,1.000000000000000000e+00,2.000000000000000111e-01
4.000000000000000000e+00,1.561333838269079455e-01,1.695652173913043237e+00,1.304347826086956486e-01
