# Fig 6a: n=3, Bhat=1.5, Ghat=0.8, T_E=1, T_S=4, T_L=2
l,R
0.001,-1.994906757290804
0.001009259087271587,-1.9948605647892004
0.001018603905240278,-1.9948139619955054
0.0010280352476940771,-1.9947669454192773
0.0010375539157707453,-1.994719511543085
0.0010471607180258435,-1.9946716568223448
0.0010568564705014227,-1.9946233776851603
0.0010666419967953378,-1.9945746705321594
0.0010765181281312058,-1.9945255317363337
0.0010864857034290193,-1.9944759576428748
0.0010965455693764002,-1.9944259445690133
0.0011066985805005284,-1.9943754888038572
0.0011169455992407254,-1.994324586608228
0.0011272874960217105,-1.9942732342145006
0.0011377251493275456,-1.99422142782644
0.0011482594457762486,-1.9941691636190397
0.0011588912801951152,-1.9941164377383593
0.0011696215556967241,-1.994063246301363
0.0011804511837556495,-1.9940095853957573
0.0011913810842858925,-1.99395545107983
0.0012024121857190137,-1.9939008393822881
0.0012135454250830058,-1.9938457463020967
0.0012247817480818858,-1.993790167808317
0.001236122109176023,-1.9937340998399469
0.0012475674716632232,-1.993677538305759
0.0012591188077605462,-1.99362047908414
0.001270777098686898,-1.9935629180229315
0.0012825433347463753,-1.9935048509392694
0.0012944185154123843,-1.9934462736194243
0.001306403649412547,-1.9933871818186424
0.0013184997548143778,-1.9933275712609873
0.0013307078591117702,-1.9932674376391804
0.0013430289993122742,-1.9932067766144437
0.0013554642220251789,-1.9931455838163423
0.001368014583550425,-1.9930838548426275
0.0013806811499683224,-1.9930215852590798
0.0013934649972301143,-1.992958770599353
0.0014063672112493712,-1.9928954063648192
0.0014193888879942276,-1.9928314880244142
0.0014325311335804886,-1.9927670110144826
0.0014457950643655757,-1.9927019707386253
0.0014591818070433665,-1.9926363625675456
0.0014726924987398947,-1.9925701818388983
0.001486328287109939,-1.9925034238571377
0.00150009033043452,-1.9924360838933672
0.001513979797719277,-1.9923681571851901
0.0015279978687937794,-1.99229963893656
0.0015421457344117417,-1.9922305243176333
0.0015564245963521658,-1.9921608084646225
0.0015708356675214368,-1.9920904864796496
0.0015853801720563394,-1.9920195534306007
0.001600059345428053,-1.9919480043509834
0.0016148744345470913,-1.991875834239782
0.0016298266978692177,-1.9918030380613163
0.001644917405502353,-1.9917296107451017
0.0016601478393144518,-1.991655547185708
0.001675519293042401,-1.991580842242622
0.0016910330724019102,-1.9915054907401095
0.0017066904951984195,-1.9914294874670804
0.0017224928914390516,-1.991352827176953
0.0017384416034455742,-1.9912755045875214
0.0017545379859684363,-1.9911975143808234
0.0017707834063018326,-1.9911188512030096
0.0017871792443998594,-1.991039509664215
0.0018037268929937285,-1.9909594843384308
0.001820427757710066,-1.9908787697633792
0.0018372832571903232,-1.990797360440388
0.0018542948232112759,-1.9907152508342678
0.0018714639008066414,-1.9906324353731928
0.0018887919483898366,-1.9905489084485781
0.0019062804378778492,-1.9904646644149648
0.0019239308548162813,-1.990379697589902
0.0019417446985055243,-1.9902940022538342
0.0019597234821281287,-1.990207572649988
0.0019778687328773333,-1.9901204029842618
0.001996181992086788,-1.990032487425118
0.002014664815361492,-1.9899438201034763
0.00203331877270992,-1.9898543951126082
0.0020521454486773973,-1.9897642065080365
0.002071146442480694,-1.9896732483074335
0.0020903233681438594,-1.9895815144905236
0.0021096778546353433,-1.9894889989989872
0.0021292115460063467,-1.9893956957363674
0.0021489261015304904,-1.9893015985679783
0.0021688231958447548,-1.9892067013208157
0.002188904519091724,-1.9891109977834711
0.0022091717770631675,-1.9890144817060469
0.0022296266913449225,-1.9889171468000753
0.002250270999463145,-1.988818986738438
0.002271106455031898,-1.9887199951552905
0.002292134827902103,-1.9886201656459876
0.002313357904311895,-1.988519491767012
0.0023347774870383347,-1.9884179670359043
0.0023563953955505596,-1.9883155849311995
0.0023782134661643303,-1.9882123388923616
0.0024002335521980094,-1.9881082223197233
0.002422457524130005,-1.98800322857443
0.002444887269757637,-1.9878973509783828
0.0024675246943575155,-1.9877905828141886
0.0024903717208473704,-1.9876829173251107
0.002513430289949389,-1.9875743477150227
0.002536702360355083,-1.9874648671483663
0.0025601899088916517,-1.9873544687501121
0.0025838949306899186,-1.9872431456057225
0.002607819439353788,-1.9871308907611194
0.002631965467131306,-1.9870176972226539
0.0026563350650872807,-1.9869035579570793
0.002680930303277501,-1.986788465891529
0.002705753270924592,-1.986672413913496
0.0027308060765954653,-1.9865553948708163
0.002756090848380443,-1.9864374015716568
0.002781609734074023,-1.9863184267845047
0.00280736490135731,-1.986198463238163
0.0028333585379821708,-1.986077503621747
0.002859592851957044,-1.9859555405846867
0.002886070071734521,-1.9858325667367311
0.002912792446400629,-1.985708574647957
0.002939762245865872,-1.9855835568487823
0.0029669817610580643,-1.985457505829981
0.002994453304116908,-1.9853304140427044
0.0030221792085904186,-1.9852022738985047
0.0030501618296331365,-1.9850730777693628
0.003078403544206173,-1.98494281798772
0.0031069067512791444,-1.984811486846514
0.003135673872033921,-1.9846790765992186
0.0031647073500703183,-1.984545579459887
0.0031940096516136557,-1.9844109876032006
0.003223583265724238,-1.9842752931645204
0.0032534307045088097,-1.9841384882399429
0.0032835545033339177,-1.9840005648863603
0.003313957221041299,-1.983861515121526
0.00334464144016523,-1.983721330924121
0.0033756097671518866,-1.9835800042338296
0.003406864832580771,-1.9834375269514137
0.003438409291388137,-1.9832938909387963
0.003470245823092536,-1.9831490880191458
0.0035023771320224135,-1.9830031099769667
0.00353480594754582,-1.982855948558194
0.003567535024302275,-1.982707595470292
0.0036005671424367337,-1.9825580423823561
0.0036339051078357644,-1.9824072809252227
0.003667551752365885,-1.9822553026915786
0.003701509934114103,-1.982102099236079
0.003735782537630716,-1.9819476620754677
0.0037703724741743098,-1.9817919826887023
0.003805282681959079,-1.9816350525170834
0.0038405161264044013,-1.9814768629643904
0.003876075800386717,-1.9813174053970175
0.003911964724493788,-1.9811566711441186
0.003948185947281246,-1.980994651497755
0.003984742545531577,-1.9808313377130458
0.004021637624515464,-1.980666721008325
0.004058874318255551,-1.9805007925653038
0.004096455789792687,-1.9803335435292335
0.004134385231454575,-1.9801649650090771
0.004172665865126973,-1.9799950480776827
0.004211300942527361,-1.979823783771962
0.004250293745481138,-1.9796511630930747
0.004289647586200433,-1.979477177006613
0.004329365807565416,-1.9793018164427973
0.0043694517834082895,-1.9791250722966682
0.004409908918799863,-1.9789469354282905
0.004450740650338781,-1.9787673966629549
0.004491950446443472,-1.9785864467913894
0.004533541807646737,-1.9784040765699706
0.004575518266893127,-1.9782202767209427
0.004617883389839036,-1.9780350379326375
0.004660640775155568,-1.9778483508597011
0.004703794054834255,-1.977660206123323
0.004747346894495538,-1.9774705943114705
0.00479130299370017,-1.9772795059791255
0.004835666086263461,-1.9770869316485267
0.004880439940572428,-1.976892861809415
0.004925628359905933,-1.9766972869192827
0.004971235182757706,-1.9765001974036267
0.005017264283162444,-1.976301583656205
0.005063719571024867,-1.9761014360392972
0.005110604992451829,-1.9758997448839681
0.005157924530087554,-1.9756965004903353
0.005205682203451895,-1.9754916931278406
0.005253882069281803,-1.9752853130355226
0.005302528221875915,-1.9750773504222952
0.005351624793442318,-1.9748677954672273
0.005401175954449595,-1.974656638319827
0.005451185913981042,-1.9744438691003277
0.005501658920092238,-1.9742294778999772
0.005552599260171883,-1.97401345478133
0.005604011261305965,-1.973795789778542
0.005655899290645358,-1.9735764728976684
0.0057082677557767515,-1.9733554941169622
0.005761121105097074,-1.9731328433871769
0.005814463828191356,-1.9729085106318711
0.005868300456214066,-1.972682485747714
0.005922635562274053,-1.9724547586047947
0.005977473761822953,-1.9722253190469312
0.006032819713047294,-1.9719941568919828
0.006088678117264156,-1.971761261932163
0.006145053719320507,-1.971526623934355
0.006201951307996292,-1.9712902326404265
0.006259375716411164,-1.9710520777675478
0.006317331822435068,-1.9708121490085093
0.006375824549102575,-1.9705704360320402
0.006434858865031042,-1.970326928483128
0.006494439784842717,-1.9700816159833383
0.0065545723695906435,-1.9698344881311356
0.0066152617271886165,-1.9695855345022022
0.0066765130128450525,-1.9693347446497598
0.006738331429500871,-1.9690821081048882
0.0068007222282715045,-1.968827614376845
0.006863690708892893,-1.968571252953386
0.0069272422201717134,-1.9683130133010804
0.006991382160439713,-1.9680528848656296
0.007056115978012241,-1.9677908570721827
0.007121449171651103,-1.9675269193256502
0.007187387291031592,-1.9672610610110164
0.007253935937213949,-1.9669932714936509
0.007321100763119123,-1.9667235401196164
0.007388887474008925,-1.9664518562159747
0.007457301827970718,-1.966178209091091
0.007526349636406465,-1.9659025880349346
0.00759603676452643,-1.9656249823193752
0.007666369131847372,-1.9653453811984798
0.0077373527126953475,-1.965063773908801
0.007808993536713253,-1.964780149669666
0.00788129768937294,-1.9644944976834584
0.007954271312492201,-1.964206807135898
0.008027920604756456,-1.9639170671963135
0.008102251822245268,-1.9636252670179128
0.00817727127896382,-1.9633313957380467
0.008252985347379189,-1.9630354424784675
0.008329400458961703,-1.9627373963455823
0.008406523104731235,-1.9624372464306998
0.008484359835808555,-1.9621349818102711
0.008562917263971863,-1.9618305915461236
0.008642202062218357,-1.9615240646856886
0.008722220965331127,-1.961215390262222
0.008802980770451203,-1.9609045572950154
0.008884488337654914,-1.9605915547896027
0.008966750590536667,-1.9602763717379557
0.009049774516797001,-1.9599589971186733
0.00913356716883621,-1.9596394198971603
0.009218135664353375,-1.959317629025799
0.009303487186950952,-1.9589936134441095
0.009389628986745033,-1.958667362078902
0.009476568380981128,-1.9583388638444168
0.009564312754655796,-1.9580081076424576
0.009652869561143917,-1.95767508236251
0.009742246322831804,-1.9573397768818512
0.009832450631756202,-1.9570021800656483
0.009923490150249204,-1.9566622807670435
0.010015372611589102,-1.9563200678272292
0.010108105820657272,-1.9559755300755084
0.010201697654601181,-1.955628656329344
0.010296156063503484,-1.9552794353943934
0.010391489071057343,-1.954927856064532
0.01048770477524801,-1.954573907121859
0.010584811349040678,-1.9542175773366928
0.010682817041074736,-1.953858855467549
0.01078173017636445,-1.9534977302611045
0.010881559157006112,-1.9531341904521469
0.010982312462891775,-1.9527682247635054
0.011083998652429533,-1.9523998219059697
0.011186626363270539,-1.9520289705781877
0.011290204313042703,-1.9516556594665506
0.011394741300091214,-1.9512798772450575
0.011500246204225921,-1.950901612575164
0.011606727987475593,-1.9505208541056114
0.011714195694849208,-1.95013759047224
0.011822658455104272,-1.94975181029778
0.01193212548152225,-1.9493635021916258
0.012042606072691198,-1.9489726547495898
0.012154109613295596,-1.9485792565536364
0.012266645574913542,-1.9481832961715946
0.0123802235168213,-1.9477847621568518
0.012494853086805303,-1.9473836430480242
0.012610544021981697,-1.9469799273686073
0.012727306149623424,-1.946573603626603
0.012845149387995,-1.9461646603141267
0.012964083747195026,-1.945753085906988
0.013084119330006475,-1.945338868864252
0.013205266332754864,-1.9449219976277743
0.013327535046174399,-1.9445024606217138
0.013450935856282068,-1.944080246252021
0.013575479245259911,-1.9436553429058998
0.013701175792345399,-1.943227738951247
0.013828036174730081,-1.9427974227360643
0.013956071168466576,-1.9423643825878458
0.014085291649383895,-1.9419286068129376
0.014215708594011306,-1.9414900836958724
0.014347333080510713,-1.9410488014986775
0.01448017628961769,-1.9406047484601525
0.014614249505591233,-1.940157912795123
0.014749564117172258,-1.939708282693664
0.014886131618551034,-1.9392558463202954
0.015023963610343536,-1.9388005918131486
0.015163071800576855,-1.9383425072831038
0.015303468005683746,-1.9378815808128986
0.015445164151506319,-1.9374178004562055
0.015588172274309113,-1.9369511542366797
0.015732504521801482,-1.9364816301469767
0.015878173154169478,-1.9360092161477387
0.016025190545117314,-1.9355339001665486
0.016173569182918377,-1.935055670096855
0.016323321671476074,-1.9345745137968624
0.01647446073139447,-1.9340904190883907
0.016626999201058784,-1.9336033737557021
0.016780950037726006,-1.933113365544294
0.01693632631862546,-1.9326203821596601
0.0170931412420697,-1.9321244112660176
