# Fig 5b; the data points are data/jiangninfa2011_fig2B_digitised.csv
glutamine_mM,fit_h1,fit_h2,fit_h3
0.013999999999999999,3.245420411305531,2.969458446538347,2.8409607470051785
0.014195152407454082,3.244364344871573,2.9694142166915194,2.8409591975394166
0.01439302513363211,3.24329426378878,2.9693687467887253,2.8409575823724005
0.014593656098301787,3.2422099918066083,2.9693220021096467,2.840955898718332
0.014797083749811835,3.2411113507243847,2.9692739469644884,2.8409541436733017
0.015003347072460083,3.2399981603771426,2.9692245446670578,2.840952314210284
0.015212485593964362,3.2388702386215806,2.9691737575071064,2.8409504071739127
0.015424539393037413,3.2377274013221546,2.9691215467219134,2.840948419275045
0.015639549107067535,3.2365694623373003,2.9690678724670905,2.8409463470850884
0.015857555939906152,3.2353962335058064,2.9690126937865884,2.8409441870300913
0.01607860166976405,3.2342075246333453,2.9689559685818745,2.8409419353845813
0.016302728657217602,3.2330031434791717,2.9688976535802816,2.8409395882651403
0.016529979853326663,3.23178289574299,2.9688377043024783,2.840937141623712
0.016760398807865534,3.2305465850520196,2.968776075029057,2.8409345912406234
0.016994029677668793,3.2292940129482472,2.968712718766211,2.840931932717309
0.01723091723509331,3.2280249788758937,2.968647587210472,2.840929161468731
0.017471106876598357,3.226739280169097,2.9685806307124896,2.840926272715471
0.017714644631445196,3.225436712039829,2.968511798239825,2.8409232614755
0.01796157717051807,3.224117067566051,2.9684410373387298,2.840920122555583
0.018211951815267996,3.2227801376801244,2.9683682940948923,2.840916850542331
0.018465816546781377,3.221425711157492,2.9682935130931103,2.84091343979287
0.018723220014974947,3.2200535746056316,2.9682166373758765,2.8409098844251215
0.018984211547918864,3.2186635124533094,2.968137608400842,2.8409061783076535
0.019248841161289873,3.2172553069401344,2.9680563659971213,2.8409023150491244
0.019517159567956088,3.215828738106431,2.967972848320425,2.8408982879872644
0.019789218187695537,3.2143835837834507,2.967886991806977,2.840894090177395
0.02006506915705003,3.2129196195839214,2.9677987311261864,2.840889714380463
0.02034476533931654,3.211436618892968,2.9677079991320507,2.840885153050568
0.020628360334677687,3.2099343528594035,2.9676147268132427,2.840880398321957
0.020915908490473607,3.2084125903874154,2.9675188432418613,2.840875441995478
0.021207464911616836,3.2068710981286586,2.9674202755208086,2.840870275524452
0.021503085471152567,3.205309640474767,2.9673189487297504,2.8408648899999456
0.021802826820965876,3.2037279795503153,2.9672147858696345,2.840859276135432
0.022106746402638457,3.2021258752062254,2.9671077078057237,2.8408534242507875
0.022414902458456443,3.200503085013655,2.9669976332091093,2.8408473242556207
0.022727354042571903,3.1988593642583716,2.966884478496662,2.840840965631897
0.023044161032319703,3.1971944659356373,2.966768157769396,2.840834337415817
0.023365384139692334,3.1955081407456163,2.9666485827491753,2.840827428178943
0.023691084922974517,3.193800137089336,2.966525662713762,2.840820226008515
0.024021325798540064,3.1920702010651976,2.966399304430131,2.8408127184869407
0.02435617005281322,3.1903180764660846,2.9662694120860253,2.8408048926704144
0.024695681854396617,3.188543504777062,2.966135887219707,2.840796735066635
0.025039926266368463,3.186746225173705,2.9659986286478572,2.8407882316115796
0.02538896925875093,3.1849259745210645,2.965857532391575,2.8407793676452924
0.025742877721152586,3.1830824873733006,2.965712491600442,2.8407701278866586
0.0261017194755868,3.1812154959739987,2.965563396474595,2.840760496407099
0.026465563289469096,3.17932473025719,2.9654101341847623,2.8407504566031667
0.026834478888795404,3.1774099178490998,2.9652525887902152,2.8407399911679754
0.027208536971504292,3.1754707840706455,2.965090641154582,2.8407290820614213
0.027587809221025186,3.1735070519407094,2.9649241688594845,2.840717710479158
0.027972368320015706,3.1715184421802025,2.9647530461159297,2.840705856820242
0.028362287964290234,3.1695046732169487,2.9645771436734147,2.840693500653429
0.02875764287694291,3.1674654611914086,2.9643963287266946,2.840680620682037
0.029158508822667212,3.165400519963276,2.9642104648201464,2.840667194707332
0.0295649626222754,3.1633095611189566,2.96401941174969,2.840653199590358
