# Fig 5c, sigma_hat = 0.0407
glutamine_mM,r_over_sigma_h1,r_over_sigma_h2,r_over_sigma_h3
0.02,-5.971236663726849,0.05351914611294134,3.169146378765304
0.1,0.5244509383299872,-0.8109772409064715,0.7913780060584164
0.2,6.9167237978537806,1.8277093385230216,0.5071501052679593
0.3,3.4467715852445546,-1.6766421942967598,-4.701787146493543
0.4,3.492271143515021,0.034909143849746735,-2.580053497153705
0.5,2.530633257631014,1.1813226898131515,0.2550492711566355
0.6,-0.655171417988668,-0.06692586642047632,0.7885081873582469
0.8,-3.964457529251257,-0.688807204258926,2.0613731072194383
1.0,-4.8065108645107895,-0.26680285662023995,2.5068898681847838
1.3,-4.720491002741446,0.15585395849392827,1.7875226673006908
2.0,-2.840193150876112,0.43146086458195904,-0.38981623885484684
10.0,6.047210353670228,-0.17461976273882554,-4.195360860493438
