# Fig 5d
h,likelihood_ratio,posterior_density_at_h
0.8,3.3180846769922367e-10,0.0008926464818778375
0.8200000000000001,4.213005576538465e-10,0.0008926464818778375
0.8400000000000001,5.376191456188468e-10,0.0008926464818778375
0.8600000000000001,6.894913970873896e-10,0.0008926464818778375
0.8800000000000001,8.886893508986606e-10,0.0008926464818778375
0.9000000000000001,1.151160930820524e-09,0.0008926464818778375
0.9200000000000002,1.498606055786314e-09,0.0008926464818778375
0.9400000000000002,1.960682796285728e-09,0.0008926464818778375
0.9600000000000002,2.5781094587449044e-09,0.0008926464818778375
0.9800000000000002,3.4070466384492085e-09,0.0008926464818778375
1.0000000000000002,4.525316627939268e-09,0.0008926464818778375
1.0200000000000002,6.041273146079204e-09,0.0008926464818778375
1.0400000000000003,8.106513090310073e-09,0.0008926464818778375
1.0600000000000003,1.0934186175127328e-08,0.0008926464818778375
1.0800000000000003,1.4825503138424183e-08,0.0008926464818778375
1.1000000000000003,2.020831513616458e-08,0.0008926464818778375
1.1200000000000003,2.7693562503365223e-08,0.0008926464818778375
1.1400000000000003,3.8158322486762406e-08,0.0008926464818778375
1.1600000000000004,5.286867381294276e-08,0.0008926464818778375
1.1800000000000004,7.366250780926362e-08,0.0008926464818778375
1.2000000000000004,1.0322312281348309e-07,0.0008926464818778375
1.2200000000000004,1.454911239805445e-07,0.0008926464818778375
1.2400000000000004,2.0628831001068091e-07,0.0008926464818778375
1.2600000000000005,2.9426849225000313e-07,0.0008926464818778375
1.2800000000000005,4.223756826090842e-07,0.0008926464818778375
1.3000000000000005,6.100946718302054e-07,0.0008926464818778375
1.3200000000000005,8.869470670185564e-07,0.0008926464818778375
1.3400000000000005,1.2979575321178469e-06,0.0008926464818778375
1.3600000000000005,1.9122568356893896e-06,0.0008926464818778375
1.3800000000000006,2.8367112124559933e-06,0.0008926464818778375
1.4000000000000006,4.237656983613195e-06,0.0008926464818778375
1.4200000000000006,6.375787025228934e-06,0.0008926464818778375
1.4400000000000006,9.662506978320778e-06,0.0008926464818778375
1.4600000000000006,1.4751542138218402e-05,0.0008926464818778375
1.4800000000000006,2.268873360732848e-05,0.0008926464818778375
1.5000000000000007,3.515835695896072e-05,0.0008926464818778375
1.5200000000000007,5.4890218957302476e-05,0.0008926464818778375
1.5400000000000007,8.633544083874876e-05,0.0008926464818778375
1.5600000000000007,0.00013679220310989243,0.0010259866328695521
1.5800000000000007,0.00021828545391740703,0.0014023343334197806
1.6000000000000008,0.0003507081694676384,0.002479012114086984
1.6200000000000008,0.0005670649741762161,0.004554810039265024
1.6400000000000008,0.0009221932075112512,0.0065682251789196825
1.6600000000000008,0.0015071667908233852,0.008449203477697675
1.6800000000000008,0.00247281744715094,0.011083594002974336
1.7000000000000008,0.004067488748107271,0.01579056084502807
1.7200000000000009,0.006696121795285101,0.02433267421242854
1.7400000000000009,0.011009377931561266,0.03606990109081078
1.760000000000001,0.018030930177777668,0.05233166130786165
1.780000000000001,0.029324523569761313,0.07469062911002704
1.800000000000001,0.047183480159123714,0.10397431625620407
1.820000000000001,0.07478580024927034,0.1468937766312351
1.840000000000001,0.11619328873394993,0.2072129684585628
1.860000000000001,0.1759956695448763,0.28040627814734653
1.880000000000001,0.2583604993558761,0.3674784110144971
1.900000000000001,0.3653454537273106,0.47238091872781773
1.920000000000001,0.49466926373721704,0.5859170578103374
1.940000000000001,0.6377112509837427,0.7018017133442636
1.960000000000001,0.779024360873007,0.8202030075784791
1.980000000000001,0.8985428465135238,0.9277150528670116
2.000000000000001,0.9765432110713241,0.9927697043428558
2.0200000000000014,0.9996743778570657,0.9911929211859299
2.040000000000001,0.9652711058904915,0.9468187024755893
2.0600000000000014,0.8818085609045639,0.8880048393187102
2.080000000000001,0.7654659032452376,0.8105849941015011
2.1000000000000014,0.6347732951886678,0.7145569146244505
2.120000000000001,0.505844547239779,0.6068382313765552
2.1400000000000015,0.38973747156521965,0.49999790045274084
2.160000000000001,0.292068648627154,0.4052914212047557
2.1800000000000015,0.2140938400109936,0.32265414078422167
2.200000000000001,0.15429769574078908,0.2499850185068103
2.2200000000000015,0.10983113717275272,0.19197379653885147
2.240000000000001,0.07751954481457908,0.1471927600670341
2.2600000000000016,0.05443352484104794,0.11343650774029775
2.280000000000001,0.038132908856677125,0.0899135325905057
2.3000000000000016,0.02671182142156333,0.0714142478384265
2.320000000000001,0.01874471578451364,0.055773145447951276
2.3400000000000016,0.013196666332776072,0.04201120770361191
2.360000000000001,0.009331672959213546,0.03147302981990313
2.3800000000000017,0.006633594823073017,0.024879863371821097
2.4000000000000012,0.004743743244602992,0.019768920457094212
2.4200000000000017,0.003414180558076998,0.014263118202333409
2.4400000000000013,0.0024739528703821754,0.010283424537727112
2.4600000000000017,0.0018052240036633416,0.0072006612505665125
2.4800000000000013,0.0013266593288221934,0.004118893584064889
2.5000000000000018,0.0009819683421378048,0.0023656040090448477
2.5200000000000014,0.0007320497184336464,0.0021344843924097573
2.540000000000002,0.0005496215545482147,0.0021443104586899393
2.5600000000000014,0.0004155530690623339,0.002153242659331731
2.580000000000002,0.00031635623648486235,0.0020858565057248406
2.6000000000000014,0.0002424667725425246,0.0017351762956567909
2.620000000000002,0.0001870623208759929,0.0015369229878533543
2.6400000000000015,0.00014524677850188042,0.0015369229878533543
2.660000000000002,0.0001134848067774131,0.0015369229878533543
2.6800000000000015,8.920787317724056e-05,0.0015369229878533543
2.700000000000002,7.053836760800939e-05,0.0015369229878533543
2.7200000000000015,5.6095359774997545e-05,0.0015369229878533543
2.740000000000002,4.485707848716731e-05,0.0015369229878533543
2.7600000000000016,3.606299999644835e-05,0.0015369229878533543
2.780000000000002,2.914374088762812e-05,0.0015369229878533543
2.8000000000000016,2.367057406037462e-05,0.0015369229878533543
2.820000000000002,1.9318869206680126e-05,0.0015369229878533543
2.8400000000000016,1.584146823861458e-05,0.0015369229878533543
2.860000000000002,1.3049188039419403e-05,0.0015369229878533543
2.8800000000000017,1.0796464259146019e-05,0.0015369229878533543
2.900000000000002,8.97072350171765e-06,0.0015369229878533543
2.9200000000000017,7.484473898558068e-06,0.0015369229878533543
2.940000000000002,6.269388142028814e-06,0.0015369229878533543
2.9600000000000017,5.271854503555505e-06,0.0015369229878533543
2.980000000000002,4.449614950276337e-06,0.0015369229878533543
3.0000000000000018,3.7692123411908734e-06,0.0015369229878533543
3.0200000000000022,3.204042749842679e-06,0.0015369229878533543
3.040000000000002,2.732862555677445e-06,0.0015369229878533543
3.0600000000000023,2.3386389194784078e-06,0.0015369229878533543
3.080000000000002,2.007660736521689e-06,0.0015369229878533543
3.1000000000000023,1.7288480699833448e-06,0.0015369229878533543
3.120000000000002,1.4932134907051585e-06,0.0015369229878533543
3.1400000000000023,1.2934401792271144e-06,0.0015369229878533543
3.160000000000002,1.1235501545233088e-06,0.0015369229878533543
3.1800000000000024,9.786423558830431e-07,0.0015369229878533543
3.200000000000002,8.546850820810065e-07,0.0015369229878533543
3.2200000000000024,7.483508952005134e-07,0.0015369229878533543
3.240000000000002,6.568848252675383e-07,0.0015369229878533543
3.2600000000000025,5.779987868653563e-07,0.0015369229878533543
3.280000000000002,5.097867030719159e-07,0.0015369229878533543
3.3000000000000025,4.5065604622973883e-07,0.0015369229878533543
3.320000000000002,3.992724391995066e-07,0.0015369229878533543
3.3400000000000025,3.5451468213413556e-07,0.0015369229878533543
3.360000000000002,3.1543812893411176e-07,0.0015369229878533543
3.3800000000000026,2.812447724547702e-07,0.0015369229878533543
3.400000000000002,2.5125873701025525e-07,0.0015369229878533543
3.4200000000000026,2.249061426057167e-07,0.0015369229878533543
3.440000000000002,2.0169851427688112e-07,0.0015369229878533543
