# Fig 2c: n=3, A*Khat=1, Bhat=Ghat=0.4/Khat, T_S=Khat
TE_over_TS,nH
0.001,0.9998750292894375
0.0010522296923215916,0.9998685037204634
0.0011071873254031902,0.9998616374573486
0.0011650153787513646,0.9998544128308969
0.001225863773533471,0.9998468110561335
0.001289890261253308,0.9998388125043098
0.0013572608327271857,0.9998303963532024
0.0014281501484206737,0.9998215409923152
0.001502741991261721,0.9998122233956183
0.001581229743104055,0.9998024195045866
0.001663816886076129,0.9997921039561736
0.001750717530115354,0.9997812500661649
0.0018421569680552937,0.9997698297459208
0.0019383722597048976,0.9997578135356735
0.002039612846433993,0.9997451702326013
0.0021461411978584036,0.9997318672683162
0.0022582334923012403,0.9997178701870454
0.0023761803327944473,0.9997031428232733
0.0025002875004769155,0.9996876471740671
0.0026308767473423463,0.9996713431104128
0.0027682866303920667,0.9996541886103716
0.0029128733893554197,0.9996361392761226
0.003065011870253202,0.9996171486503836
0.0032250964971985525,0.9995971675447257
0.0033935422949546725,0.9995761444670054
0.003570785964900463,0.9995540252161279
0.0037572870171934713,0.999530752582309
0.003953528962065397,0.9995062666801152
0.00416002056333857,0.9994805042379389
0.0043772971574132374,0.999453398958808
0.004605922041145104,0.9994248809930407
0.00484648793221135,0.9993948768438803
0.005099618505751055,0.9993633092009362
0.005365970011263927,0.9993300968791564
0.00564623297395913,0.9992951543303052
0.0059411339849650335,0.999258391765093
0.006251437585041109,0.9992197145370064
0.006577948246675433,0.9991790233477033
0.006921512459706644,0.999136213564206
0.007283020925877184,0.9990911752688959
0.007663410868007463,0.9990437929319551
0.008063668459777426,0.9989939449340048
0.008484831382414923,0.9989415035660942
0.008927991514919029,0.9988863343246993
0.00939429776479303,0.9988282959950029
0.009884959046625586,0.9987672401179852
0.01040124741624237,0.9987030104519579
0.010944501368553457,0.9986354429448169
0.011516129307646237,0.9985643649846361
0.012117613198120256,0.9984895952608942
0.012750512407130135,0.9984109432093599
0.013416467747097172,0.9983282083626135
0.014117205729570613,0.998241180277878
0.01485454304126669,0.9981496376432982
0.01563039125388988,0.9980533480392367
0.016446761779946643,0.9979520671944189
0.017305771087399762,0.9978455384252858
0.018209646186682537,0.9977334921308252
0.01916073040429801,0.9976156451431089
0.02016148945797145,0.9974916999778695
0.021214517849106298,0.9973613441184374
0.022322545589116033,0.9972242496104776
0.023488445277070252,0.9970800718241072
0.024715239547004175,0.9969284491152819
0.026006108904198622,0.9967690017377662
0.027364399970746706,0.9966013310937386
0.028793634161783776,0.9964250189288798
0.030297516814874196,0.9962396261610849
0.03187994679622332,0.9960446922198836
0.03354502660861876,0.9958397339695219
0.0352970730273065,0.9956242444821674
0.03714062829137547,0.9953976922829558
0.03908047187966459,0.9951595200621329
0.04112163290172206,0.9949091435814864
0.043269403135940444,0.9946459504753012
0.0455293507486695,0.9943692990624239
0.04790733472987431,0.9940785171028176
0.05040952008276314,0.9937729005374429
0.053042393806764926,0.9934517120116846
0.055812781715292956,0.9931141797706537
0.05872786613189483,0.9927594959716751
0.061795204510667286,0.9923868156295516
0.06502274902920926,0.9919952548457754
0.0684188672049089,0.9915838896094766
0.07199236358801313,0.9911517539322544
0.07575250258771916,0.9906978389433476
0.07970903249046626,0.9902210907135879
0.08387221073269506,0.9897204093949853
0.08825283049359538,0.9891946471945678
0.09286224867678539,0.9886426071031796
0.09771241535346502,0.9880630415743038
0.10281590474337605,0.9874546509531172
0.10818594781388854,0.9868160818166927
0.1138364665817277,0.9861459264355369
0.11978211020626849,0.9854427206197712
0.12603829296797275,0.98470494330279
0.13262123423042857,0.9839310150979719
0.1395480004895936,0.9831192976714049
0.14683654961925824,0.9822680927315778
0.1545057774274362,0.9813756418795132
0.1625755666443795,0.9804401260480883
0.1710668384692237,0.9794596654243374
0.18000160680889865,0.9784323201044596
0.18940303534991954,0.9773560900494356
0.19929549761102136,0.9762289165449569
0.2097046401323233,0.9750486833393991
0.22065744896484463,0.9738132185756312
0.23218231963274574,0.9725202971446669
0.24430913074967725,0.9711676437498826
0.2570693214800884,0.9697529364208844
0.27049597304631373,0.9682738107934208
0.28462389449275194,0.9667278655716572
0.2994897129294815,0.9651126680848593
0.3151319684892701,0.9634257615538108
0.3315912142441618,0.9616646728512471
0.3489101213406774,0.9598269216834214
0.36713358962619014,0.9579100306154106
0.3863088640532871,0.9559115369282971
0.40648565716389384,0.9538290046928456
0.427716277970704,0.9516600399740034
0.4500557675700497,0.9494023056024238
0.47356204183779116,0.9470535388825235
0.4982960415781637,0.9446115701220966
0.5243218905148582,0.942074342966058
0.5517070615339239,0.9394399363622
0.5805225516094902,0.9367065879036384
0.6108430658657991,0.9338727189531478
0.6427472112527468,0.9309369607112129
0.6763177003370389,0.9278981821270255
0.7116415657372888,0.9247555185089329
0.7488103857590023,0.9215084009897611
0.7879205218144073,0.9181565867859361
0.8290733682426417,0.9147001895343364
0.8723756151779796,0.911139709451498
0.9179395251475846,0.9074760626879089
0.9658832241158708,0.9037106095276752
1.0163310077300296,0.8998451808451403
1.0694136635606613,0.8958821018192408
1.1252688101729404,0.8918242125114945
1.1840412539073566,0.8876748842417956
1.2458833642950082,0.8834380318841198
1.310955469080726,0.8791181195286776
1.37942626987812,0.8747201612701633
1.4514732795341734,0.8702497137859165
1.5272832823372549,0.8657128625191979
1.6070528182616401,0.8611161999077123
1.6909886925039905,0.8564667948913413
1.7793085116327643,0.851772155059075
1.8722412477405328,0.8470401805137102
1.9700278320618114,0.8422791104368054
2.072921779595372,0.8374974621207855
2.1811898463503643,0.8327039652381916
2.2951127209202213,0.8279074897937566
2.4149857521772553,0.8231169719170907
2.5411197149745006,0.8183413362581015
2.673841615839949,0.8135894187487794
2.8134955407519344,0.808869890397474
2.9604435471935777,0.8041911829705852
3.1150666027989398,0.7995614198145509
3.2777655730243906,0.7949883515794925
3.44896226040576,0.7904792991482003
3.6291004980955335,0.7860411037093986
3.8186473005151944,0.7816800858793436
4.018094074105779,0.7774020133388092
4.227957891315534,0.7732120770299169
4.448782831127585,0.7691148772838952
4.681141389602958,0.7651144177592565
4.925635964095789,0.7612141071404483
5.182900414988678,0.7574167691909185
5.45360170899698,0.7537246583961511
5.738441648302398,0.7501394818794787
6.03815868999864,0.7466624253757456
6.353529860566207,0.7432941833294517
6.685372770339624,0.7400349921514893
7.034547733189609,0.7368846642252715
7.401959996915645,0.7338426249049086
7.788562090131277,0.7309079479812949
8.195356291726446,0.7280793926025595
8.62339722930913,0.7253554384126455
9.07379461336281,0.7227343203734335
9.547716114208066,0.7202140612387785
10.046390389227055,0.7177925030404354
10.571110268198979,0.7154673362980155
11.123236105004606,0.7132361271695065
11.704199304389416,0.7110963426699726
12.315506032928262,0.7090453735033017
12.95874112381281,0.7070805549566005
13.635572185584708,0.7051991856796107
14.34775392546665,0.7033985444879493
15.097132698499651,0.7016759054454683
15.885651294280526,0.7000285505374683
16.715353973708893,0.6984537818664874
17.5883917688022,0.6969489312446315
18.507028059318355,0.6955113683814739
19.473644440643614,0.6941385089387112
20.490746898158502,0.6928278198870077
21.560972304088885,0.691576825079293
22.687095253685804,0.6903831089700276
23.872035258456457,0.6892443199791695
25.118864315095795,0.6881581729180163
