# Fig 8a,b
PII_uM,first_layer,composite,measured,residual,residual_lo,residual_hi
36.0,2.017893615372997,4.914505930814345,4.48,0.9235726123784653,0.8286462670162628,1.0254957278512233
5.0,2.017893615372997,3.7794227644386766,6.46,1.7015002874288543,1.5651188399171199,1.8348955253897645
0.5,2.017893615372997,3.551844985270509,5.23,1.4654506718700713,1.3527904412918133,1.5763966075264972
