# Fig 7b-d: n=3, A=1, Bhat=Ghat=0.4, Khat=1; (enzyme x, target x)
l,b_theta_1x1x,c_theta_bridge_1x1x,d_theta_1x1x,d_TL_1x1x,b_theta_2x1x,c_theta_bridge_2x1x,d_theta_2x1x,d_TL_2x1x,b_theta_1x4x,c_theta_bridge_1x4x,d_theta_1x4x,d_TL_1x4x,b_theta_2x4x,c_theta_bridge_2x4x,d_theta_2x4x,d_TL_2x4x
0.06309573444801933,0.9406473213955957,0.9548442490209533,0.9308532130944446,0.12809383171804234,0.9406455859301247,0.9548442490209533,0.9221684130149522,0.1897587978181804,0.9406477755767576,0.973999311652943,0.9332188399254568,0.18786890397098369,0.9406464942708374,0.973999311652943,0.9262865651347938,0.3066667673206037
0.06445645394953103,0.9394448436453243,0.953904460375488,0.929523184158549,0.130558749340562,0.9394430840500632,0.953904460375488,0.9207403791974643,0.1932392022571463,0.9394453097873098,0.9734449798963004,0.9319473351441533,0.19077970958640794,0.9394440163116126,0.9734449798963004,0.9249538766582767,0.31103324945025895
0.06584651866079415,0.9382196040301428,0.9529458523457592,0.9281702162438957,0.1330672008298569,0.9382178202232209,0.9529458523457592,0.9192897193692334,0.19677585872865605,0.9382200823254757,0.9728789735029117,0.9306537037534574,0.19372589539786475,0.9382187767906333,0.9728789735029117,0.9235996582596596,0.3154416085982513
0.0672665614391568,0.9369712369656248,0.9519680798481933,0.9267940019956438,0.13561986368086276,0.9369694288753018,0.9519680798481933,0.9178161785404133,0.2003695069893957,0.9369717276041792,0.9723010529791383,0.9293376215269582,0.1967078172016892,0.9369704101283033,0.9723010529791383,0.9222236207698065,0.3198919992303503
0.06871722879013759,0.9356993736632316,0.9509707928526531,0.9253942327867682,0.13821742516239657,0.9356975412283025,0.9509707928526531,0.9163195015802268,0.20402089509888,0.9356998768319041,0.9717109742062827,0.9279987614818198,0.19972584098797985,0.9356985475406651,0.9717109742062827,0.9208254726398613,0.3243845834083412
0.07019918116176128,0.9344036422194697,0.9499536363745362,0.9239705988152961,0.14086058253374634,0.934401785389675,0.9499536363745362,0.9147994332986489,0.2077307796292196,0.9344041581018442,0.97110848836465,0.9266367939447536,0.20278034345961374,0.9344028171285443,0.97110848836465,0.9194049199921858,0.32891953143596053
0.07171309324524228,0.9330836677113141,0.9489162504703635,0.9225227892056616,0.14355004327030174,0.9330817864477532,0.9489162504703635,0.9132557185305875,0.2114999258850127,0.9330841964873167,0.9704933418570196,0.9252513866234683,0.20587171256333103,0.933082843972961,0.9704933418570196,0.9179616666762332,0.33349702251964464
0.0732596542821523,0.9317390722981053,0.9478582702370515,0.9210504921142847,0.14628652529852706,0.9317371665736549,0.9478582702370515,0.9116881022226572,0.2153291081336028,0.9317396141436515,0.9698652762315715,0.9238422046838157,0.20900034803269896,0.9317382502370098,0.9698652762315715,0.9164954143295739,0.33811724544379207
0.07483956837821303,0.9303694753300914,0.9467793258150669,0.91955339483946,0.1490707572405823,0.9303675451298244,0.9467793258150669,0.9100963295226115,0.2192191098459409,0.9303700304167243,0.9692240281042943,0.9224089108328349,0.212166661942754,0.9303686552743916,0.9692240281042943,0.9150058624442798,0.34278039926022774
0.0764535548238554,0.9289744934638339,0.9456790423956766,0.9180311839356752,0.1519034786688957,0.9289725387854434,0.9456790423956766,0.9084801458715407,0.22317072394828252,0.9289750619583548,0.9685693290809225,0.9209511654079217,0.21537107927611038,0.9289736757448034,0.9685693290809225,0.9134927084388846,0.3474866939915399
0.07810234842169238,0.92755374078465,0.9445570402325004,0.916483545332443,0.15478544037099448,0.9275517616388735,0.9445570402325004,0.9068392970989062,0.22718475308494773,0.927554322848741,0.967900905678442,0.919468626472323,0.21861403850031622,0.9275529257363703,0.967900905678442,0.9119556477361309,0.3522363513479617
0.07978669982105381,0.9261068289362991,0.9434129346575941,0.9149101644577633,0.15771740462490053,0.9261048253473453,0.9434129346575941,0.9051735295205138,0.23126200989236523,0.9261074247261404,0.9672184792462095,0.9179609499171854,0.22189599215622968,0.9261060168953175,0.9672184792462095,0.9103943738467267,0.3570296054574492
0.08150737585973611,0.924633367258099,0.9422463361022875,0.9133107263663091,0.16070014548539616,0.9246313392640749,0.9422463361022875,0.9034825900395201,0.23540331728461636,0.9246339769239769,0.9665217658867393,0.9164277895703621,0.22521740745718213,0.9246325585630742,0.9665217658867393,0.9088085784593143,0.36186670360860995
0.08326515991312185,0.9231329629296652,0.9410568501230157,0.9116849158724435,0.16373444908146653,0.9231309105830036,0.9410568501230157,0.9017662262505634,0.23960950875068826,0.9231335866155748,0.9658104763762068,0.9148687973121996,0.22857876689868672,0.9231321579210013,0.9658104763762068,0.9071979515368783,0.36674790700612103
0.0850608522508284,0.9216052211234627,0.9398440774323862,0.9100324176881713,0.166821113925223,0.9216031444913511,0.9398440774323862,0.9000241865471232,0.24388142866364013,0.9216058589667077,0.9650843160847273,0.9132836231985163,0.2319805688784503,0.9216044201429332,0.9650843160847273,0.9055621814198034,0.3716734915382762
0.0868952704010484,0.9200497451653614,0.9386076139357328,0.9083529165661254,0.16996095123261198,0.9200476443301667,0.9386076139357328,0.8982562202322074,0.2482199326018807,0.9200503972961437,0.9643429848964734,0.911671915590985,0.23542332832643972,0.9200489485557183,0.9643429848964734,0.9039009549357901,0.37664374855629457
0.08876924952274723,0.918466136703371,0.937347050773413,0.9066460974476911,0.17315478525621106,0.9184640117630657,0.937347050773413,0.8964620776324673,0.2526258876827478,0.9184668032443799,0.9635861771296925,0.9100333212951287,0.2389075773447532,0.9184653448079457,0.9635861771296925,0.9022139575168452,0.38165898566502027
0.09068364278588727,0.9168539958847449,0.9360619743691165,0.9049116456163718,0.17640345363041218,0.9168518469533301,0.9360619743691165,0.8946415102158477,0.25710017290857423,0.9168546769507407,0.9628135814566964,0.908367485706136,0.2424338658570449,0.9168532090470407,0.9628135814566964,0.9005008733235522,0.3867195275246403
0.09263932175985239,0.9152129215416296,0.9347519664844561,0.9031492468564944,0.17970780772929207,0.9152107487495539,0.9347519664844561,0.8927942707128743,0.2616436795254218,0.9152136172390243,0.9620248808238985,0.9066740529627073,0.24600276226725276,0.9152121401049,0.9620248808238985,0.8987613853768299,0.3918257166630485
0.09463717681024883,0.9135425113854265,0.9334166042801212,0.9013585876173532,0.1830687130374627,0.9135403148800031,0.9334166042801212,0.8909201132416835,0.2662573113946527,0.9135432218118599,0.961219752371976,0.9049526661091182,0.24961485412737822,0.9135417356922483,0.961219752371976,0.8969951756973749,0.3969779142984821
0.09667811750426372,0.9118423622100383,0.9320554603838818,0.8995393551828866,0.18648704953419684,0.9118401421558567,0.9320554603838818,0.8890187934369004,0.27094198537750785,0.9118430874539568,0.9603978673562424,0.9032029672657091,0.2532707488140723,0.9118415926018756,0.9603978673562424,0.8952019254529896,0.40217650117205894
0.09876307302476518,0.9101120701041646,0.9306681029657375,0.89769123784699,0.18996371209111618,0.9101098266834965,0.9306681029657375,0.8870900685824689,0.2756986317328495,0.9101128102443936,0.9595588910673203,0.90142459780798,0.2569710742137815,0.9101113069209233,0.9595588910673203,0.8933813151139888,0.40742187838984545
0.10089299259333344,0.9083512306727936,0.9292540958205152,0.8958139250945435,0.19349961088373013,0.908348964085994,0.9292540958205152,0.8851336977485419,0.28052819452822775,0.9083519857781122,0.9587024827522111,0.8996171985544787,0.260716479416218,0.908350474252372,0.9587024827522111,0.8915330246168632,0.41271446827409414
