PII_uM,midpoint_mM,reported_coefficient,kappa,calculated_range_coefficient,reported_over_calculated,perturbation_p025,perturbation_p975
5.000000000000000000e-01,5.999999999999999778e-01,5.230000000000000426e+00,5.087820557961005186e+00,3.551844978798969876e+00,1.472474173624685134e+00,1.270854204871837645e+00,1.655423768880493141e+00
5.000000000000000000e+00,5.300000000000000266e-01,6.459999999999999964e+00,8.310446708153884643e+00,3.779422757735760197e+00,1.709255728742598901e+00,1.463941023671832653e+00,1.937036343195930099e+00
3.600000000000000000e+01,2.250000000000000056e-01,4.480000000000000426e+00,4.392382704831536557e+02,4.914505946216687349e+00,9.115870545336951514e-01,7.607248778314809057e-01,1.132093987322352113e+00
