exponent_0_means_free,SSE,k_including_variance,delta_AIC,delta_AICc
1.000000000000000000e+00,5.271623370578593093e-01,4.000000000000000000e+00,4.276375211335604831e+01,4.276375211335605542e+01
2.000000000000000000e+00,1.493731629865991187e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.192649198800629223e-01,4.000000000000000000e+00,2.492981645546502989e+01,2.492981645546503700e+01
0.000000000000000000e+00,1.487834031438798471e-02,5.000000000000000000e+00,1.952527442649355294e+00,6.238241728363647098e+00
