top,bottom,logmid,h
2.999998999999999416e+00,4.618232946832930286e-01,-6.401145442693925158e-01,2.074930405944313883e+00
2.974140630103964344e+00,4.351079236144298479e-01,-5.525608015134209072e-01,1.986666286428370398e+00
2.916237930213712914e+00,3.766994756741591233e-01,-5.221546801422712880e-01,1.986708027859215520e+00
2.957017864723726408e+00,5.146716392987720212e-01,-5.905285921887848399e-01,2.170413367869626686e+00
2.995639089034154878e+00,5.538827669714064816e-01,-6.012829568041685446e-01,2.339462110871256328e+00
2.938074905770308387e+00,4.819356805275992750e-01,-6.033847941305051643e-01,1.957501446167259296e+00
2.960471268721737825e+00,5.017540690308827100e-01,-5.934593769047012968e-01,2.133934210232391937e+00
2.966602181818683182e+00,4.614423677140860880e-01,-5.851441413055780139e-01,2.005018708668588889e+00
2.999998999999999416e+00,4.901506294335291058e-01,-6.868410591967092360e-01,1.846246376447964632e+00
2.949920543368688364e+00,4.293898451779441516e-01,-4.444148503929585825e-01,2.312369678242203186e+00
2.930879391465811779e+00,4.905391918724218425e-01,-5.691738822520120422e-01,2.110025945599296904e+00
2.953362390101359036e+00,4.186445551087732975e-01,-5.403899712883780682e-01,2.160356941834355560e+00
2.999998999999999416e+00,4.851095500063165034e-01,-5.971706500671101203e-01,1.799662092800409452e+00
2.904306534860761513e+00,5.034705102272057919e-01,-6.096336580843846331e-01,2.284951435698343136e+00
2.949678108969489898e+00,4.056549402878431021e-01,-5.232187375026600140e-01,2.005341996278863004e+00
2.970163809940165933e+00,3.816688749248537960e-01,-5.276310388591514133e-01,1.940106378675487964e+00
2.999998999999999416e+00,5.159727588070851523e-01,-6.056853825618142562e-01,2.028821576455693165e+00
2.999998999999999416e+00,5.113022714565054194e-01,-6.406735476750353708e-01,2.070228949056300838e+00
2.857225709686947113e+00,3.503636042115835791e-01,-5.282617188936185038e-01,1.903042395902303952e+00
2.941274190457967563e+00,5.047942736241961548e-01,-5.852732376153972904e-01,2.243262600204544377e+00
2.988642388041639730e+00,4.785937051105171869e-01,-6.405942448962351765e-01,1.980847487605619905e+00
2.997444684360651479e+00,4.171005262299364302e-01,-5.734170588538374247e-01,2.072245838273035545e+00
2.981620107856358004e+00,4.853497496744247353e-01,-6.272781424571663988e-01,2.000546116933500151e+00
2.969111486821002899e+00,4.048965754044241416e-01,-5.124031258929024890e-01,2.056369836464990719e+00
2.981281195572433873e+00,5.257892867124497327e-01,-6.411488758272900768e-01,1.953556334779074533e+00
2.921717654960567234e+00,4.765324112871364703e-01,-5.602335828712294852e-01,2.105588781891369887e+00
2.934560750321494105e+00,4.858354817624459532e-01,-6.390851485655268949e-01,2.282715497404506966e+00
2.924887893972651476e+00,4.370578568667729535e-01,-5.534842947072018404e-01,2.040703265198968719e+00
2.897197959778077259e+00,4.916086499407656407e-01,-5.778914681321369873e-01,2.173144811269140941e+00
2.964662523283935869e+00,4.431519020870834935e-01,-5.515530433707772628e-01,1.900109380887635258e+00
2.994411342662181230e+00,4.097580528655797583e-01,-6.093703251527264886e-01,1.905038646104430411e+00
2.994522263480288604e+00,3.906851797353688704e-01,-5.694458621037297164e-01,1.774510828193638812e+00
2.999998999999999416e+00,4.283641284896118062e-01,-5.362744525527112227e-01,1.960108643482638691e+00
2.999998999999999416e+00,5.070500209746284792e-01,-6.137486645188680034e-01,2.192574036726048003e+00
2.989027847151507711e+00,5.265578918361729643e-01,-6.703414482315890321e-01,2.013877490798178460e+00
2.964494343007167743e+00,4.196955374958054041e-01,-5.723214118252597515e-01,1.986483218950165330e+00
2.901820060404667778e+00,5.263750932605091304e-01,-5.442006431897367102e-01,2.242556684133847344e+00
2.890035981140922861e+00,5.176351653125323971e-01,-5.426135804257180562e-01,2.165558959332318789e+00
2.856905438983788237e+00,4.413515247234651162e-01,-5.387989767154937049e-01,2.052174686951806937e+00
2.946989409175232666e+00,3.773619788090152305e-01,-5.394909961574940738e-01,1.977428930493400738e+00
2.999998999999999416e+00,5.252097788931172628e-01,-6.063524176660568532e-01,1.927671754477680466e+00
2.893513194731371030e+00,4.274430597135112642e-01,-5.398308696160633025e-01,2.002564666123784587e+00
2.976886921978971756e+00,4.728906516116378467e-01,-5.732291183917760380e-01,2.088400333434365042e+00
2.999998999999999416e+00,4.793979767994764329e-01,-6.010562386891663555e-01,2.056435635624311420e+00
