draw,model,n_0p5,n_5,n_36
9.000000000000000000e+00,3.000000000000000000e+00,3.757536089469236895e+00,4.033884586001059702e+00,5.824141265954873248e+00
1.000000000000000000e+01,0.000000000000000000e+00,3.569232378462820154e+00,3.812456180012989027e+00,5.352185222375912765e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.544808911433176668e+00,2.625915031856000503e+00,3.556715205026717896e+00
1.000000000000000000e+01,2.000000000000000000e+00,5.704795660988468242e+00,6.233767991755480686e+00,6.589268937341934418e+00
1.000000000000000000e+01,3.000000000000000000e+00,3.569232378462820154e+00,3.812456180012036455e+00,5.352185222375842599e+00
1.100000000000000000e+01,0.000000000000000000e+00,3.621368778332974880e+00,3.872841718730026361e+00,5.455021530285577569e+00
1.100000000000000000e+01,1.000000000000000000e+00,2.583591133923940131e+00,2.666842463855136014e+00,3.625226837859494733e+00
1.100000000000000000e+01,2.000000000000000000e+00,5.779603354709976770e+00,6.337046746074467052e+00,6.711863230134015978e+00
1.100000000000000000e+01,3.000000000000000000e+00,3.621368778333760474e+00,3.872841718729699512e+00,5.455021530285569575e+00
1.200000000000000000e+01,0.000000000000000000e+00,4.114578733634686181e+00,4.380906022467974559e+00,4.691777998998123422e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.894033151160474215e+00,2.966462911144561510e+00,3.298970330403155238e+00
1.200000000000000000e+01,2.000000000000000000e+00,6.632437891816473474e+00,7.194913480388567706e+00,5.576803523722810851e+00
1.200000000000000000e+01,3.000000000000000000e+00,4.114578733634685292e+00,4.380906022468201932e+00,4.691777998998110988e+00
1.300000000000000000e+01,0.000000000000000000e+00,3.625489844139750506e+00,3.848800689932678321e+00,4.686542813108366623e+00
1.300000000000000000e+01,1.000000000000000000e+00,2.544171130250834967e+00,2.610640735233812126e+00,3.123093058695443069e+00
1.300000000000000000e+01,2.000000000000000000e+00,5.856232350697649025e+00,6.329030703415329917e+00,5.785054905978623374e+00
1.300000000000000000e+01,3.000000000000000000e+00,3.625489844139749618e+00,3.848800689932681429e+00,4.686542813108378169e+00
1.400000000000000000e+01,0.000000000000000000e+00,3.127937073264807744e+00,3.317801712838834405e+00,4.644545530047753168e+00
1.400000000000000000e+01,1.000000000000000000e+00,2.265104707757377600e+00,2.327411037902495927e+00,3.009035353875530561e+00
1.400000000000000000e+01,2.000000000000000000e+00,4.918937124400860839e+00,5.372333838215633151e+00,6.070404882677299163e+00
1.400000000000000000e+01,3.000000000000000000e+00,3.127937073265887769e+00,3.317801712838464478e+00,4.644545530047651027e+00
1.500000000000000000e+01,0.000000000000000000e+00,3.505352709986795379e+00,3.735503768632260968e+00,5.169055772199430798e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.475365699802946295e+00,2.551987844023530627e+00,3.410072520352669390e+00
1.500000000000000000e+01,2.000000000000000000e+00,5.645016318666240984e+00,6.143934039608329734e+00,6.429695552483493337e+00
1.500000000000000000e+01,3.000000000000000000e+00,3.505352709986917947e+00,3.735503768632262300e+00,5.169055772199394383e+00
1.600000000000000000e+01,0.000000000000000000e+00,3.224106250089805226e+00,3.415603241378474042e+00,4.635684045704131506e+00
1.600000000000000000e+01,1.000000000000000000e+00,2.264602963160844862e+00,2.328190913339386547e+00,3.008250509660985283e+00
1.600000000000000000e+01,2.000000000000000000e+00,5.211637108549645347e+00,5.635837296112653050e+00,5.970388508486328405e+00
1.600000000000000000e+01,3.000000000000000000e+00,3.224106250089559200e+00,3.415603241378958987e+00,4.635684045704111966e+00
1.700000000000000000e+01,0.000000000000000000e+00,3.342494560818887628e+00,3.556174107998566924e+00,4.978145811989302949e+00
1.700000000000000000e+01,1.000000000000000000e+00,2.395809559710800229e+00,2.466277566228276541e+00,3.252121816743658744e+00
1.700000000000000000e+01,2.000000000000000000e+00,5.306362599182058659e+00,5.802934866948859849e+00,6.340156315277649668e+00
1.700000000000000000e+01,3.000000000000000000e+00,3.342494560818884075e+00,3.556174107997143174e+00,4.978145811989350022e+00
1.800000000000000000e+01,0.000000000000000000e+00,3.323610824576607836e+00,3.531892826857453205e+00,4.882695254339942892e+00
