G_mM,min_pair_TV,TV_0_1,TV_0_2,TV_0_3,TV_1_2,TV_1_3,TV_2_3
5.159681823961521918e-02,3.223635368392921939e-04,4.936382034164426939e-03,1.357289685560422038e-03,3.223635368392921939e-04,6.293671719724848977e-03,4.614018497325135179e-03,1.679653222399714232e-03
5.240471293601117742e-02,3.301974077219945770e-04,5.048614346665227653e-03,1.390184449510655515e-03,3.301974077219945770e-04,6.438798796175882952e-03,4.718416938943233510e-03,1.720381857232650092e-03
5.322525751786005149e-02,3.383730394656460231e-04,5.165452487805028206e-03,1.424510667646899063e-03,3.383730394656460231e-04,6.589963155451927269e-03,4.827079448339382725e-03,1.762883707112544978e-03
5.405865005503733556e-02,3.469070485371098011e-04,5.287100090473532618e-03,1.460337625610475237e-03,3.469070485371098011e-04,6.747437716084008288e-03,4.940193041936422925e-03,1.807244674147585146e-03
5.490509171876494648e-02,3.558169285618661883e-04,5.413769935598214920e-03,1.497738344122007343e-03,3.558169285618661883e-04,6.911508279720222046e-03,5.057953007036348515e-03,1.853555272683873531e-03
5.576478683017140753e-02,3.651210985850872402e-04,5.545684459294788343e-03,1.536789632352313301e-03,3.651210985850872402e-04,7.082474091647101427e-03,5.180563360709700832e-03,1.901910730937400595e-03
5.663794290961268046e-02,3.748389539797159203e-04,5.683076170964456580e-03,1.577572245018728355e-03,3.748389539797159203e-04,7.260648415983185153e-03,5.308237216984740443e-03,1.952411198998444276e-03
5.752477072676522724e-02,3.849909201360758246e-04,5.826188069003822127e-03,1.620171415771140067e-03,3.849909201360758246e-04,7.446359484774962845e-03,5.441197148867746303e-03,2.005162335907215675e-03
5.842548435150313885e-02,3.955985090783284723e-04,5.975274078172365319e-03,1.664676629855081635e-03,3.955985090783284723e-04,7.639950708027447822e-03,5.579675569094037606e-03,2.060275138933410216e-03
5.934030120557234889e-02,4.066843791553105937e-04,6.130599486505581078e-03,1.711182300694841099e-03,4.066843791553105937e-04,7.841781787200421960e-03,5.723915107350270592e-03,2.117866679850151802e-03
6.026944211507350574e-02,4.182723979618389615e-04,6.292441267765078519e-03,1.759787800695053733e-03,4.182723979618389615e-04,8.052229068460132685e-03,5.874168869803239774e-03,2.178060198656892911e-03
