strain,source_row,source_cell,phase,time_min,time_SE,observable,mean_copy_cell,SE_copy_cell,n
delta_glnK,45,AM45,run out  (OD600~0.6),-52.06666666666667,8.013599551872922,glutamine,264457.8214695679,7060.8310475314365,3
delta_glnK,46,I46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GlnB_total,1707.4001933713935,125.82554064320529,3
delta_glnK,46,L46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GlnB_unmodified,150.92366647017195,58.494427895010716,3
delta_glnK,46,O46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GlnB_UMP,1491.8283363780301,76.31786473844805,3
delta_glnK,46,R46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GlnK_total,0,0,3
delta_glnK,46,U46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GlnK_unmodified,0,0,3
delta_glnK,46,X46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GlnK_UMP,0,0,3
delta_glnK,46,AA46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GS_total,34992.10861380697,3574.742796546017,3
delta_glnK,46,AD46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GS_unmodified,35305.202117535795,3931.398640034831,3
delta_glnK,46,AG46,mid starved run out  (OD600~0.6),-25.26666666666667,0.9404490653110343,GS_AMP,2019.5249102356527,185.4840883572802,3
delta_glnK,47,I47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GlnB_total,1903.706165733587,153.9944680636483,3
delta_glnK,47,L47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GlnB_unmodified,133.3704082669179,47.25874656906394,3
delta_glnK,47,O47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GlnB_UMP,1507.7567036307973,188.80464208880517,3
delta_glnK,47,R47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GlnK_total,0,0,3
delta_glnK,47,U47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GlnK_unmodified,0,0,3
delta_glnK,47,X47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GlnK_UMP,0,0,3
delta_glnK,47,AA47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GS_total,39039.988523647065,5799.9878144289005,3
delta_glnK,47,AD47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GS_unmodified,40314.656929770776,5056.9017091872165,3
delta_glnK,47,AG47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,GS_AMP,1977.8405884536162,476.8518841047283,3
delta_glnK,47,AJ47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,aKG,3841801.8901864956,193728.04239709937,3
delta_glnK,47,AM47,late starved run out  (OD600~0.6),-6.466666666666659,1.156623438193167,glutamine,272411.3483600388,11211.491421409111,3
delta_glnK,48,I48,upshift +30'',0.5,0,GlnB_total,1623.6976556782429,294.15178125370886,3
delta_glnK,48,L48,upshift +30'',0.5,0,GlnB_unmodified,1527.9166448055566,278.18895165883777,3
delta_glnK,48,O48,upshift +30'',0.5,0,GlnB_UMP,463.6012120890544,10.10156436372828,3
delta_glnK,48,R48,upshift +30'',0.5,0,GlnK_total,0,0,3
delta_glnK,48,U48,upshift +30'',0.5,0,GlnK_unmodified,0,0,3
delta_glnK,48,X48,upshift +30'',0.5,0,GlnK_UMP,0,0,3
delta_glnK,48,AA48,upshift +30'',0.5,0,GS_total,36585.476670857766,697.7802256925264,3
delta_glnK,48,AD48,upshift +30'',0.5,0,GS_unmodified,24796.856557433217,864.6967025582848,3
delta_glnK,48,AG48,upshift +30'',0.5,0,GS_AMP,10774.459074152466,2186.1614252247564,3
delta_glnK,48,AJ48,upshift +30'',0.5,0,aKG,548093.8299241712,546634.2106845059,3
delta_glnK,48,AM48,upshift +30'',0.5,0,glutamine,7455732.308035753,755695.1480418817,3
delta_glnK,49,I49,upshift +1',1,0,GlnB_total,1712.683561466416,184.56504201902905,3
delta_glnK,49,L49,upshift +1',1,0,GlnB_unmodified,1769.1394956186498,325.30750876912975,3
delta_glnK,49,O49,upshift +1',1,0,GlnB_UMP,417.68619872943805,162.18773019532983,3
delta_glnK,49,R49,upshift +1',1,0,GlnK_total,0,0,3
delta_glnK,49,U49,upshift +1',1,0,GlnK_unmodified,0,0,3
delta_glnK,49,X49,upshift +1',1,0,GlnK_UMP,0,0,3
delta_glnK,49,AA49,upshift +1',1,0,GS_total,36530.52831493227,1560.3175287548563,3
delta_glnK,49,AD49,upshift +1',1,0,GS_unmodified,25663.9740102972,2241.047487076077,3
delta_glnK,49,AG49,upshift +1',1,0,GS_AMP,10855.310501714017,2048.1067922608217,3
delta_glnK,50,I50,upshift + 2',2,0,GlnB_total,1573.7003451333546,169.71611336450704,3
delta_glnK,50,L50,upshift + 2',2,0,GlnB_unmodified,1675.3579419648124,176.59952015234683,3
delta_glnK,50,O50,upshift + 2',2,0,GlnB_UMP,271.07412114751605,22.28489349781793,3
delta_glnK,50,R50,upshift + 2',2,0,GlnK_total,0,0,3
delta_glnK,50,U50,upshift + 2',2,0,GlnK_unmodified,0,0,3
delta_glnK,50,X50,upshift + 2',2,0,GlnK_UMP,0,0,3
delta_glnK,50,AA50,upshift + 2',2,0,GS_total,34961.74029445179,1553.1521010394715,3
delta_glnK,50,AD50,upshift + 2',2,0,GS_unmodified,21983.396813846473,1019.8883060648527,3
delta_glnK,50,AG50,upshift + 2',2,0,GS_AMP,12351.626034965297,2279.3608233219807,3
delta_glnK,50,AJ50,upshift + 2',2,0,aKG,44762.30785019727,44502.35980089736,3
delta_glnK,50,AM50,upshift + 2',2,0,glutamine,1304858.3977953217,98299.74216758834,3
delta_glnK,51,I51,upshift +5',5,0,GlnB_total,1720.8829860716748,304.7447861643268,3
delta_glnK,51,L51,upshift +5',5,0,GlnB_unmodified,1938.8159167393842,391.2559232596111,3
delta_glnK,51,O51,upshift +5',5,0,GlnB_UMP,353.7839427218676,33.39663683211107,3
delta_glnK,51,R51,upshift +5',5,0,GlnK_total,0,0,3
delta_glnK,51,U51,upshift +5',5,0,GlnK_unmodified,0,0,3
delta_glnK,51,X51,upshift +5',5,0,GlnK_UMP,0,0,3
delta_glnK,51,AA51,upshift +5',5,0,GS_total,35421.00208170717,557.5710828325283,3
delta_glnK,51,AD51,upshift +5',5,0,GS_unmodified,23645.002393245824,701.4615553917191,3
delta_glnK,51,AG51,upshift +5',5,0,GS_AMP,12331.459554308938,3045.92042266338,3
delta_glnK,51,AJ51,upshift +5',5,0,aKG,18047.994379140306,11337.264249619104,3
delta_glnK,51,AM51,upshift +5',5,0,glutamine,1845863.3624509724,413893.54245696723,3
delta_glnK,52,I52,upshift +10',10.53333333333334,0.26666666666666977,GlnB_total,1748.3829873658906,305.74295325772255,3
delta_glnK,52,L52,upshift +10',10.53333333333334,0.26666666666666977,GlnB_unmodified,2126.5977153818694,318.1381936768458,3
delta_glnK,52,O52,upshift +10',10.53333333333334,0.26666666666666977,GlnB_UMP,450.5293586787944,71.62449077164217,3
delta_glnK,52,R52,upshift +10',10.53333333333334,0.26666666666666977,GlnK_total,0,0,3
delta_glnK,52,U52,upshift +10',10.53333333333334,0.26666666666666977,GlnK_unmodified,0,0,3
delta_glnK,52,X52,upshift +10',10.53333333333334,0.26666666666666977,GlnK_UMP,0,0,3
delta_glnK,52,AA52,upshift +10',10.53333333333334,0.26666666666666977,GS_total,38448.488565177446,503.2246887604235,3
delta_glnK,52,AD52,upshift +10',10.53333333333334,0.26666666666666977,GS_unmodified,31661.196338851358,1817.4494926338307,3
delta_glnK,52,AG52,upshift +10',10.53333333333334,0.26666666666666977,GS_AMP,10556.11597753127,253.85889538653728,3
delta_glnK,52,AJ52,upshift +10',10.53333333333334,0.26666666666666977,aKG,97692.04784206397,35045.33930148214,3
delta_glnK,52,AM52,upshift +10',10.53333333333334,0.26666666666666977,glutamine,1193836.7997356753,232973.2301955712,3
delta_glnK,53,I53,upshift + 30',25.933333333333337,3.4839313681210435,GlnB_total,2412.2073544082814,356.67618398076394,3
delta_glnK,53,L53,upshift + 30',25.933333333333337,3.4839313681210435,GlnB_unmodified,1589.8471449473545,268.82629584833063,3
delta_glnK,53,O53,upshift + 30',25.933333333333337,3.4839313681210435,GlnB_UMP,1325.0921995483895,185.8652993799225,3
delta_glnK,53,R53,upshift + 30',25.933333333333337,3.4839313681210435,GlnK_total,0,0,3
delta_glnK,53,U53,upshift + 30',25.933333333333337,3.4839313681210435,GlnK_unmodified,0,0,3
delta_glnK,53,X53,upshift + 30',25.933333333333337,3.4839313681210435,GlnK_UMP,0,0,3
delta_glnK,53,AA53,upshift + 30',25.933333333333337,3.4839313681210435,GS_total,44015.07831695938,2372.0718000597867,3
delta_glnK,53,AD53,upshift + 30',25.933333333333337,3.4839313681210435,GS_unmodified,43444.79802531231,2524.416972234544,3
delta_glnK,53,AG53,upshift + 30',25.933333333333337,3.4839313681210435,GS_AMP,3281.0613091290084,589.7480348396019,3
delta_glnK,53,AJ53,upshift + 30',25.933333333333337,3.4839313681210435,aKG,232435.1147653667,14550.793464045375,3
delta_glnK,53,AM53,upshift + 30',25.933333333333337,3.4839313681210435,glutamine,581189.5241345202,92714.05406131208,3
