time_min,rho_scenario,theta_B,theta_K,inferred_bound_fraction,compatible_point,source_row
-101,1,0.6060299011739881,0.658639631355902,-0.08681045288359446,False,8
-101,1.5,0.6060299011739881,0.658639631355902,0.055913154292303036,True,8
-101,3,0.6060299011739881,0.658639631355902,0.19863676146820064,True,8
-101,9,0.6060299011739881,0.658639631355902,0.2937858329187989,True,8
-101,27,0.6060299011739881,0.658639631355902,0.3255021900689983,True,8
-69.33333333333334,1,0.736241915447729,0.738026028724662,-0.002423270448882464,False,9
-69.33333333333334,1.5,0.736241915447729,0.738026028724662,0.08570914345919112,True,9
-69.33333333333334,3,0.736241915447729,0.738026028724662,0.17384155736726448,True,9
-69.33333333333334,9,0.736241915447729,0.738026028724662,0.23259649997264675,True,9
-69.33333333333334,27,0.736241915447729,0.738026028724662,0.2521814808411075,True,9
-50,1,0.7949888211447632,0.8663838181643853,-0.08980629050458222,False,10
-50,1.5,0.7949888211447632,0.8663838181643853,-0.015332133057849973,False,10
-50,3,0.7949888211447632,0.8663838181643853,0.0591420243888825,True,10
-50,9,0.7949888211447632,0.8663838181643853,0.10879146268670392,True,10
-50,27,0.7949888211447632,0.8663838181643853,0.1253412754526445,True,10
-40,1,0.9225580090304196,0.9441857388026671,-0.0234432193537375,False,11
-40,1.5,0.9225580090304196,0.9441857388026671,0.0029759408299526724,True,11
-40,3,0.9225580090304196,0.9441857388026671,0.029395101013642733,True,11
-40,9,0.9225580090304196,0.9441857388026671,0.04700787446943622,True,11
-40,27,0.9225580090304196,0.9441857388026671,0.05287879895470071,True,11
-15,1,0.9527595703100615,0.9675733983804558,-0.015548338250302995,False,12
-15,1.5,0.9527595703100615,0.9675733983804558,0.00044330837297945624,True,12
-15,3,0.9527595703100615,0.9675733983804558,0.016434954996261908,True,12
-15,9,0.9527595703100615,0.9675733983804558,0.027096052745116617,True,12
-15,27,0.9527595703100615,0.9675733983804558,0.030649751994735075,True,12
0,1,0.9351095516768804,0.9630812906731117,-0.02991279358238952,False,13
0,1.5,0.9351095516768804,0.9630812906731117,-0.0076356259459635645,False,13
0,3,0.9351095516768804,0.9630812906731117,0.0146415416904625,True,13
0,9,0.9351095516768804,0.9630812906731117,0.0294929867814131,True,13
0,27,0.9351095516768804,0.9630812906731117,0.03444346847839663,True,13
1,1,0.3230148599034948,0.5070571034744874,-0.5697640152715506,False,15
1,1.5,0.3230148599034948,0.5070571034744874,-0.21552837800586278,False,15
1,3,0.3230148599034948,0.5070571034744874,0.13870725925982486,True,15
1,9,0.3230148599034948,0.5070571034744874,0.37486435077028335,True,15
1,27,0.3230148599034948,0.5070571034744874,0.4535833812737695,True,15
2,1,0.305337070594388,0.45805934863762726,-0.5001760112060438,False,16
2,1.5,0.305337070594388,0.45805934863762726,-0.15280379034990488,False,16
2,3,0.305337070594388,0.45805934863762726,0.19456843050623385,True,16
2,9,0.305337070594388,0.45805934863762726,0.4261499110769932,True,16
2,27,0.305337070594388,0.45805934863762726,0.503343737933913,True,16
5,1,0.28552744274036895,0.37263188186301194,-0.30506503433313537,False,17
5,1.5,0.28552744274036895,0.37263188186301194,0.005746016490239314,True,17
5,3,0.28552744274036895,0.37263188186301194,0.31655706731361355,True,17
5,9,0.28552744274036895,0.37263188186301194,0.5237644345291965,True,17
5,27,0.28552744274036895,0.37263188186301194,0.5928335569343909,True,17
15,1,0.36694565929206135,0.34089281102530783,0.07099920003691174,True,18
15,1.5,0.36694565929206135,0.34089281102530783,0.26703519634950534,True,18
15,3,0.36694565929206135,0.34089281102530783,0.46307119266209873,True,18
15,9,0.36694565929206135,0.34089281102530783,0.5937618568704943,True,18
15,27,0.36694565929206135,0.34089281102530783,0.6373254116066263,True,18
35,1,0.4209800971504713,0.37582585267780777,0.1072598081911792,True,19
35,1.5,0.4209800971504713,0.37582585267780777,0.27956458790151706,True,19
35,3,0.4209800971504713,0.37582585267780777,0.4518693676118546,True,19
35,9,0.4209800971504713,0.37582585267780777,0.5667392207520796,True,19
35,27,0.4209800971504713,0.37582585267780777,0.6050291717988213,True,19
