# S1 Data: the 2,000 coordinate-perturbation draws (seed 20260909; log-input sd 0.06, ordinate sd 0.06): refitted parameters, calibrated composite coefficients at PII 0.5, 5, 36 uM, and the regulatory swing
Umin,Umax,S_mM,h,composite_PII_0p5,composite_PII_5,composite_PII_36,regulatory_swing
0.4757475280644133,2.9999999999999996,0.5346664729305343,1.822113267296497,3.2008119684526797,3.397639363842181,4.721398347537355,4.779098921753714e+16
0.46826163912927865,2.9655505695351785,0.5467670661607421,2.3378038814758764,4.028438088040944,4.327981610156196,5.6537609295718285,465.4290954131023
0.5260499844558374,2.9999999999999996,0.5455349842815164,2.050783991597605,3.6035410872567266,3.8544887347214174,5.462109092594528,4.235977833803465e+16
0.5252503309482254,2.993912508762635,0.5359713628178008,2.359552839639075,4.0574862357692325,4.379185378278785,6.288066961288122,2317.2116102369214
0.35716669387994887,2.9268819600774068,0.5959552236152611,1.9643649072949294,3.5122701120291864,3.7083863995143855,4.316808709452541,296.1962015084933
0.36699226151326486,2.9999999999999996,0.5469075027549363,1.8197504588226492,3.2580441672575877,3.4577318947278943,4.752446509005607,6.462268507252372e+16
0.5698509293224115,2.992424371180165,0.4909986231615985,1.9693013110872057,3.265110604036531,3.475329655517549,4.972294318866947,1684.5199147805977
0.42129656423039014,2.9999999999999996,0.5464109137776408,1.763784550812893,3.147806411635022,3.3350372790401948,4.5696454962366815,5.513193706502721e+16
0.4144504056924034,2.9796089638072996,0.5791827557738907,1.7906562954073961,3.24583842192514,3.433496382770356,4.477523616915383,911.5915274533414
0.5284094516595659,2.9658685446497586,0.5307202498090698,2.146657183889279,3.6405671244532223,3.8882859774007885,5.178206813295906,406.4461739617496
0.414697381561716,2.89609823637651,0.6165094598590514,2.089953335387718,3.7042167707456897,3.9027822157155447,4.142147613755301,173.76826411636844
0.47360845163458065,2.9004550488951666,0.5657190360695228,2.1897616868253924,3.717602102634194,3.9399505594848416,4.407830203678919,155.42759159708442
0.40490797999937944,2.9999999999999996,0.5554976858865197,2.0282509474189885,3.632565186061601,3.8819390840040033,5.425521337260046,5.7727958111790504e+16
0.3816695741857006,2.9955468954219917,0.5506880982041458,1.9765867855472796,3.525780351359713,3.7592531696961258,5.190826003837411,4614.770848680826
0.49059345181974034,2.9422597920902653,0.5443976100975293,2.0134529347933054,3.438689860017954,3.64760784346105,4.571559427409635,260.6465334694476
0.5302284970343942,2.9928925515553497,0.5562769188937293,1.9866452052750054,3.5170486882762964,3.7510567529993355,5.1710041107958515,1961.4223400365804
0.44179596529679543,2.966031819771945,0.5520091121438611,1.8250028313569648,3.203446571764151,3.3881182945767425,4.394525163315165,505.6115182166182
0.49006103514422167,2.9221697055107394,0.5693483689535834,2.287081890991701,3.932086202757854,4.189999772312415,4.802382721250818,192.29577752956757
0.4793507614267507,2.9999999999999996,0.5217101230871342,2.3190750124392814,3.953832761347276,4.263407281679581,6.268268348490576,4.736404272220979e+16
0.2674582847985654,2.971601455156911,0.6151715925838619,1.7024529427822686,3.1925935117980067,3.361083065954165,4.209181059123491,1069.067730517605
0.4072656482441255,2.9452959787188804,0.5962874906400136,1.972339142972617,3.5500023445303337,3.7580089174664972,4.526242408686097,342.75984184271454
