# Fig 2a
l,theta_n1,theta_n2,theta_n3,theta_n12
0.0031622776601683794,0.9968476908167397,0.9968476908167397,0.9968476908167397,0.99684769081674
0.003254852618965799,0.9967557070763534,0.9967557070763533,0.9967557070763534,0.9967557070763534
0.0033501376886128386,0.9966610482594537,0.9966610482594537,0.9966610482594535,0.9966610482594537
0.0034482122069878327,0.9965636371015064,0.9965636371015063,0.9965636371015063,0.9965636371015062
0.003549157834567433,0.996463394137836,0.996463394137836,0.996463394137836,0.9964633941378362
0.0036530586224201747,0.9963602376428422,0.9963602376428422,0.9963602376428421,0.9963602376428422
0.0037600010821904842,0.996254083567649,0.996254083567649,0.996254083567649,0.996254083567649
0.00387007425813149,0.9961448454761523,0.9961448454761526,0.9961448454761523,0.9961448454761522
0.003983369801246575,0.9960324344794326,0.9960324344794326,0.9960324344794325,0.9960324344794325
0.004099982045601377,0.9959167591684956,0.9959167591684958,0.9959167591684955,0.9959167591684955
0.004220008086869836,0.9957977255453122,0.9957977255453122,0.995797725545312,0.9957977255453122
0.004343547863179659,0.9956752369521157,0.9956752369521157,0.9956752369521156,0.9956752369521157
0.004470704238324487,0.9955491939989285,0.9955491939989285,0.9955491939989285,0.9955491939989285
0.004601583087412105,0.9954194944892778,0.9954194944892779,0.9954194944892778,0.995419494489278
0.004736293385019999,0.9952860333440697,0.9952860333440696,0.9952860333440697,0.9952860333440697
0.004874947295931591,0.9951487025235828,0.9951487025235828,0.9951487025235828,0.9951487025235829
0.005017660268528826,0.99500739094755,0.99500739094755,0.9950073909475499,0.9950073909475501
0.0051645511309187445,0.9948619844132903,0.9948619844132901,0.9948619844132902,0.9948619844132903
0.005315742189874173,0.994712365511859,0.9947123655118589,0.994712365511859,0.994712365511859
0.0054713593326708955,0.9945584135421797,0.9945584135421798,0.9945584135421797,0.9945584135421797
0.005631532131906019,0.9944000044231237,0.9944000044231237,0.9944000044231236,0.9944000044231237
0.005796393953384968,0.9942370106035063,0.9942370106035063,0.9942370106035063,0.9942370106035063
0.005966082067166745,0.9940693009699622,0.9940693009699622,0.9940693009699618,0.9940693009699623
0.006140737761860094,0.9938967407526704,0.9938967407526703,0.9938967407526704,0.9938967407526704
0.006320506462265639,0.9937191914288963,0.9937191914288963,0.9937191914288964,0.9937191914288964
0.006505537850461928,0.9935365106243176,0.9935365106243177,0.9935365106243176,0.9935365106243177
0.006695985990436289,0.9933485520121068,0.9933485520121068,0.9933485520121066,0.9933485520121068
0.006892009456364242,0.9931551652097375,0.9931551652097375,0.9931551652097375,0.9931551652097375
0.007093771464644176,0.9929561956734898,0.9929561956734898,0.9929561956734898,0.9929561956734898
0.007301440009797405,0.9927514845906242,0.9927514845906242,0.9927514845906241,0.9927514845906242
0.007515188004346636,0.9925408687692019,0.9925408687692018,0.992540868769202,0.9925408687692018
0.007735193422789299,0.9923241805255242,0.9923241805255242,0.9923241805255243,0.9923241805255242
0.007961639449785759,0.9921012475691716,0.9921012475691715,0.9921012475691716,0.9921012475691716
0.0081947146326856,0.9918718928856206,0.9918718928856206,0.9918718928856206,0.9918718928856206
0.008434613038519154,0.9916359346164202,0.9916359346164202,0.9916359346164203,0.9916359346164203
0.008681534415584922,0.9913931859369123,0.9913931859369123,0.9913931859369124,0.9913931859369124
0.008935684359767347,0.9911434549314829,0.991143454931483,0.991143454931483,0.9911434549314828
0.009197274485723637,0.990886544466333,0.990886544466333,0.990886544466333,0.9908865444663328
0.009466522603081898,0.9906222520597604,0.9906222520597603,0.9906222520597604,0.9906222520597603
0.00974365289779753,0.990350369749951,0.9903503697499512,0.9903503697499509,0.9903503697499512
0.010028896118818778,0.9900706839602745,0.9900706839602745,0.9900706839602744,0.9900706839602745
0.010322489770216802,0.98978297536209,0.9897829753620899,0.9897829753620901,0.98978297536209
0.01062467830894041,0.9894870187350674,0.9894870187350673,0.9894870187350674,0.9894870187350674
0.010935713348359948,0.9891825828250351,0.9891825828250351,0.989182582825035,0.9891825828250351
0.0112558538677699,0.988869430199371,0.9888694301993709,0.9888694301993709,0.9888694301993709
0.011585366428024674,0.9885473170999564,0.9885473170999564,0.9885473170999564,0.9885473170999564
0.011924525393487019,0.988215993293719,0.988215993293719,0.988215993293719,0.9882159932937192
0.012273613160473948,0.987875201920799,0.9878752019207991,0.9878752019207993,0.9878752019207991
0.012632920392390395,0.9875246793403722,0.9875246793403724,0.9875246793403722,0.9875246793403721
0.013002746261746323,0.9871641549741795,0.9871641549741794,0.9871641549741796,0.9871641549741794
0.013383398699258833,0.9867933511478111,0.9867933511478112,0.9867933511478111,0.9867933511478112
0.01377519465024669,0.9864119829298061,0.9864119829298061,0.9864119829298059,0.9864119829298063
0.014178460338530716,0.9860197579686341,0.986019757968634,0.9860197579686342,0.9860197579686341
0.01459353153805986,0.9856163763276344,0.9856163763276342,0.9856163763276343,0.9856163763276344
0.015020753852489013,0.9852015303179978,0.9852015303179977,0.985201530317998,0.9852015303179978
0.015460483002941375,0.9847749043298846,0.9847749043298845,0.9847749043298846,0.9847749043298846
0.015913085124195103,0.9843361746617825,0.9843361746617826,0.9843361746617826,0.9843361746617824
0.016378937069540637,0.9838850093482211,0.983885009348221,0.9838850093482211,0.983885009348221
0.016858426724562735,0.9834210679859673,0.9834210679859674,0.9834210679859674,0.9834210679859673
0.017351953330108378,0.982944001558841,0.982944001558841,0.9829440015588409,0.982944001558841
0.017859927814709447,0.9824534522613011,0.982453452261301,0.9824534522613011,0.982453452261301
0.0183827731367371,0.9819490533209669,0.9819490533209668,0.9819490533209668,0.9819490533209668
0.01892092463657255,0.9814304288202529,0.9814304288202529,0.9814304288202529,0.9814304288202528
0.01947483039908756,0.9808971935173094,0.9808971935173095,0.9808971935173094,0.9808971935173093
0.02004495162673657,0.9803489526664786,0.9803489526664786,0.9803489526664784,0.9803489526664785
0.020631763023570893,0.9797853018384904,0.9797853018384906,0.9797853018384904,0.9797853018384904
0.021235753190494904,0.9792058267406413,0.9792058267406412,0.9792058267406413,0.9792058267406412
0.021857425032093265,0.978610103037215,0.9786101030372149,0.978610103037215,0.978610103037215
0.022497296175367873,0.9779976961704264,0.9779976961704264,0.9779976961704266,0.9779976961704265
0.02315589940073332,0.9773681611821856,0.9773681611821855,0.9773681611821855,0.9773681611821855
0.023833783085629584,0.9767210425370031,0.976721042537003,0.9767210425370032,0.9767210425370031
0.02453151166112136,0.9760558739463784,0.9760558739463785,0.9760558739463784,0.9760558739463785
0.025249666081864342,0.9753721781950347,0.9753721781950347,0.9753721781950345,0.9753721781950349
0.025988844309829527,0.974669466969388,0.974669466969388,0.974669466969388,0.9746694669693879
0.026749661812188533,0.973947240688664,0.9739472406886641,0.973947240688664,0.9739472406886641
0.027532752073774355,0.9732049883390991,0.9732049883390992,0.9732049883390993,0.9732049883390993
0.02833876712454427,0.9724421873116915,0.9724421873116916,0.9724421873116915,0.9724421873116916
0.029168378082484195,0.971658303243994,0.9716583032439942,0.9716583032439942,0.9716583032439939
0.030022275712406343,0.97085278986647,0.9708527898664698,0.97085278986647,0.9708527898664698
0.03090117100110555,0.9700250888539611,0.9700250888539612,0.9700250888539613,0.9700250888539612
0.031805795749353306,0.9691746296828521,0.9691746296828521,0.9691746296828522,0.9691746296828522
0.03273690318122211,0.9683008294945402,0.9683008294945401,0.9683008294945402,0.9683008294945401
0.03369526857124777,0.9674030929658596,0.9674030929658595,0.9674030929658595,0.9674030929658596
0.0346816898899517,0.9664808121871371,0.9664808121871371,0.9664808121871371,0.966480812187137
0.035696988468260644,0.965533366548594,0.965533366548594,0.9655333665485939,0.9655333665485941
0.03674200968137739,0.9645601226358432,0.9645601226358432,0.9645601226358433,0.9645601226358433
0.037817623652671356,0.9635604341352678,0.9635604341352677,0.9635604341352677,0.9635604341352678
0.03892472597817553,0.9625336417501019,0.9625336417501019,0.9625336417501019,0.9625336417501018
0.040064238472292985,0.9614790731280775,0.9614790731280775,0.9614790731280773,0.9614790731280775
0.04123710993533364,0.9603960428015338,0.9603960428015339,0.9603960428015337,0.9603960428015338
0.04244431694352053,0.9592838521409291,0.9592838521409293,0.9592838521409293,0.9592838521409293
0.0436868646621234,0.958141789322733,0.958141789322733,0.958141789322733,0.958141789322733
0.04496578768239642,0.9569691293127166,0.9569691293127165,0.9569691293127167,0.9569691293127166
0.04628215088301734,0.9557651338657004,0.9557651338657004,0.9557651338657004,0.9557651338657003
0.04763705031674485,0.9545290515428582,0.954529051542858,0.9545290515428582,0.9545290515428582
0.04903161412303262,0.9532601177477172,0.9532601177477172,0.9532601177477171,0.9532601177477174
0.05046700346736013,0.9519575547820354,0.9519575547820353,0.9519575547820353,0.9519575547820353
0.05194441350806202,0.950620571922773,0.950620571922773,0.9506205719227732,0.950620571922773
0.053465074391461115,0.9492483655214242,0.9492483655214242,0.949248365521424,0.9492483655214244
0.05503025227613395,0.9478401191270003,0.9478401191270004,0.9478401191270003,0.9478401191270003
0.0566412503871611,0.946395003634008,0.946395003634008,0.946395003634008,0.946395003634008
0.05829941010124088,0.9449121774567901,0.9449121774567902,0.9449121774567901,0.94491217745679
0.06000611206356916,0.9433907867316423,0.9433907867316423,0.9433907867316422,0.9433907867316425
