# S2 Fig: three-site ladders reproducing the observed ratio 1.1106 with the fitted-exponent estimator
log10_a,log10_b,nu_sup,conversion
-0.6020599913279624,0.14704123577538405,1.5710458440049033,1.0889409488783595
-0.5518883253839655,0.13319432098760284,1.5352195638771675,1.0813285630572567
-0.5017166594399687,0.11750983358322081,1.4961948371248928,1.073103371899934
-0.45154499349597177,0.09971280744945113,1.4554229916866213,1.0650754218155654
-0.40137332755197497,0.07947480126688597,1.4108995995827038,1.0564136586498272
-0.35120166160797806,0.05639695444388925,1.364279354166419,1.048455482127561
-0.3010299956639812,0.029993619043633877,1.31420725515807,1.0406624788220953
-0.25085832971998434,-0.0003511559574466561,1.2620008328591237,1.0339030240295797
-0.20068666377598746,-0.0354258243897972,1.2085553775714053,1.0284157288085967
-0.15051499783199063,-0.07627457406024618,1.1578243471472276,1.0249994703821053
-0.1003433318879937,-0.12433108355621524,1.1398679171527257,1.0241841094214974
-0.05017166594399693,-0.1816579937531333,1.1882976333051734,1.0268705464903385
0.0,-0.251399819228774,1.2625879697418472,1.0338955271994896
0.050171665943996795,-0.338741252517316,1.352155460274807,1.0466528074790236
0.10034333188799374,-0.45321689938471155,1.4568414181031313,1.065042094422609
0.1505149978319905,-0.615679835859263,1.5802117481459705,1.0914350620943374
0.20068666377598743,-0.8889623035002165,1.7320719339876853,1.1249955409131376
