G_uM,epsilon_P,epsilon_S,J,actual_gap,universal_bound,condition_bound,condition_certifies,universal_certifies
20.0,0.00401,0.001,0.0,8.715095675291759e-12,0.002004515064277016,0.0010005390572608863,True,True
23.361689410840295,0.00401,0.001,0.0,1.169144888866179e-11,0.002004515064277016,0.0010006299767576633,True,True
27.288426606428374,0.00401,0.001,0.0,1.5621003649672963e-11,0.002004515064277016,0.0010007363495250666,True,True
31.87518734449451,0.00401,0.001,0.0,2.0762478623306477e-11,0.002004515064277016,0.0010008608691995562,True,True
37.23291133272139,0.00401,0.001,0.0,2.740846514592138e-11,0.002004515064277016,0.0010010067370878376,True,True
43.49118552081964,0.00401,0.001,0.0,3.585861788708497e-11,0.002004515064277016,0.0010011777790208192,True,True
50.80137841233114,0.00401,0.001,0.0,4.636490659720022e-11,0.002004515064277016,0.0010013785997741397,True,True
59.34030120557235,0.00401,0.001,0.0,5.904945949526327e-11,0.002004515064277016,0.0010016147911031418,True,True
69.31448431551465,0.00401,0.001,0.0,7.385494657247832e-11,0.002004515064277016,0.0010018932165293281,True,True
80.9651727125807,0.00401,0.001,0.0,9.081805424880629e-11,0.002004515064277016,0.0010022224044958596,True,True
94.5741609003176,0.00401,0.001,0.0,1.1179867459316234e-10,0.002004515064277016,0.0010026130873159924,True,True
110.47060866220276,0.00401,0.001,0.0,1.4822773022026003e-10,0.002004515064277016,0.0010030789109274013,True,True
129.0390024296432,0.00401,0.001,0.0,2.561890955453394e-10,0.002004515064277016,0.0010036372594063505,True,True
150.72845483229952,0.00401,0.001,0.0,7.098906245825432e-10,0.002004515064277016,0.0010043098377550339,True,True
176.06356735840254,0.00401,0.001,0.0,2.878705723449726e-09,0.002004515064277016,0.0010051217171998493,True,True
205.65711885957793,0.00401,0.001,0.0,1.316632159721609e-08,0.002004515064277016,0.0010060949237885959,True,True
240.22488679628626,0.00401,0.001,0.0,5.541526884936254e-08,0.002004515064277016,0.001007226350311241,True,True
280.60295970445543,0.00401,0.001,0.0,1.8436245358133263e-07,0.002004515064277016,0.0010084292359868593,True,True
327.76795961890105,0.00401,0.001,0.0,4.442519377645393e-07,0.002004515064277016,0.0010094208588486966,True,True
382.86066357208045,0.00401,0.001,0.0,7.865239001758617e-07,0.002004515064277016,0.0010096387592097291,True,True
447.213595499958,0.00401,0.001,0.0,1.112774648204251e-06,0.002004515064277016,0.001008518967727078,True,True
450.0,0.00401,0.001,0.0,1.1245259755043868e-06,0.002004515064277016,0.0010084452207061992,True,True
460.0,0.00401,0.001,0.0,1.1651495763764785e-06,0.002004515064277016,0.0010081691428389097,True,True
470.0,0.00401,0.001,0.0,1.2034209541655905e-06,0.002004515064277016,0.0010078781321050658,True,True
480.0,0.00401,0.001,0.0,1.2394426273099057e-06,0.002004515064277016,0.0010075759553505028,True,True
490.0,0.00401,0.001,0.0,1.273321761807722e-06,0.002004515064277016,0.001007266216674795,True,True
500.0,0.00401,0.001,0.0,1.305166695442228e-06,0.002004515064277016,0.0010069522838829772,True,True
510.0,0.00401,0.001,0.0,1.3350844692006092e-06,0.002004515064277016,0.0010066372332483966,True,True
520.0,0.00401,0.001,0.0,1.3631791344614896e-06,0.002004515064277016,0.0010063238123807485,True,True
522.3832559187591,0.00401,0.001,0.0,1.3696168919552498e-06,0.002004515064277016,0.0010062496281879598,True,True
