K1_mM,K2_mM,RMSE,midpoint_mM,p1_at_midpoint,lambda_low,lambda_high,max_p1_separation
0.026,5.044264646801964,0.17035703870981408,0.36214759534870733,0.8744408984043077,0.9999999979388463,6.752484111446042,0.36671709348920756
0.1,0.7355584104777538,0.07174587302440293,0.27121180108501064,0.575562412614708,0.9999999979388452,6.752484111446039,0.40832410829827104
0.3,0.22606735150070673,0.04934157972807099,0.26042312771758963,0.302668674665224,0.999999997938832,6.752484111446041,0.24227249089920266
1.0,0.06630896748256097,0.043036899609553265,0.2575052766111036,0.11406630109749401,0.9999999743115082,6.752484018047448,0.09535562060908198
3.0,0.021974527812944365,0.041576453597839055,0.2567558829683034,0.04103658313843217,0.999999984108126,6.752483976608186,0.03473917314602298
10.0,0.006579359468297825,0.04111254970842295,0.2565026212009894,0.012662729889636869,0.9999999846096093,6.752484087585212,0.010767010219803377
100.0,0.0006574413612757431,0.040940720694897695,0.2564061936217109,0.0012803894691578541,0.999999977731419,6.752484041140342,0.001090564893935572
