# S2 Fig: three-site ladders reproducing the observed ratio 1.1106 with the range estimator
log10_a,log10_b,nu_sup,conversion
-0.6020599913279624,0.0898992788412735,1.5658621226818061,1.1275089602757498
-0.5518883253839655,0.08020275779304153,1.5299589560606732,1.116523113641386
-0.5017166594399687,0.06896444782719185,1.4910382956841008,1.105301660492914
-0.45154499349597177,0.05587559104775134,1.4501465702963947,1.0935295740477622
-0.40137332755197497,0.04054285883197323,1.4064627625051063,1.0815785828884656
-0.35120166160797806,0.02245600686208623,1.3598912942636248,1.0698792683736957
-0.3010299956639812,0.0009386229279317311,1.31104581116225,1.058928598484721
-0.25085832971998434,-0.024929850535428958,1.2600152204106299,1.0490646330484963
-0.20068666377598746,-0.05644354738077252,1.2078725831551116,1.041202997083706
-0.15051499783199063,-0.09549795671149024,1.1617633615283536,1.0364326568471443
-0.1003433318879937,-0.14502171001948871,1.1578964480264002,1.036121450806366
-0.05017166594399693,-0.20987935230225438,1.2174509638016022,1.042448910167995
0.0,-0.2990345662023207,1.3090232935669126,1.0584660908975325
0.050171665943996795,-0.431924113454832,1.4334696418818036,1.088863800886067
0.10034333188799374,-0.6655807013468196,1.6079546172522226,1.140498945459967
0.1505149978319905,-1.443312198946971,1.900549749004197,1.2253273507638813
