# Fig 6A: ligands bound per enzyme for a one-site law and a concerted two-site law
scaled_glutamine,one_ligand,two_ligands
0.01,0.009900990099009901,0.00019998000199980003
0.010312831606721848,0.010207562731160342,0.00021268637134542518
0.010635449574860113,0.010523527132690707,0.0002261999892074365
0.01096816005273138,0.0108491646781035,0.00024057212892886245
0.011311278765939214,0.011184764773652968,0.0002558573189699088
0.011665131316981962,0.011530625061472996,0.00027211354935509466
0.012030053494233242,0.01188705162726849,0.00028940249118675763
0.012406391590588319,0.012254359211518488,0.00030778973004837954
0.012794502732078734,0.012632871424128719,0.00032734501417260904
0.01319475521676706,0.013022920962460095,0.0003481425183034432
0.013607528864243332,0.013424849832647448,0.00037026112423993956
0.014033215376054847,0.013839009574110073,0.00039378471911028043
0.014472218707411343,0.014265761487141664,0.0004188025124901898
0.014924955450518291,0.014705476863452634,0.00044540937354883094
0.015391855229902053,0.015158537219522086,0.00047370618947862784
0.015873361110102097,0.01562533453259999,0.0005038002465431645
0.016369930016117026,0.01610627147918223,0.0005358056351596997
0.016882033167003634,0.01660176167576272,0.0005698436805201537
0.017410156523040163,0.017112229921646054,0.0006060434003468876
0.017954801246878312,0.017638112443583678,0.0006445419914776114
0.01851648417912155,0.018179857141973507,0.0006854853470774742
0.019095738328780976,0.018737923838339422,0.0007290286063862382
0.01969311337907423,0.019312784523781764,0.0007753367390246641
0.020309176209047358,0.01990492360806357,0.0008245851660072042
0.020944511431514698,0.02051483816896905,0.0008769604197381395
0.021599721947827184,0.021143038201541595,0.0009326608454057757
0.022275429519995574,0.021790046866777275,0.0009918973463345733
0.022972275360711523,0.022456400739317435,0.0010548941760085326
0.023690920741826334,0.023142650053649502,0.0011218897796411247
0.02443204762186488,0.023849358948289327,0.0011931376883380026
0.02519635929317015,0.024577105707380763,0.0012689074690789529
0.025984581049292486,0.02532648299910862,0.0013494857339355366
0.02679746087325691,0.026098098110280257,0.00143517721214096
0.02763577014736159,0.026892573176387834,0.0015263058888393096
0.028500304385181068,0.027710545406418752,0.0016232162145627849
0.02939188398646886,0.02855266730163496,0.0017262743897183018
0.030311355015675792,0.02941960686749358,0.0018358697286092482
0.03125959000482281,0.03031204781783084,0.0019524161077744346
0.032237488781490305,0.031230689770379495,0.002076353503694926
0.03324597932270942,0.032176248432635654,0.002208149625200431
0.034286018635565865,0.03314945577703556,0.002348301646200791
0.035358593665351795,0.034151060204345385,0.0024973380446747287
0.03646472223212749,0.03518182669410799,0.0026558205541676464
0.03760545399658172,0.03624253694093015,0.0028243462343828154
0.03878187145610724,0.03733398947533128,0.0030035496677956676
0.039995090972036657,0.038456999767811445,0.0031941052895788514
0.04124626382901352,0.03961240031473161,0.003396729858495909
0.04253657732750387,0.04080104070453287,0.0036121850768032035
