# Fig 2C: local logit slope of the fitted physical occupancy; fitted exponent 2.0179; value at S = 1.7251
glutamine_mM,nH_loc
0.01,0.04611941612687705
0.010192264292419075,0.04788317204241383
0.01038822514065209,0.04971267200762699
0.010587953616267841,0.05161023382293898
0.010791522157287613,0.05357824668705566
0.01099900459445718,0.05561917258260745
0.011210476178023924,0.057735547619196234
0.01142601360502879,0.05992998332615282
0.011645695047122947,0.06220516788681959
0.01186960017891929,0.06456386730546938
0.012097810206889013,0.06700892649740246
0.01233040789881379,0.0695432702920448
0.01256747761380419,0.07216990433820802
0.012809105332895252,0.07489191589994623
0.013055378690230301,0.0777124745306918
0.01330638700484432,0.08063483261263468
0.013562221313058396,0.08366232574748489
0.013822974401497002,0.0867983729839932
0.014088740840740082,0.09004647686680704
0.014359617019622142,0.09341022329043049
0.014635701180190797,0.09689328114120471
0.014917093453337438,0.10049940170950836
0.01520389589511295,0.10423241785346359
0.015496212523741667,0.10809624289476957
0.015794149357346944,0.11209486922643422
0.0160978144524021,0.11623236661151917
0.016407317942920566,0.12051288015129694
0.016722772080399607,0.12494062790062771
0.017044291274531956,0.12951989810775327
0.017371992134700205,0.13425504605530672
0.01770599351226899,0.13915049047889452
0.0180464165436903,0.14421070953933648
0.01839338469443755,0.14944023632452277
0.018747023803784336,0.15484365385683618
0.01910746213044415,0.16042558958224248
0.01947483039908756,0.1661907093174389
0.019849261847753766,0.17214371063206513
0.020230892276173695,0.17828931564367514
0.020619860095022202,0.18463226320417045
0.021016306376117178,0.19117730045767178
0.021420374903583842,0.19792917375132502
0.021832212226002727,0.2048926188824278
0.022251967709560273,0.21207235066736024
0.022679793592221345,0.21947305182043214
0.023115845038943254,0.22709936113353577
0.023560280197951394,0.23495586095085852
0.024013260258096816,0.24304706393651992
0.024474949507316626,0.25137739913711565
0.024945515392218304,0.25995119734560956
0.025425128578809703,0.2687726757779771
0.025913963014396586,0.2778459220793267
0.02641219599067029,0.2871748776820234
0.0269200082080083,0.2967633205444528
0.02743758384101114,0.3066148473057124
0.027965110605299243,0.31673285489839853
0.028502779825594144,0.32712052166890504
0.029050786505108596,0.3377807880623223
0.029609329396270825,0.3487163369367062
0.03017861107280856,0.3599295735795449
0.03075883800321897,0.37142260550735245
0.031350220625651154,0.38319722213753327
0.031952973424228426,0.39525487442962354
0.0325673150068379,0.4075966546011199
0.03319346818441578,0.4202232760307861
0.03383166005175695,0.43313505346959486
0.03448212206987832,0.4463318836864756
0.035145090149965655,0.4598132266821614
0.035820804738934425,0.4735780876100463
0.036509510906635734,0.4876249995475611
0.03721145843473881,0.5019520072652012
0.0379269019073225,0.5165566521429241
0.0386561008032084,0.5314359583846596
0.03939931959006933,0.5465864206818508
0.04015682782034709,0.5620039934749078
0.04092890022901446,0.5776840819583703
0.04171581683321669,0.5936215349707996
0.0425178630338289,0.6098106399033083
0.04333532971896593,0.6262451197525775
0.044168513369482354,0.6429181324337315
0.045017716166500944,0.6598222724562832
0.04588324610100845,0.676949575052824
0.046765417085558515,0.694291522834282
0.04766454906812229,0.7118390550287609
0.04858096814812797,0.7295825793421589
0.049515006694731314,0.7475119864593217
0.05046700346736013,0.7656166671829324
0.05143730373857643,0.7838855321864021
0.05242625941930067,0.8023070343335963
0.05343422918644374,0.8208691934964915
0.054461578612992764,0.8395596237781621
0.05550868030059805,0.8583655630263781
0.05657591401470916,0.8772739045011057
0.0576636668223092,0.8962712305374875
0.05877233323229726,0.9153438480266605
0.05990231533856983,0.934477825517474
0.061054022965853265,0.9536590317259426
0.06222787381834004,0.9728731752241553
0.0634242936311827,0.992105845068118
0.06464371632490058,1.0113425521136659
0.06588658416275522,1.0305687707623081
0.06715334791115142,1.0497699808740752
0.06844446700312236,1.0689317095826154
0.06976040970495796,1.0880395727484478
0.0711016532860368,1.1070793157903764
0.07246868419192343,1.1260368536412984
0.07386199822079359,1.144898309583956
0.07528210070325156,1.1636500527337605
0.07672950668560478,1.182278733949905
0.07820474111666202,1.2007713199720498
0.07970833903812322,1.2191151255977561
0.08124084577862965,1.2372978437353104
0.0828028171515452,1.2553075731876961
0.08439481965653998,1.2731328440447134
0.08601743068504998,1.290762640583134
0.08767123872968677,1.308186421597284
0.08935684359767347,1.3253941381053254
0.09107485662838433,1.3423762483992006
0.09282590091506683,1.3591237304278678
0.09461061153082671,1.3756280915251389
0.09642963575895774,1.3918813755134325
0.09828363332770025,1.4078761672335989
0.10017327664951287,1.423605594569017
0.10209925106494473,1.4390633280476957
0.10406225509119664,1.4542435781210064
0.10606300067546086,1.4691410902299995
0.10810221345313198,1.4837511377813268
0.1101806330109822,1.4980695131639288
0.11229901315539642,1.5120925169447499
0.11445812218576468,1.5258169453875303
0.11665874317313088,1.5392400764423786
0.11890167424419892,1.5523596543561955
0.12118772887079934,1.5651738730545308
0.12351773616492123,1.5776813584448672
0.12589254117941667,1.5898811497892231
0.12831300521448666,1.6017726802906658
0.1307800061300595,1.6133557570341184
0.13329443866417529,1.6246305404166477
0.13585721475749182,1.635597523196375
0.13846926388402936,1.6462575092825762
0.14113153338827467,1.656611592382361
0.14384498882876623,1.6666611346118252
0.14661061432828545,1.6764077451716248
0.14942941293078082,1.685853259179054
0.15230240696515424,1.6949997167406032
0.15523063841604198,1.7038493423408172
0.15821516930172413,1.7124045246155088
0.16125708205930012,1.720667796569444
0.16435747993726973,1.7286418162911337
0.16751748739566186,1.7363293482102569
0.1707382505138567,1.7437332449359166
0.1740209374062485,1.7508564297079943
0.17736673864590013,1.7577018794870924
0.1807768676963434,1.7642726087032858
0.18425256135168083,1.770571653678358
0.18779508018514912,1.7766020577314117
0.19140570900630724,1.7823668569733135
0.1950857573270141,1.7878690667915014
0.1988365598363659,1.7931116690229785
0.20265947688476407,1.798097599810435
0.20655589497729096,1.80282973813347
0.2105272272765707,1.8073108950047292
0.21457491411529866,1.8115438033187325
0.21870042351862481,1.8155311083396586
0.22290525173658082,1.8192753588129755
0.22719092378674377,1.8227789986850071
0.23155899400733318,1.8260443594137465
0.23601104662094244,1.8290736528539546
0.24054869630910852,1.83186896469945
0.24517358879792867,1.8344322484655453
0.24988740145493654,1.836765319995015
0.25469184389745403,1.83886985247143
0.25958865861263936,1.8407473719244456
0.2645796215894569,1.8423992532124347
0.26966654296279724,1.8438267164689117
0.27485126766998125,1.8450308240002962
0.2801356761198867,1.84601247762376
0.2855216848749396,1.8467724164353096
0.2910112473462178,1.847311214999555
0.29660635450191913,1.847629281954223
0.3023090355894504,1.8477268590238247
0.30812135887140024,1.8476040204386643
0.31404543237566157,1.8472606727567555
0.3200834046599764,1.846696555088014
0.3262374655911803,1.8459112397215574
0.3325098471394283,1.844904133158685
0.338902824187692,1.8436744775556093
0.3454187153568193,1.842221352581603
0.3520598838464577,1.8405436776997859
0.3588287382921458,1.8386402148791685
0.36572773363888267,1.836509571748031
0.3727593720314938,1.8341502051999898
0.37992620372211516,1.831560425465357
0.3872308279951249,1.828738400661483
0.3946758941098586,1.8256821618367585
0.4022641022614484,1.8223896085238274
0.4099982045601375,1.8188585148181795
0.4178810060294221,1.8150865359988682
0.4259153656233839,1.811071215708351
0.434104197263583,1.8068099937085664
0.4424504708958863,1.8023002142302196
0.4509572135676147,1.7975391349318361
0.4596275105254002,1.7925239364844734
0.4684645063341508,1.7872517327970112
0.47747140601752946,1.781719581895631
0.48665147622035954,1.7759244974694728
0.4960080463933801,1.769863461092474
0.5055445100007792,1.763533435129001
0.5152643257509439,1.7569313763281416
0.5251710188508736,1.750054250108337
0.5352681822847103,1.7428990455304416
0.5455594781168517,1.735462790953261
0.5560486388201173,1.7277425703611538
0.5667394686294512,1.719735540348365
0.5776358449216517,1.7114389477394074
0.5887417196216271,1.7028501478190388
0.6000611206356913,1.6939666231391635
0.6115981533124131,1.6847860028634212
0.6233570019315554,1.6753060826032495
0.6353419312216401,1.6655248446919253
0.6475572879066898,1.6554404788355312
0.6600075022827092,1.6450514030719845
0.6726970898244757,1.6343562849612963
0.6856306528232231,1.623354062922187
0.6988128820558116,1.6120439676221077
0.712248558485991,1.6004255433197327
0.7259425549983726,1.588498669051192
0.7398998381657382,1.5762635795437991
0.7541254700503306,1.5637208857339409
0.7686246100397734,1.5508715947592222
0.7834025167182918,1.5377171292890746
0.7984645497739082,1.5242593460529221
0.8138161719423078,1.5105005534208347
0.8294629509880765,1.4964435278884933
0.8454105617240325,1.4820915293163848
0.8616647880693808,1.4674483147725432
0.8782315251474404,1.4525181508290321
0.8951167814237001,1.4373058241647338
0.9123266808849868,1.4218166503310627
0.9298674652605262,1.4060564805429538
0.9477454962857096,1.3900317063649974
0.9659672580093832,1.373749262171883
0.9845393591455,1.3572166252734281
1.0034685354699837,1.3404418136073508
1.022761652263678,1.3234333809175356
1.042425706802262,1.3062004093518138
1.062467830894041,1.2887524994310227
1.0828952934665281,1.271099757360288
1.1037155032027568,1.253252779673793
1.124936011228281,1.2352226352256717
1.146564513849835,1.2170208445617443
1.168608855346651,1.1986593567294244
1.1910770308154397,1.1801505236059415
1.213977189070074,1.1615070718477762
1.2373176355970195,1.1427420725865587
1.2611068355675896,1.1238689090183562
1.2853534169081158,1.1049012420539224
1.3100661734291437,1.0858529742168552
1.3352540680147955,1.0667382119943214
1.360926235873451,1.0475712268609025
1.3870919878509274,1.0283664152098384
1.4137608138073599,1.0091382574373517
1.4409423860590085,0.9899012764345915
1.4686465628862373,0.9706699957479479
1.4968833921089402,0.9514588976718984
1.5256631147307091,0.932282381539149
1.5549961686530671,0.9131547224705904
1.5848931924611125,0.8940900308425381
1.6153650292819468,0.8751022127209691
1.6464227307172878,0.8562049315020959
1.6780775608516918,0.8374115709858462
1.7103410003378396,0.8187352000937974
1.7432247505603682,0.8001885394261247
1.7767407378797588,0.7817839298333975
1.8109011179578185,0.7635333031589087
1.8457182801663254,0.7454481552859206
1.8812048520804385,0.7275395216020971
1.917373704058496,0.7098179549707468
1.9542379539098707,0.6922935062756682
1.9918109716525687,0.6749757075836382
2.0301063843623015,0.6578735579462298
2.069138081114788,0.6409955118409245
2.1089202180230777,0.6243494702306869
2.1494672233717265,0.6079427742014569
2.190793802849682,0.5917822011186403
2.2329149448837806,0.5758739632267493
2.2758459260747865,0.5602237086010253
2.3196023167379467,0.54483652434625
2.3641999865500734,0.5297169419260692
2.409655110305197,0.5148689444961007
2.4559841737808803,0.5002959761058073
2.503203979717323,0.4860009526276414
2.551331653911419,0.47198627426721473
2.600384651427986,0.45825383950516785
2.650380762930408,0.4448050603199342
2.701338121133002,0.43164087854058797
2.753275207377433,0.41876178318035107
2.806210858335573,0.406167828603965
2.860164272841234,0.3938586533858895
2.915155018853248,0.3818334997210494
2.971203040552424,0.3700912332554551
3.0283286655749455,0.3586303632103652
3.086552612384862,0.34744906268057735
3.1458959977883043,0.33654518899485714
3.206380344592181,0.3259163040342364
3.268027589410125,0.31555969441191734
3.3308600906185206,0.3054723914266267
3.394900636465491,0.29565119070941803
3.460172453335801,0.2860926714920284
3.526699214174659,0.2767932154328678
3.5945050470734787,0.2677490249445069
3.663614544020716,0.2589561409740592
3.7340527698209534,0.2504104601950898
3.8058452711854645,0.24210775157657607
3.8790180859975596,0.23404367230096704
3.953597752756071,0.22621378300952494
4.0296113202004,0.21861356235884477
4.107086357120622,0.2112384208777514
4.186050962356205,0.2040837141186479
4.266533774986965,0.19714475510183732
4.34856398471996,0.19041682605537438
4.432171342476085,0.18389518945662817
4.5173861711802115,0.17757509838496038
4.6042393767587795,0.17145180619777323
4.692762459348836,0.16552057554466096
4.782987524722586,0.1597766867365345
4.874947295931591,0.15421544548840524
4.9686751251748476,0.1488321900560179
5.064205005895047,0.1436222977877512
5.161571585107402,0.13858119111417044
5.260810175965509,0.13370434299834266
5.361956770568817,0.12898728187053346
5.465048053016324,0.12442559607121728
5.570121412711266,0.12001493782646436
5.677214957921594,0.11575102677974665
5.786367529601171,0.1116296531040374
5.897618715476719,0.10764668021779215
6.011008864405581,0.10379804712800642
6.126579101009553,0.10007977042305408
6.244371340590063,0.09648794593745126
6.364428304330112,0.09301875011005574
6.486793534788508,0.08966844105653218
6.611511411691982,0.08643335937618633
6.738627168030941,0.08330992871251235
6.868186906464683,0.08029465608601677
7.000237616042021,0.07738413201708158
7.134827189243392,0.07457503045582323
7.272004439350617,0.07186410853509308
7.411819118150629,0.0692482061619567
7.554321933979568,0.06672424546218964
7.699564570113816,0.06428923009153696
7.847599703514607,0.061940244426712164
7.998481023933044,0.059674452648351375
8.152263253382433,0.057489097727406596
8.30900216598499,0.055381500325745674
8.468754608200157,0.05334905762103803
8.631578519441796,0.05138924206534174
8.797532953091812,0.049499600086166856
8.96667809791778,0.04767775073818103
9.139075299902357,0.04592138431313638
9.314787084492394,0.044228260915040646
9.49387717927582,0.0425962090070641
9.676410537094526,0.04102312393617019
9.862453359601622,0.03950696644098113
10.052073121271615,0.0380457611479375
10.245338593872223,0.036637595060384984
10.44231987140669,0.035280616044820405
10.643088395535655,0.03397303131815101
10.847716981487787,0.03271310593946666
11.0562798444686,0.0314991613094924
11.268852626577003,0.0303295736805777
11.485512424239369,0.02920277267978809
11.706337816171056,0.028117239847394407
11.931408891875533,0.02707150719280174
12.160807280691444,0.026064155769726375
12.39461618139813,0.025093814272210916
12.632920392390382,0.0241591576528659
12.875806342433325,0.023258905764540108
13.123362122008622,0.022391822026448807
13.37567751526335,0.021556712115630754
13.632844032573132,0.020752422684458604
13.89495494373136,0.01997784010479274
14.162105311776504,0.019231889239246118
14.434392027469816,0.01851353223991456
14.711913844435916,0.017821767374824733
14.994771414979002,0.01715562788225825
15.283067326587688,0.016514180853025535
15.576906139141633,0.01589652614068621
15.876394422833673,0.015301795299642828
16.181640796820897,0.01472915055097318
16.492755968618937,0.014177783775809298
16.80985277425364,0.01364691553602169
17.133046219184706,0.013135794121922542
17.46245352001619,0.012643694626662141
17.79819414700888,0.012169918046958057
18.140389867410075,0.011713790409766061
18.48916478961645,0.011274661924475373
18.84464540818598,0.010851906160188128
19.206960649715302,0.01044491924762371
19.576241919599152,0.010053119105172039
19.952623149688797,0.009675944688606799
