# S1 Fig A: n=4, non-identical ladder, fixed free effector l=0.9
free_enzyme,s1_over_s0,s2_over_s1,s3_over_s2,s4_over_s3
3.062750709270201e-05,1.5954415954415955,0.19036519036519028,4.786324786324786,0.5223171889838557
3.370428927402665e-05,1.5954415954415955,0.19036519036519028,4.786324786324784,0.5223171889838556
3.709016345902652e-05,1.5954415954415955,0.19036519036519034,4.786324786324784,0.5223171889838556
4.0816181764567824e-05,1.5954415954415955,0.1903651903651904,4.7863247863247835,0.5223171889838558
4.4916516064360545e-05,1.5954415954415955,0.19036519036519028,4.786324786324787,0.5223171889838557
4.9428771465511504e-05,1.5954415954415953,0.19036519036519034,4.786324786324786,0.5223171889838558
5.4394331291887215e-05,1.5954415954415953,0.1903651903651903,4.786324786324786,0.5223171889838557
5.985873674272017e-05,1.5954415954415953,0.1903651903651903,4.786324786324787,0.5223171889838556
6.587210471389196e-05,1.595441595441595,0.1903651903651903,4.786324786324787,0.5223171889838556
7.248958762052455e-05,1.5954415954415955,0.19036519036519037,4.786324786324787,0.5223171889838558
7.977187944617565e-05,1.5954415954415955,0.19036519036519026,4.786324786324785,0.5223171889838555
8.77857726696331e-05,1.5954415954415953,0.1903651903651904,4.786324786324785,0.5223171889838555
9.660477118906883e-05,1.5954415954415953,0.1903651903651903,4.786324786324787,0.5223171889838556
0.0001063097648794673,1.5954415954415764,0.19036519036519112,4.7863247863248075,0.5223171889838556
0.00011698977198768912,1.5954415954415955,0.1903651903651902,4.786324786324786,0.5223171889838557
0.0001287427561952982,1.5954415954415957,0.19036519036519028,4.786324786324785,0.5223171889838557
0.0001416765258691544,1.5954415954415953,0.1903651903651903,4.786324786324786,0.5223171889838557
0.00015590972377858007,1.5954415954415957,0.1903651903651903,4.786324786324786,0.5223171889838558
0.00017157291639484964,1.5954415954415708,0.19036519036519037,4.786324786324787,0.52231718898385
0.0001888097928100837,1.5954415954415957,0.19036519036519026,4.786324786324787,0.5223171889838556
0.00020777848432803345,1.5954415954415953,0.19036519036519034,4.786324786324786,0.5223171889838557
0.00022865301689803537,1.595441595441596,0.1903651903651903,4.786324786324786,0.5223171889838557
0.00025162490979646114,1.5954415954415955,0.1903651903651904,4.786324786324787,0.5223171889838557
0.0002769049353190364,1.595441595441596,0.19036519036519023,4.786324786324788,0.5223171889838556
0.000304725055745612,1.5954415954415944,0.19036519036519028,4.786324786324782,0.5223171889838558
0.00033534055549089086,1.5954415954415953,0.19036519036519037,4.786324786324785,0.5223171889838558
0.00036903238817635785,1.5954415954416081,0.19036519036518815,4.7863247863247596,0.5223171889838556
0.0004061097603679406,1.5954415954415968,0.19036519036519028,4.786324786324788,0.5223171889838557
0.00044691297594118593,1.5954415954415953,0.19036519036519037,4.786324786324785,0.5223171889838557
0.0004918165674815513,1.5954415954415961,0.19036519036519034,4.786324786324788,0.5223171889838557
0.0005412327438287031,1.5954415954415957,0.1903651903651904,4.786324786324786,0.5223171889838557
0.0005956151858549205,1.5954415954415957,0.19036519036519037,4.786324786324784,0.5223171889838556
0.0006554632258615178,1.5954415954415955,0.19036519036519028,4.786324786324786,0.5223171889838556
0.0007213264496161164,1.5954415954415957,0.19036519036519034,4.786324786324786,0.5223171889838556
0.0007938097640760102,1.5954415954415964,0.1903651903651903,4.786324786324788,0.5223171889838559
0.0008735789782907884,1.5954415954415955,0.19036519036518934,4.786324786324836,0.5223171889838502
0.0009613669498980351,1.5954415954415953,0.19036519036519028,4.786324786324788,0.5223171889838557
0.0010579803550727486,1.595441595441595,0.19036519036519034,4.786324786324785,0.5223171889838556
0.0011643071458222508,1.5954415954415957,0.1903651903651903,4.786324786324786,0.5223171889838556
0.001281324765202594,1.5954415954415953,0.19036519036519034,4.786324786324783,0.5223171889838557
0.001410109198442602,1.595441595441595,0.19036519036519006,4.786324786324779,0.5223171889838552
0.001551844946184145,1.595441595441596,0.19036519036519028,4.786324786324786,0.5223171889838557
0.0017078360151767153,1.5954415954415957,0.1903651903651903,4.786324786324787,0.5223171889838557
0.0018795180319090225,1.5954415954415961,0.19036519036519034,4.786324786324785,0.5223171889838564
0.0020684715959429388,1.5954415954415948,0.1903651903651903,4.786324786324781,0.522317188983855
0.0022764370022740105,1.5954415954415957,0.1903651903651903,4.786324786324788,0.5223171889838557
0.002505330476036581,1.5954415954415957,0.1903651903651905,4.786324786324789,0.5223171889838563
0.0027572620784796597,1.5954415954415953,0.19036519036519028,4.786324786324786,0.5223171889838558
0.003034555460567735,1.5954415954415953,0.19036519036519037,4.786324786324784,0.5223171889838556
0.0033397696600434095,1.5954415954415957,0.1903651903651903,4.786324786324786,0.5223171889838558
0.003675723159594949,1.5954415954415953,0.19036519036519028,4.786324786324785,0.5223171889838556
0.004045520448210027,1.5954415954415957,0.1903651903651903,4.786324786324779,0.5223171889838552
0.004452581355222141,1.5954415954415955,0.19036519036519037,4.786324786324786,0.5223171889838556
0.004900673457376452,1.5954415954415955,0.1903651903651903,4.786324786324786,0.5223171889838558
0.0053939478939282375,1.5954415954415955,0.1903651903651903,4.786324786324787,0.5223171889838557
0.005936978963884051,1.595441595441597,0.19036519036519023,4.786324786324781,0.5223171889838556
0.006534807923631875,1.5954415954415933,0.19036519036519045,4.78632478632479,0.5223171889838565
0.007192991453110948,1.5954415954415953,0.19036519036519065,4.786324786324792,0.5223171889838557
0.007917655315188671,1.5954415954415981,0.19036519036519056,4.786324786324794,0.5223171889838556
