# Fig 4D: profile likelihood loss N log(SSE_W/SSE_free) against the regulatory swing W = f_max/w_0; threshold 3.841; lower endpoint 172.91
swing,loss
31.622776601683793,30.521464299845512
34.04944926197731,29.251650032675094
36.66234023808762,27.97251559136751
39.47573957486214,26.685077872868515
42.505033908430704,25.390598852304027
45.766790616567,24.09062318926304
49.27884842659141,22.787018066625908
53.0604149763545,21.482014193928915
57.132171861867576,20.178246322281787
61.51638774609209,18.878790889866394
66.2370401474852,17.587197552362376
71.3199465743708,16.30751040150082
76.79290572231622,15.044273731671032
82.68584950673143,13.802516439021812
89.031006762165,12.587708767829481
95.86307950357794,11.405685451339512
103.21943271357688,10.262530657615912
111.14029869356504,9.164422817209639
119.66899709641726,8.117441479002798
128.85217184405016,7.127343603794531
138.7400462256043,6.199322530698041
149.3866975713816,5.337768184629787
160.85035300474743,4.546050613173048
173.1937078894794,3.826349405833626
186.48426871416936,3.1795482321133455
200.79472228893275,2.6052068005720495
216.20333327358097,2.1016131456917635
232.79437221136322,1.6659091828650008
250.65857640921433,1.2942739968566124
269.8936461850908,0.9821439486721784
290.60477919639686,0.724447103634683
312.9052457717759,0.5158314188636417
336.91700839278377,0.35087056650605514
362.7713887134263,0.22423688844432185
390.6097857655279,0.13083655953522086
420.58444927783444,0.06590672167744979
452.85931233817666,0.02507771919905393
487.6108879525666,0.004405569767341299
525.0292344045645,0.0003806405184289867
565.3189946945122,0.009918473045644489
608.7005157433863,0.030338129648981412
655.4110534822636,0.059332584342304276
705.7060704180911,0.09493475157599252
759.8606327722256,0.13548185907875224
818.1709148327676,0.1795800967068965
880.9558187480769,0.22607083750471912
948.5587186202094,0.27399923096101164
1021.349338436819,0.32258559783943097
1099.7257741120318,0.3711997908180854
1184.1166706949616,0.41933850414522117
1274.9835666531199,0.46660539885670593
1372.823418051744,0.5126938409189798
1478.1713164339335,0.557372014333033
1591.6034152658021,0.6004701591436434
1713.7400809515614,0.6418696874869831
1845.2492856515973,0.681493943484546
1986.8502604590544,0.7193003908270759
2139.3174289143476,0.7552740324664655
2303.4846423702184,0.7894218880670665
2480.2497403707575,0.8217683755638685
2670.579460985402,0.852351462612424
2875.5147279527464,0.8812194715366756
3096.1763435498638,0.9084284373972036
3333.7711183217893,0.9340399330146214
3589.5984711949354,0.9581192872730768
3865.0575360708617,0.9807341338892643
4161.654813766747,1.0019532372461697
4481.012411151446,1.0218455499867667
4824.876912537391,1.0404794640071953
5195.128931846551,1.0579222224269818
5593.793397791663,1.0742394651692113
6023.050628323045,1.0894948850910446
6485.248254907712,1.1037499752549915
6982.914061855316,1.1170638510306001
7518.769810909976,1.1294931333384963
8095.746126715335,1.1410918815662678
8716.998524562372,1.151911566560498
9385.92466807654,1.1620010756832868
10106.182951227542,1.1714067432531419
10881.712506287626,1.1801724008204197
11716.75474716334,1.1883394426695404
12615.876565922026,1.1959469027452307
13583.995309376403,1.2030315398632063
14626.405672325489,1.2096279286346623
15748.808654532444,1.2157685540049727
16957.34273980669,1.2214839077017456
18258.617467710388,1.226802585219628
19659.74958149483,1.2317513822502641
21168.401949961743,1.236355389686399
22792.825476115384,1.2406380865326623
24541.904221806097,1.2446214302076417
26425.203995154516,1.248325943853957
28453.024666483736,1.2517708003859247
30636.45649887813,1.2549739030869316
32987.44080144385,1.2579519626470559
35518.835236986626,1.2607205705864042
38244.48414127911,1.2632942690585767
41179.29423849648,1.2656866170660939
44339.316166913115,1.2679102531499429
47741.83226072862,1.2699769546372857
51405.45106810622,1.2718976935478268
55350.20912234953,1.2736826892769315
59597.680522807845,1.275341458177203
64171.0949248153,1.2768828601680011
69095.46458395704,1.2783151425087065
74397.72114947443,1.2796459808684315
80106.86295493995,1.280882517828252
86254.11361174284,1.2820313989481225
92873.09277274169,1.283098806529834
100000.0,1.2840904912031261
