# Fig 2b
l,nH_n1,nH_n2,nH_n3,nH_n12
0.0031622776601683794,0.9999999859289233,1.0000000205678816,1.00000003833145,1.0000000210119708
0.0033506234845336077,1.0000000019161348,1.0000000019161348,0.9999999850407448,1.0000000019161348
0.00355018721996422,1.0000000099097406,1.000000025452863,1.0000000099097406,0.9999999783794067
0.0037616370072543893,1.0000000010279564,0.9999999859289233,0.9999999708298901,1.0000000005838672
0.003985680781783775,0.9999999903698154,0.9999999903698154,1.00000000458067,1.00000000458067
0.004223068643690165,1.0000000099097406,0.999999983264388,1.0000000227883277,1.0000000099097406
0.00447459536921003,1.0000000068011161,1.000000006357027,1.0000000441046097,0.9999999690535333
0.0047411030715949695,1.0000000005838672,1.0000000125742758,0.9999999885934585,0.9999999890375477
0.005023484020512821,1.0000000036924916,0.9999999814880312,1.0000000036924916,0.9999999814880312
0.005322683629372804,1.0000000032484024,1.0000000139065435,1.0000000245646845,0.9999999925902614
0.005639703620576279,0.9999999992515995,0.9999999992515995,1.000000019235614,0.9999999992515995
0.005975605379290422,1.0000000028043132,1.0000000028043132,1.0000000121301866,0.9999999930343506
0.006331513506973245,0.9999999996956888,0.9999999996956888,0.9999999908139046,1.000000008577473
0.006708619586547219,0.9999999988075103,0.9999999988075103,1.000000015238811,0.9999999988075103
0.007108186171827296,1.0000000041365809,1.0000000041365809,1.0000000196797032,0.9999999961429751
0.007531551014560001,0.9999999983634211,0.9999999983634211,0.9999999983634211,0.9999999908139046
0.007980131543225704,0.9999999996956888,0.9999999925902614,1.0000000068011161,0.9999999925902614
0.008455429608599185,1.0000000019161348,1.0000000019161348,0.9999999885934585,1.0000000019161348
0.008959036511956614,1.0000000036924916,0.9999999974752427,1.0000000099097406,1.0000000099097406
0.009492638332763457,1.0000000010279564,1.0000000014720456,1.0000000014720456,0.9999999894816369
0.010058021573680418,0.9999999996956888,0.9999999996956888,0.9999999943666182,0.9999999996956888
0.010657079141786952,1.0000000028043132,1.0000000134624543,1.0000000028043132,0.9999999974752427
0.011291816686047524,1.0000000010279564,1.0000000010279564,1.000000006357027,1.0000000010279564
0.01196435931223849,0.9999999979193319,1.0000000028043132,0.9999999930343506,1.0000000072452053
0.012676958697817228,1.0000000014720456,1.0000000014720456,0.9999999925902614,0.9999999970311535
0.013432000630554154,0.9999999992515995,0.9999999908139046,0.9999999996956888,1.0000000036924916
0.014232012996167009,0.9999999979193319,0.999999993922529,0.9999999979193319,1.0000000019161348
0.015079674241700076,0.9999999970311535,0.9999999970311535,1.0000000005838672,1.00000000458067
0.01597782234298378,1.0000000005838672,1.0000000005838672,0.9999999970311535,1.0000000005838672
0.01692946430619779,1.000000002360224,1.0000000059129377,0.9999999988075103,0.9999999952547967
0.01793778623534893,1.0000000032484024,0.9999999970311535,0.9999999996956888,1.000000000139778
0.019006163999369864,0.9999999999177334,0.9999999968091089,1.0000000030263578,0.999999993922529
0.020138174534552102,1.0000000005838672,1.0000000005838672,0.9999999976972873,1.0000000005838672
0.021337607820153946,0.9999999988075103,1.0000000014720456,0.9999999961429751,0.9999999961429751
0.022608479567277774,1.0000000003618226,1.0000000028043132,1.0000000028043132,1.0000000028043132
0.023955044663499153,0.9999999999177334,0.9999999999177334,1.000000000139778,1.0000000048027147
