# Fig 4A: the bounded fixed-exponent fits h = 1, 2, 3 as curves, on the grid of Fig3A_fit.csv
glutamine_mM,fit_h1,fit_h2,fit_h3
0.01,2.9603344575786403,2.970230380929841,2.8409838198055097
0.010216739517934467,2.9594863585058104,2.970195137038718,2.840982935019724
0.01043817663773238,2.9586203794799135,2.970158349893754,2.8409819914483827
0.010664413174990074,2.957736154495619,2.9701199519672548,2.840980985185802
0.0108955531520502,2.9568333105279856,2.97007987278104,2.840979912066814
0.011131702845830671,2.955911467418385,2.9700380387779113,2.84097876764953
0.011372970836690179,2.95497023775951,2.9699943731875584,2.840977547196953
0.011619468058352877,2.9540092267794833,2.969948795886661,2.840976245657378
0.011871307848915111,2.9530280322251277,2.969901223252941,2.84097485764348
0.012128606002957657,2.952026244244432,2.9698515680129076,2.8409733774100214
0.012391480824787469,2.951003445268264,2.9697997390830246,2.840971798830077
0.012660053182833331,2.9499592098913894,2.9697456414040215,2.840970115369674
0.012934446565220532,2.948893104752844,2.9696891757680564,2.8409683200607567
0.013214787136550034,2.947804688415723,2.96963023863843,2.8409664054723485
0.013501203795908278,2.9466935112464503,2.9695687219615308,2.840964363679802
0.013793828236134294,2.9455591152935954,2.9695045129706865,2.8409621862320065
0.014092795004371345,2.9444010341663063,2.96943749398158,2.840959864116416
0.014398241563931016,2.943218792912446,2.9693675421788703,2.840957387721758
0.014710308357498057,2.9420119078964873,2.969294529393655,2.840954746798263
0.015029138871705205,2.940779886677285,2.969218321871382,2.840951930415254
0.01535487970310756,2.9395222278857855,2.9691387800298212,2.840948926915919
0.015687680625586876,2.9382384211027825,2.969055758206664,2.8409457238690856
0.016027694659216836,2.9369279467368212,2.9689691043963347,2.8409423080177816
0.016375078140620784,2.9355902759023422,2.968878659975554,2.8409386652243978
0.016729990794854523,2.934224870298194,2.96878425941719,2.840934780412193
0.017092595808847005,2.932831182086613,2.968685729991916,2.8409306375029244
0.017463059906432824,2.9314086537728063,2.968582891457162,2.840926219350342
0.017841553425010922,2.929956718085256,2.968475555732841,2.840921507669254
0.01822825039386481,2.928474797856886,2.9683635265633135,2.8409164829599
0.018623328614180302,2.926962305907231,2.968246599165011,2.8409111244272958
0.019026969740797563,2.925418644925752,2.9681245598591457,2.8409054098952238
0.019439359365734977,2.923843207356454,2.9679971856888954,2.8408993157145237
0.019860687103523404,2.9222353752839747,2.9678642440204324,2.8408928166652894
