# Fig 2B: maximum switch elasticity of eq (6) against A_UT/A_UR
affinity_ratio,eta_max
1.0,1.0
1.0312831606721848,1.0077008012576796
1.0635449574860112,1.0154006892184506
1.096816005273138,1.0230987510186131
1.1311278765939214,1.030794074660446
1.1665131316981963,1.0384857494441073
1.2030053494233244,1.0461728663982257
1.240639159058832,1.053854518708755
1.2794502732078736,1.0615298021456587
1.3194755216767062,1.0691978154870032
1.3607528864243335,1.0768576609400362
1.403321537605485,1.0845084445588358
1.4472218707411348,1.0921492766581185
1.4924955450518296,1.0997792722228057
1.5391855229902058,1.1073975513129528
1.587336111010209,1.1150032394636475
1.6369930016117025,1.1225954680795043
1.6882033167003634,1.1301733748233822
1.7410156523040161,1.1377361039989606
1.7954801246878311,1.145282806926831
1.8516484179121548,1.152812642313758
1.9095738328780973,1.1603247766147826
1.9693113379074225,1.1678183843878538
2.0309176209047357,1.17529264864068
2.0944511431514696,1.1827467611695113
2.159972194782718,1.1901799228895726
2.2275429519995575,1.1975913441568815
2.2972275360711523,1.2049802450812
2.369092074182633,1.2123458558298836
2.4432047621864883,1.2196874169223997
2.519635929317015,1.2270041795153113
2.598458104929249,1.2342954056775297
2.6797460873256913,1.241560368655654
2.763577014736159,1.248798353129238
2.850030438518107,1.25600865545583
2.9391883986468863,1.2631905839056543
3.0311355015675785,1.2703434588858113
3.1259590004822804,1.2774666131538983
3.2237488781490296,1.2845593920209544
3.3245979322709407,1.29162115354366
3.428601863556586,1.2986512687057308
3.5358593665351785,1.3056491215884607
3.646472223212748,1.3126141095303856
3.760545399658171,1.3195456432760502
3.8781871456107226,1.3264431471138793
3.9995090972036653,1.3333060590031645
4.1246263829013525,1.3401338306901935
4.253657732750387,1.3469259278135637
4.386725591048498,1.3536818299987285
4.523956232538054,1.36040103094185
4.6654798822344725,1.3670830384830264
4.811430839003259,1.3737273746689973
4.961947603002903,1.3803335758054154
5.117173007114605,1.3869011924988106
5.277254352483538,1.393429789688363
5.442343548300267,1.3999189466676227
5.612597255954972,1.4063682570963234
5.788177037701274,1.412777329002439
5.969249509970735,1.419145784774656
6.155986501483509,1.4254732611454233
6.348565216305219,1.4317594091647714
6.547168402004738,1.4380038941650803
6.751984523072503,1.4442063957170004
6.963207939763885,1.4503666075767192
7.181039092537351,1.4564842376247953
7.405684692262437,1.4625590077967623
7.637357916378021,1.4685906540057325
7.876278611187057,1.4745789260572193
8.122673500479713,1.480523587556412
8.376776400682918,1.486424415808134
8.638828442740447,1.4922812017097224
8.909078300934137,1.4980937496370716
9.187782428863335,1.503861877324078
9.475205302806543,1.5095854157357356
9.771619672696177,1.5152642089351296
10.077306820944612,1.5208981139445699
10.392556829367125,1.5264870006011202
10.71766885445503,1.5320307514067701
11.052951411260215,1.5375292613734948
11.39872266616052,1.5429824378634585
11.755310738783693,1.5483902004246073
12.123054013376523,1.5537524806218967
12.502301459914554,1.5590692218644013
12.89341296525715,1.564340379228556
13.29675967466212,1.5695659192777605
13.712724343984002,1.5747458198785997
14.141701702890233,1.5798800700139086
14.584098829439856,1.5849686695929182
15.040335536380244,1.5900116292587192
15.510844769528397,1.5950089701932655
15.996073018614878,1.5999607239201457
16.496480740980207,1.6048669321053441
17.012542798525892,1.6097276463562047
17.544748908334597,1.6145429280188162
18.093604107387165,1.6193128479740222
18.65962923181746,1.6240374864322646
19.2433614111598,1.6287169327274549
19.845354578058032,1.633351285110073
20.466179993919898,1.6379406505396814
21.106426791015547,1.6424851444770372
21.76670253153459,1.6469848906759867
22.44763378413224,1.6514400209753137
23.14986671851161,1.65585067509071
23.87406771860647,1.6602170004070378
24.620924014946254,1.6645391517710348
25.39114433680347,1.668817291284623
26.185459584742325,1.6730515880989647
27.00462352420682,1.6772422182094098
27.849413500806442,1.681389364251471
28.72063117797828,1.6854932152979616
29.619103297725534,1.6895539666574169
30.545682465154318,1.693571819673927
31.50124795755328,1.697546981528491
32.486706558783744,1.7014796650420072
33.502993419772295,1.7053700884800032
34.55107294592218,1.7092184753592037
35.631939712285856,1.713025054256036
36.7466194073669,1.7167900586171578
37.896169806447176,1.7205137265720973
39.08168177536266,1.7241963007480805
40.30428030568053,1.7278380280871237
41.5651255822599,1.731439159665463
42.86541408420927,1.7349999505153821
44.20637972028532,1.738520659449504
45.58929499981062,1.7420015488876004
47.01547224022132,1.745442884685972
48.48626481239081,1.7488449359694478
50.00306842491092,1.752207974966048
51.56732244854966,1.7555322768443467
53.180511282142,1.758818119553575
54.84416576121018,1.7620657836664952
56.55986461065005,1.7652755522250683
58.329235942862034,1.7684477105889485
60.153958802748356,1.771582546286822
62.035764761042714,1.7746803488706024
63.97643955748427,1.7777414097725064
65.97782479539536,1.7807660221650121
68.04181968927098,1.783754480823717
70.17038286703826,1.786707081993089
72.36553422869653,1.7896241232551267
74.62935686310134,1.7925059034009143
76.96399902471158,1.795352722305081
79.37167617217551,1.798164880803146
81.8546730706903,1.8009426805717565
84.41534596012986,1.8036864240117914
87.05612479099865,1.8063964141343323
89.77951553033323,1.8090729544494795
92.58810253973955,1.8117163488579975
95.48455102782293,1.8143269015457735
98.47160957933774,1.8169049168810663
101.5521127634568,1.8194506993145243
104.72898382363586,1.82196455328195
108.00523745162529,1.824446783109784
111.38398264826195,1.8268976929232827
114.86842567375535,1.8293175865573632
118.46187309026836,1.831706767470083
122.16773489967919,1.834065538658727
125.98952777950272,1.8363942025784692
129.93087842004158,1.838693061063577
133.99552696593383,1.8409624152511244
138.18733056536323,1.84320256550718
142.5102670302998,1.8454138113554348
146.9684386112446,1.847596451408234
151.5660758900603,1.8497507832999769
156.30754179458157,1.8518771036228474
161.1973357388157,1.8539757078648378
166.2400978926612,1.8560468903500285
171.440613585197,1.858090944181083
176.8038178457207,1.8601081611839245
182.33480008684404,1.86209883185455
188.03880893409146,1.8640632453079435
193.9212572065829,1.8660016892290543
199.9877270535285,1.8679144498257918
206.24397525140904,1.869801811784007
212.69593866686898,1.8716640582244122
219.3497398905058,1.8735014706614062
226.2116930469024,1.875314328963761
233.2883097864156,1.8771029113171338
240.58630546440645,1.878867494188359
248.11260551377677,1.8806083522914914
255.87435201685892,1.8823257585555493
263.87891048289345,1.8840199840939262
272.13387683753086,1.8856912981754321
280.6470846309839,1.8873399681969234
289.4266124716752,1.888966259657483
298.4807916924327,1.8905704361341162
307.81821425650804,1.8921527592589222
