# S3 Fig: n=3, A*Khat=1, Bhat=Ghat=0.4/Khat, K_m=1/(n Bhat)
TE_over_TS,TS_over_Km,nH_local
0.0001,0.01,0.9999998341503202
0.0001311528637009947,0.01,0.9999997824583362
0.0001720107365697168,0.01,0.9999997147347335
0.0002255970068843577,0.01,0.9999996258946868
0.000295876934952565,0.01,0.9999995093157166
0.0003880510732210184,0.01,0.9999993564491096
0.0005089400951518089,0.01,0.9999991559594836
0.0006674895093141647,0.01,0.9999988930198136
0.0008754316063692439,0.01,0.99999854817344
0.0011481536214968829,0.01,0.9999980959351928
0.0015058363542798416,0.01,0.9999975027707882
0.0019749475012886663,0.01,0.9999967248541667
0.0025902002045313224,0.01,0.9999957045147997
0.0033971217438318515,0.01,0.9999943664073955
0.004455422450444643,0.01,0.9999926113668381
0.005843414133735175,0.01,0.9999903096968739
0.007663804974302347,0.01,0.999987291022675
0.01005129969225681,0.01,0.99998333202288
0.013182567385564075,0.01,0.9999781398151055
0.017289314635480613,0.01,0.9999713303232438
0.02267543125870802,0.01,0.9999623998446671
0.029739477452346046,0.01,0.9999506880242653
0.039004176328463466,0.01,0.9999353289435934
0.051155094217765276,0.01,0.9999151871498043
0.06709137099554112,0.01,0.9998887742723666
0.08799225435691066,0.01,0.9998541393940679
0.1154043614241516,0.01,0.9998087256046746
0.1513561248436207,0.01,0.9997491827284924
0.19850789211926126,0.01,0.9996711226811813
0.2603487851868921,0.01,0.9995687998920578
0.34145488738336005,0.01,0.999434695370131
0.44782786305028277,0.01,0.9992589763530251
0.5873390668414146,0.01,0.9990287955230844
0.7703120057972147,0.01,0.9987273869971853
1.0102862550356184,0.01,0.9983329045727
1.325019355056747,0.01,0.9978169411895971
1.7378008287493762,0.01,0.9971426569833829
2.2791755523244235,0.01,0.9962624450301014
2.9892040056464415,0.01,0.9951150703015977
3.920426655270148,0.01,0.9936222516385411
5.141751827683928,0.01,0.991684728152541
6.743554766405699,0.01,0.9891779894582677
8.84436519138599,0.01,0.9859480901548556
11.599638224676674,0.01,0.9818083467958345
15.213257710618697,0.01,0.9765382691495861
19.952623149688797,0.01,0.969886780667678
0.0001,0.01291549665014884,0.999999786144278
0.0001311528637009947,0.01291549665014884,0.9999997194698332
0.0001720107365697168,0.01291549665014884,0.9999996321063844
0.0002255970068843577,0.01291549665014884,0.9999995175091624
0.000295876934952565,0.01291549665014884,0.9999993671683116
0.0003880510732210184,0.01291549665014884,0.9999991700537665
0.0005089400951518089,0.01291549665014884,0.9999989114883747
0.0006674895093141647,0.01291549665014884,0.9999985723985079
0.0008754316063692439,0.01291549665014884,0.9999981276431621
0.0011481536214968829,0.01291549665014884,0.9999975444208049
0.0015058363542798416,0.01291549665014884,0.9999967793716682
0.0019749475012886663,0.01291549665014884,0.9999957760797761
0.0025902002045313224,0.01291549665014884,0.9999944602267918
0.0033971217438318515,0.01291549665014884,0.9999927345127757
0.004455422450444643,0.01291549665014884,0.9999904711344028
0.005843414133735175,0.01291549665014884,0.9999875027588592
0.007663804974302347,0.01291549665014884,0.9999836097007611
0.01005129969225681,0.01291549665014884,0.9999785039405009
0.013182567385564075,0.01291549665014884,0.9999718078301677
0.017289314635480613,0.01291549665014884,0.9999630261658845
0.02267543125870802,0.01291549665014884,0.9999515094227714
0.029739477452346046,0.01291549665014884,0.9999364061041763
0.039004176328463466,0.01291549665014884,0.9999165997309688
0.051155094217765276,0.01291549665014884,0.9998906266572787
0.06709137099554112,0.01291549665014884,0.9998565682622873
0.08799225435691066,0.01291549665014884,0.9998119102017051
0.1154043614241516,0.01291549665014884,0.9997533579275675
0.1513561248436207,0.01291549665014884,0.9996765959530187
0.19850789211926126,0.01291549665014884,0.9995759736425385
0.2603487851868921,0.01291549665014884,0.9994440961613889
0.34145488738336005,0.01291549665014884,0.9992712924123085
0.44782786305028277,0.01291549665014884,0.9990449254371562
0.5873390668414146,0.01291549665014884,0.9987485023566433
0.7703120057972147,0.01291549665014884,0.9983605303410383
1.0102862550356184,0.01291549665014884,0.9978530573274522
1.325019355056747,0.01291549665014884,0.997189826213012
1.7378008287493762,0.01291549665014884,0.9963239703371686
2.2791755523244235,0.01291549665014884,0.9951951858491217
2.9892040056464415,0.01291549665014884,0.9937263457551967
3.920426655270148,0.01291549665014884,0.9918195921280777
5.141751827683928,0.01291549665014884,0.9893520738995674
6.743554766405699,0.01291549665014884,0.9861717310162302
8.84436519138599,0.01291549665014884,0.9820938949032024
11.599638224676674,0.01291549665014884,0.9769000176140861
15.213257710618697,0.01291549665014884,0.9703405403363847
19.952623149688797,0.01291549665014884,0.9621446497372392
0.0001,0.016681005372000592,0.9999997242659974
0.0001311528637009947,0.016681005372000592,0.9999996383957961
0.0001720107365697168,0.016681005372000592,0.9999995257137103
0.0002255970068843577,0.016681005372000592,0.999999378004088
0.000295876934952565,0.016681005372000592,0.9999991842646174
0.0003880510732210184,0.016681005372000592,0.9999989300901598
0.0005089400951518089,0.016681005372000592,0.9999985967568003
0.0006674895093141647,0.016681005372000592,0.999998159595381
0.0008754316063692439,0.016681005372000592,0.9999975862762108
0.0011481536214968829,0.016681005372000592,0.999996834372118
0.0015058363542798416,0.016681005372000592,0.9999958481776569
0.0019749475012886663,0.016681005372000592,0.9999945548122424
0.0025902002045313224,0.016681005372000592,0.999992858530239
0.0033971217438318515,0.016681005372000592,0.9999906338042799
0.004455422450444643,0.016681005372000592,0.999987716127067
0.005843414133735175,0.016681005372000592,0.9999838895102662
0.007663804974302347,0.016681005372000592,0.9999788708969655
0.01005129969225681,0.016681005372000592,0.9999722891007466
0.013182567385564075,0.016681005372000592,0.9999636573942848
0.017289314635480613,0.016681005372000592,0.9999523371828507
0.02267543125870802,0.016681005372000592,0.9999374915525723
0.029739477452346046,0.016681005372000592,0.9999180231701098
0.039004176328463466,0.016681005372000592,0.9998924931919813
0.051155094217765276,0.016681005372000592,0.9998590158377595
0.06709137099554112,0.016681005372000592,0.9998151193069083
0.08799225435691066,0.016681005372000592,0.9997575652564968
0.1154043614241516,0.016681005372000592,0.9996821113689166
0.1513561248436207,0.016681005372000592,0.9995832027320851
0.19850789211926126,0.016681005372000592,0.9994535695168182
0.2603487851868921,0.016681005372000592,0.9992837035899466
0.34145488738336005,0.016681005372000592,0.9990611800514746
0.44782786305028277,0.016681005372000592,0.998769781307466
0.5873390668414146,0.016681005372000592,0.9983883706766272
0.7703120057972147,0.016681005372000592,0.9978894548957408
1.0102862550356184,0.016681005372000592,0.9972373645196337
1.325019355056747,0.016681005372000592,0.9963859798347005
1.7378008287493762,0.016681005372000592,0.9952759363442967
2.2791755523244235,0.016681005372000592,0.9938312724169955
2.9892040056464415,0.016681005372000592,0.9919555475194582
3.920426655270148,0.016681005372000592,0.9895275883636308
5.141751827683928,0.016681005372000592,0.9863972437136238
6.743554766405699,0.016681005372000592,0.9823818892648782
8.84436519138599,0.016681005372000592,0.9772649549000143
11.599638224676674,0.016681005372000592,0.9707984391330204
15.213257710618697,0.016681005372000592,0.9627121222284334
19.952623149688797,0.016681005372000592,0.9527326810277083
0.0001,0.021544346900318832,0.9999996447296186
0.0001311528637009947,0.021544346900318832,0.9999995340570369
0.0001720107365697168,0.021544346900318832,0.9999993889508874
0.0002255970068843577,0.021544346900318832,0.9999991986086996
0.000295876934952565,0.021544346900318832,0.9999989488973381
0.0003880510732210184,0.021544346900318832,0.99999862144261
