# S1 Fig B: n=3, T_E/T_L=1.1e-9
K_Z,s1_over_s0,s2_over_s1,s3_over_s2
1e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
1.2371916345321594e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
1.5306431405563594e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
1.8936988889503603e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
2.3428684237322354e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
2.898577214651068e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
3.586095482011829e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
4.436687330978616e-06,3.3333333314205023,1.1111111104735008,0.37037037015783353
5.4890324509215575e-06,3.333333331420502,1.1111111104735005,0.3703703701578335
6.790985029955707e-06,3.333333331420502,1.1111111104735005,0.3703703701578335
8.401749869294344e-06,3.3333333314205014,1.1111111104735003,0.3703703701578335
1.0394574653722626e-05,3.3333333314205014,1.1111111104735003,0.3703703701578335
1.2860080806105651e-05,3.3333333314205014,1.1111111104735003,0.3703703701578335
1.5910384392721533e-05,3.333333331420501,1.1111111104735003,0.37037037015783336
1.968419447286611e-05,3.333333331420501,1.1111111104735003,0.37037037015783336
2.4353120734334174e-05,3.3333333314205005,1.1111111104735,0.3703703701578333
3.012947724726992e-05,3.3333333314205,1.1111111104735,0.3703703701578333
3.727593720314938e-05,3.3333333314204996,1.1111111104734999,0.37037037015783325
4.611747767708261e-05,3.333333331420499,1.1111111104734999,0.37037037015783325
5.70561575878102e-05,3.3333333314204987,1.1111111104734996,0.3703703701578332
7.058940086618752e-05,3.3333333314204974,1.1111111104734992,0.37037037015783303
8.733261623828437e-05,3.3333333314204965,1.111111110473499,0.3703703701578329
0.00010804718223181286,3.3333333314204956,1.1111111104734985,0.37037037015783275
0.00013367506999197078,3.3333333314204934,1.1111111104734979,0.3703703701578326
0.0001653816783395673,3.333333331420491,1.1111111104734972,0.3703703701578323
0.0002046088289466013,3.3333333314204894,1.1111111104734963,0.37037037015783214
0.000253140331524157,3.333333331420486,1.1111111104734952,0.3703703701578317
0.00031318310052438447,3.3333333314204823,1.111111110473494,0.3703703701578313
0.0003874675120456132,3.333333331420478,1.1111111104734925,0.37037037015783086
0.0004793715645558219,3.333333331420472,1.1111111104734908,0.37037037015783014
0.0005930744895010559,3.333333331420465,1.1111111104734883,0.3703703701578294
0.000733746797065138,3.333333331420456,1.1111111104734854,0.3703703701578284
0.0009077853991937558,3.333333331420445,1.1111111104734817,0.3703703701578272
0.0011231045018329528,3.3333333314204316,1.1111111104734772,0.37037037015782576
0.001389495494373139,3.3333333314204148,1.1111111104734717,0.37037037015782387
0.0017190722018585747,3.333333331420394,1.1111111104734646,0.3703703701578216
0.0021268217472962102,3.3333333314203686,1.1111111104734561,0.3703703701578187
0.0026312860738959445,3.333333331420337,1.1111111104734457,0.37037037015781515
0.003255405118685032,3.333333331420298,1.1111111104734326,0.3703703701578109
0.004027559979850297,3.3333333314202496,1.1111111104734166,0.37037037015780544
0.004982863514647305,3.33333333142019,1.1111111104733966,0.3703703701577989
0.0061647570563371674,3.3333333314201155,1.111111110473372,0.37037037015779056
0.0076269858590234515,3.3333333314200244,1.1111111104733413,0.3703703701577804
0.00943604310147889,3.3333333314199107,1.1111111104733036,0.37037037015776786
0.011674193588234575,3.3333333314197704,1.1111111104732567,0.37037037015775226
0.01444321464727282,3.333333331419597,1.111111110473199,0.370370370157733
0.017869024337358284,3.3333333314193827,1.1111111104731275,0.3703703701577092
0.02210740742743128,3.333333331419117,1.1111111104730391,0.37037037015767965
0.027351099530412107,3.3333333314187894,1.1111111104729299,0.37037037015764324
0.033838551534282335,3.3333333314183835,1.1111111104727944,0.37037037015759816
0.041864772882899554,3.333333331417882,1.1111111104726272,0.37037037015754243
0.05179474679231213,3.3333333314172613,1.1111111104724205,0.3703703701574735
0.0640800274441601,3.3333333314164943,1.111111110472165,0.3703703701573882
0.07927927389450606,3.3333333314155467,1.111111110471849,0.3703703701572829
0.09808365445406671,3.333333331414375,1.1111111104714584,0.3703703701571528
0.12134827677491455,3.3333333314129283,1.111111110470976,0.370370370156992
0.15013107289081742,3.3333333314111417,1.1111111104703806,0.3703703701567934
0.18574090746385719,3.3333333314089355,1.1111111104696452,0.37037037015654833
0.22979709690469652,3.3333333314062137,1.1111111104687381,0.37037037015624596
0.2843030459302665,3.333333331402858,1.1111111104676195,0.3703703701558731
0.351737350096938,3.333333331398724,1.1111111104662414,0.3703703701554138
0.43516650709244203,3.3333333313936357,1.1111111104645452,0.3703703701548484
0.538384362203349,3.333333331387382,1.1111111104624607,0.3703703701541535
0.6660846290809168,3.333333331379705,1.1111111104599016,0.3703703701533006
0.8240743309893666,3.333333331370299,1.1111111104567664,0.3703703701522554
1.01953786853273,3.333333331358802,1.111111110452934,0.37037037015097796
1.261363722037445,3.333333331344786,1.111111110448262,0.3703703701494207
1.560548645007075,3.333333331327757,1.1111111104425857,0.3703703701475285
1.9306977288832536,3.3333333313071503,1.1111111104357168,0.37037037014523894
2.3886430789846003,3.3333333312823386,1.1111111104274463,0.37037037014248203
2.955209235202888,3.333333331252639,1.1111111104175464,0.3703703701391821
3.656160144085201,3.3333333312173408,1.1111111104057803,0.37037037013526003
4.523370744772105,3.3333333311757385,1.111111110391913,0.3703703701306376
5.596276445319552,3.333333331127191,1.1111111103757303,0.3703703701252434
6.923666402678735,3.3333333310711897,1.1111111103570632,0.370370370119021
8.5659021536855,3.333333331007446,1.1111111103358153,0.37037037011193846
10.597662486760708,3.333333330935979,1.111111110311993,0.3703703701039977
13.111339374215657,3.333333330857203,1.1111111102857345,0.3703703700952448
16.22123939129173,3.3333333307719766,1.1111111102573255,0.3703703700857752
20.068781676649706,3.3333333306816177,1.111111110227206,0.37037037007573526
24.8289288056033,3.3333333305878456,1.1111111101959485,0.37037037006531615
30.718143012686966,3.333333330492669,1.111111110164223,0.37037037005474094
38.004229563658896,3.333333330398219,1.1111111101327396,0.37037037004424656
47.01851489299857,3.333333330306565,1.1111111101021882,0.37037037003406276
58.170913293743695,3.3333333302195336,1.1111111100731779,0.3703703700243926
71.96856730011528,3.3333333301385792,1.111111110046193,0.37037037001539763
89.03890941296736,3.3333333300647094,1.1111111100215698,0.3703703700071899
110.15819387358995,3.3333333299984766,1.1111111099994921,0.37037036999983075
136.28679593557726,3.333333329940018,1.111111109980006,0.3703703699933353
168.61288382868838,3.333333329889134,1.1111111099630446,0.3703703699876815
208.6064493471961,3.333333329845376,1.1111111099484587,0.3703703699828195
258.0861540418077,3.3333333298081365,1.1111111099360456,0.3703703699786818
319.3020307691027,3.3333333297767243,1.1111111099255748,0.37037036997519157
395.03780135666403,3.3333333297504257,1.1111111099168085,0.37037036997226946
488.7374631624437,3.3333333297285463,1.1111111099095154,0.37037036996983846
604.6619009070448,3.3333333297104377,1.1111111099034792,0.3703703699678264
748.0826455225093,3.3333333296955154,1.1111111098985051,0.37037036996616846
925.5215909791353,3.3333333296832626,1.1111111098944209,0.370370369964807
1145.0475699382812,3.33333332967323,1.1111111098910766,0.37037036996369227
1416.643274669025,3.3333333296650367,1.1111111098883455,0.3703703699627818
1752.659208536762,3.333333329658357,1.111111109886119,0.37037036996203965
2168.3753109874374,3.3333333296529215,1.1111111098843072,0.3703703699614357
2682.6957952797275,3.333333329648503,1.1111111098828343,0.3703703699609448
3319.008795914677,3.3333333296449155,1.1111111098816384,0.3703703699605462
4106.24991724431,3.333333329642005,1.1111111098806683,0.37037036996022277
5080.2180469130335,3.333333329639646,1.111111109879882,0.3703703699599606
6285.20326924011,3.333333329637734,1.1111111098792448,0.37037036995974826
7776.0009060380435,3.333333329636186,1.1111111098787287,0.37037036995957623
9620.40327106476,3.333333329634933,1.1111111098783109,0.37037036995943695
11902.282447787144,3.333333329633919,1.111111109877973,0.3703703699593243
14725.404276241268,3.3333333296330983,1.1111111098776993,0.3703703699592331
18218.146985669784,3.333333329632434,1.111111109877478,0.37037036995915934
22539.339047347934,3.3333333296318974,1.1111111098772992,0.3703703699590997
27885.481717262915,3.3333333296314627,1.1111111098771542,0.3703703699590514
34499.68470549716,3.3333333296311114,1.1111111098770372,0.3703703699590124
42682.72131163834,3.333333329630828,1.1111111098769426,0.3703703699589808
52806.705745826475,3.3333333296305985,1.1111111098768662,0.37037036995895534
65332.014595937835,3.3333333296304124,1.1111111098768043,0.3703703699589347
80828.22192522723,3.3333333296302623,1.1111111098767543,0.3703703699589181
100000.0,3.3333333296301415,1.111111109876714,0.3703703699589046
