# Fig 5A: calibrated composite responses normalised between their plateaus; midpoints at the reported cascade half-points
glutamine_mM,Y_norm_PII_0.5,Y_norm_PII_5,Y_norm_PII_36
0.01,4.794695515605463e-07,7.690921482080657e-07,3.947457376498599e-05
0.010174634027476068,4.96918857849634e-07,7.970816636772165e-07,4.091111147326413e-05
0.010352317759307388,5.150179193924918e-07,8.261134167887943e-07,4.2401136852535424e-05
0.01053310445370937,5.337919885048328e-07,8.562279133851326e-07,4.394672834596659e-05
0.01071704829896711,5.532673737825202e-07,8.874673536256728e-07,4.555005131224812e-05
0.010904204429677527,5.734714894295917e-07,9.19875711110889e-07,4.7213362082780334e-05
0.011094628943275219,5.944329072289776e-07,9.534988162452077e-07,4.893901223609188e-05
0.011288378916846888,6.161814113098344e-07,9.883844440857443e-07,5.07294531021303e-05
0.01148551242423938,6.387480558938225e-07,1.024582406969362e-06,5.2587240511402986e-05
0.011686088553466515,6.621652261963897e-07,1.0621446522004677e-06,5.4515039803428344e-05
0.011890167424419899,6.864667026859029e-07,1.1011253651248437e-06,5.6515631111152586e-05
0.012097810206889013,7.116877289106216e-07,1.1415810779264394e-06,5.859191493858232e-05
0.012309079138896024,7.378650831147238e-07,1.1835707845018714e-06,6.074691804979192e-05
0.012524037545350732,7.650371538951817e-07,1.227156061816559e-06,6.298379968998485e-05
0.012742749857031334,7.932440201480012e-07,1.2724011981411032e-06,6.53058581590109e-05
0.012965281629896682,8.225275355867159e-07,1.3193733286216754e-06,6.771653776056278e-05
0.013191699564735716,8.52931418130098e-07,1.368142578660746e-06,7.021943615143443e-05
0.013422071527160127,8.845013444747464e-07,1.4187822156144693e-06,7.281831211674612e-05
0.013656466567946111,9.172850501974453e-07,1.4713688093599384e-06,7.551709379944972e-05
0.013894954943731374,9.513324357508337e-07,1.5259824023154562e-06,7.83198874139483e-05
0.014137608138073606,9.866956787466288e-07,1.5827066895461505e-06,8.123098647618327e-05
0.01438449888287663,1.0234293529499504e-06,1.6416292096343399e-06,8.425488158494462e-05
0.014635701180190797,1.0615905544304833e-06,1.7028415470295958e-06,8.739627079097771e-05
0.014891290324394095,1.1012390353710665e-06,1.7664395466814872e-06,9.066007059495469e-05
0.01515134292476053,1.142437346037788e-06,1.8325235417634727e-06,9.405142761566297e-05
0.015415936928422726,1.1852509854923877e-06,1.9011985954196421e-06,9.757573097604968e-05
0.01568515164373548,1.2297485616347433e-06,1.9725747574770373e-06,0.00010123862545533227
0.01595906776404731,1.276001961238449e-06,2.046767337187055e-06,0.00010504602546154494
0.016237767391887217,1.3240865306693297e-06,2.123897193102403e-06,0.00010900412988108584
0.0165213340635737,1.3740812680452059e-06,2.204091041305978e-06,0.0001131194378674403
0.016809852774253637,1.4260690276446615e-06,2.2874817832873244e-06,0.00011739876563529857
0.017103410003378405,1.4801367374392382e-06,2.3742088548691365e-06,0.0001218492643317359
0.01740209374062485,1.5363756306868776e-06,2.464418597688188e-06,0.00012647843906132453
0.01770599351226899,1.5948814926051853e-06,2.5582646548644255e-06,0.00013129416914863692
0.018015200408020255,1.6557549232142838e-06,2.655908392606168e-06,0.00013630472972743239
0.018329807108324356,1.719101617529658e-06,2.7575193496447954e-06,0.00014151881475322215
0.018649907912142973,1.7850326643747343e-06,2.8632757165356227e-06,0.00014694556154321573
0.018975598765218503,1.8536648651924955e-06,2.9733648470372337e-06,0.00015259457695660558
0.019306977288832496,1.9251210743347334e-06,3.087983803940995e-06,0.00015847596533625252
0.019644142809066276,1.99953056242855e-06,3.2073399419165453e-06,0.00016460035834272888
0.019987196386572505,2.077029404558959e-06,3.331651530162179e-06,0.00017097894682303492
0.020336240846866735,2.1577608951318212e-06,3.4611484178504977e-06,0.00017762351486655232
0.0206913808111479,2.2418759914384254e-06,3.5960727456113044e-06,0.0001845464762135985
0.02105272272765707,2.3295337881225687e-06,3.7366797065819693e-06,0.00019176091319662145
0.021420374903583842,2.4209020248974074e-06,3.883238360790115e-06,0.000199280618405976
0.021794447537529855,2.516157630095793e-06,4.0360325070128845e-06,0.00020712013929154155
0.022175052752539316,2.615487302815352e-06,4.195361616541707e-06,0.00021529482592587656
0.02256230462970634,2.719088136668179e-06,4.3615418336802624e-06,0.00022382088217486978
0.022956319242369096,2.8271682883943806e-06,4.5349070482033545e-06,0.00023271542054216274
0.023357214690901226,2.939947694866965e-06,4.715810045434599e-06,0.00024199652097543417
0.023765111138110754,3.0576588423148256e-06,4.904623740080865e-06,0.000251683293946996
0.024180130845257206,3.1805475919182784e-06,5.10174250048693e-06,0.00026179594814779584
0.024602398208697765,3.308874066280848e-06,5.307583570534116e-06,0.0002723558631623064
0.025032039797173253,3.442913601664023e-06,5.522588597020779e-06,0.0002833856675228893
0.0254691843897454,3.58295777129802e-06,5.74722527104651e-06,0.00029490932257684825
0.025913963014396586,3.7293154855275768e-06,5.981989092637074e-06,0.0003069522126355497
0.026366508987303583,3.882314175062753e-06,6.227405268666615e-06,0.00031954124191644896
0.02682695795279726,4.042301064138188e-06,6.484030754989321e-06,0.00033270493883206587
0.027295447924020073,4.2096445409841435e-06,6.752456454654912e-06,0.000346473568228548
0.02777211932429355,4.384735633657616e-06,7.033309585116557e-06,0.0003608792522286393
