# Fig 4A: free-exponent fit and pointwise 2.5-97.5 percentiles over 2,000 coordinate perturbations
glutamine_mM,fit,band_lo,band_hi
0.01,2.9669610626831133,2.8767865382736835,2.999544242033925
0.010216739517934467,2.9669280410997665,2.876775539573057,2.9995226488725257
0.01043817663773238,2.9668935602863504,2.8767640041403886,2.99950003286339
0.010664413174990074,2.9668575558019534,2.876751905788215,2.999476345575111
0.0108955531520502,2.966819960363759,2.876739217051883,2.999451536285007
0.011131702845830671,2.966780703722059,2.8767259091273125,2.999425551870914
0.011372970836690179,2.966739712529813,2.8767119518057296,2.999398336697877
0.011619468058352877,2.9666969102064975,2.87669731340523,2.9993698324995153
0.011871307848915111,2.966652216796011,2.8766819606990084,2.9993399782538113
0.012128606002957657,2.966605548818378,2.876665858840104,2.999308710053058
0.012391480824787469,2.966556819114976,2.8766489712824863,2.999275960967692
0.012660053182833331,2.966505936687023,2.8766312596983012,2.999241660903734
0.012934446565220532,2.9664528065270175,2.8766126838911066,2.9992057364535327
0.013214787136550034,2.9663973294428434,2.876593201704879,2.99916811073951
0.013501203795908278,2.966339401874218,2.876572768928613,2.9991287032505647
0.013793828236134294,2.966278915701156,2.8765513391962854,2.999087429670815
0.014092795004371345,2.9662157580441137,2.876528863881955,2.999044201700315
0.014398241563931016,2.966149811055449,2.8765052919897864,2.9989989268673605
0.014710308357498057,2.966080951701844,2.876480570038725,2.99895150833203
0.015029138871705205,2.9660090515372786,2.876454641941588,2.998901844680511
0.01535487970310756,2.9659339764661916,2.8764274488782857,2.9988498858500705
0.015687680625586876,2.965855586496376,2.876398929162902,2.99879587939318
0.016027694659216836,2.965773735481203,2.876369018104336,2.998739335691218
0.016375078140620784,2.9656882708507113,2.8763376478601907,2.998680138134117
0.016729990794854523,2.965599033331094,2.876261463123236,2.9986181622952452
0.017092595808847005,2.9655058566521,2.87617069846864,2.9985535469994544
0.017463059906432824,2.9654085672418438,2.8760760083516876,2.998486818212818
0.017841553425010922,2.965306983908493,2.875977223291211,2.998417012803537
0.01822825039386481,2.965200917508295,2.8758741665153518,2.998343989090054
0.018623328614180302,2.965090170599365,2.8757666536503255,2.9982675988825345
0.019026969740797563,2.9649745370806566,2.875654492396134,2.9981870845175354
0.019439359365734977,2.9648538018154977,2.8755616444268504,2.998100595394733
0.019860687103523404,2.964727740239055,2.8754921997768257,2.9980099832955993
0.02029114667838989,2.9645961179490743,2.8753345465952087,2.997915051992711
0.020730936013331067,2.96445869027921,2.8751477894893256,2.9978155714322785
0.02118025732111703,2.9643152018542285,2.8750075739208434,2.9977131240202564
0.021639317197267718,2.964165386126372,2.8748628726275456,2.9976061538546297
0.0221083267150444,2.9640089648920918,2.874729222000409,2.997494185118198
0.022587501522500043,2.963845647788392,2.874633078710194,2.997376984716789
0.02307706194163311,2.963675131767948,2.874554792041292,2.9972543087327352
0.02357723306969045,2.9634971005521664,2.874516496610451,2.9971259019267276
0.024088244882665765,2.963311224061309,2.8744760774433917,2.996991497217152
0.024610332341041402,2.9631171578207756,2.8744334166996026,2.9968508151359594
0.025143735497821836,2.962914542342624,2.87438839000183,2.9967035632600374
0.0256886996089088,2.962703002481348,2.8743408660741534,2.9965494356170335
0.026245475245868607,2.9624821467629303,2.8742396498621243,2.996388112064546
0.026814318411143664,2.962251566686149,2.8741089270547366,2.9962192576415334
0.02739549065576092,2.962010835995062,2.873971983958989,2.9960425218907707
0.0279892591995917,2.9617595099216056,2.8738285253634253,2.9958561359285576
0.028595897054217938,2.961497124397167,2.8736782421215326,2.9956604718201594
0.02921568314846142,2.961223195231988,2.873520810501327,2.995455585118897
0.029848902456633786,2.960937217261216,2.8733558915053057,2.99524842264917
0.030495846129566156,2.9606386634563875,2.873183130159477,2.9950220320684946
0.031156811628478727,2.9603269840010897,2.873002154770155,2.9947848772358348
0.03183210286175187,2.9600016053295377,2.8728125761471257,2.994536448511914
0.03252203032466152,2.959661929126752,2.8725303261106645,2.994276994829928
0.03322691124214325,2.9593073312890033,2.8721381243678117,2.99400880750196
0.03394706971465057,2.9589371608431643,2.871729601444344,2.993728083456327
0.03468283686717468,2.958550738823583,2.8713842164076095,2.9934342396126192
0.0354345510014938,2.958147357105056,2.8711228654572944,2.9931266660555336
0.036202557751722604,2.9577262771904835,2.870849017622668,2.9928046662355094
0.03698721024323291,2.9572867289517437,2.870562077985323,2.992467564480622
0.03778886925501882,2.956827909322308,2.8702614235893122,2.9921149263708466
0.038607903385580955,2.95634898094014,2.869946402148699,2.9917458680680284
0.039444689222406085,2.955849070739356,2.869616330698431,2.9913589933668856
0.04029961151512,2.955327268489165,2.8692704941863414,2.9909512629124064
0.04117306335239332,2.954782625278594,2.868908249465836,2.9905243658673397
0.04206544634268162,2.9542141519454868,2.8685388994075955,2.9900774082397388
0.04297717079888272,2.9536208174483085,2.8681517825982743,2.9896094550138437
0.0439086559269964,2.953001547179287,2.8677460503577596,2.9891195283328074
0.04486033001887316,2.952355221217444,2.8673208140661224,2.988606605607269
0.045832630649140324,2.9516806725201192,2.866875143344016,2.9880696175473807
0.04682600487639664,2.9509766850516193,2.866408064156183,2.9875074461158793
0.04784090944876736,2.9502419918476765,2.865918556835439,2.9869189223998016
0.04887781101391459,2.9494752730144853,2.8654055540244747,2.986302824398438
0.04993718633359937,2.9486751536611355,2.8648679385327918,2.9856578747251517
0.05101952250289417,2.947840201764371,2.8642983024165107,2.9849825659067917
0.05212531717414657,2.94696892596471,2.8636120700448497,2.984278395273209
0.05325507878579711,2.9460597732930713,2.862779944865814,2.983548645507611
0.05440932679615668,2.945111126827205,2.861913705419112,2.982787605701512
0.05558859192225047,2.944121303277392,2.861011978462064,2.982045310598797
0.05679341638383888,2.943088550501039,2.8600733376160052,2.981202542502429
0.058024354152727345,2.9420110449460277,2.8591032983014686,2.9803205314506793
0.05928197120747943,2.9408868890228987,2.8583326216450677,2.9793974803997885
0.06056684579365084,2.9397141084061946,2.857329464567369,2.9784315129190464
0.061879568689663544,2.9384906492656224,2.8559383816080866,2.9774206699633616
0.06322074347844259,2.9372143754279603,2.855039243569297,2.9763708979479673
0.0645909868249402,2.9358830654710486,2.853766500618214,2.9752785907288586
0.06599092875967512,2.9344944097515566,2.8526880212448322,2.9741813462831197
0.06742121296841709,2.9330460073686857,2.8514078578634154,2.97298152303213
0.06888249708815022,2.9315353630664376,2.849728191707517,2.9717234176150544
0.07037545300945103,2.929959884077598,2.8483297108816292,2.970404211709616
0.07190076718541984,2.928316876913184,2.8468842832419545,2.969042242236533
0.07345914094730842,2.9266035441017175,2.845366715517986,2.9676064346467217
0.07505129082698839,2.9248169808833877,2.843661124342244,2.966106814981248
0.07667794888640848,2.9229541718649017,2.8422068457791347,2.9645461115144665
0.07833986305419287,2.9210119876416654,2.8410195574071366,2.9629188428752853
0.08003779746953466,2.9189871813947716,2.839391363440806,2.961214497487282
0.08177253283354301,2.9168763854712814,2.837424172180822,2.9594330898562564
0.08354486676820524,2.9146761079572636,2.8358273904535563,2.9576634518865843
0.08535561418312926,2.912382729254201,2.834394080830668,2.9560160017315456
0.08720560765023444,2.909992498670536,2.83300642013559,2.9539939947001406
0.08909569778656384,2.907501531041428,2.830983621191315,2.951861779745258
0.09102675364539327,2.9049058033911335,2.828703173076787,2.9495984078357878
0.09299966311581748,2.9022011516538986,2.8257216927051205,2.9473703122179615
0.09501533333099649,2.8993832674707907,2.8237773807991804,2.9449557136790245
0.09707469108525071,2.8964476950815428,2.820961895969531,2.942373264267091
