# Fig 3A: curves of constant local coefficient nu*eta = c; reference lines nu = 1 (independent ladder) and nu = 3 (trimer ceiling)
nu,eta_c1,eta_c2,eta_c3,eta_c4,eta_c6
0.55,1.8181818181818181,3.6363636363636362,5.454545454545454,7.2727272727272725,10.909090909090908
0.5581939799331104,1.791491911324146,3.582983822648292,5.374475733972439,7.165967645296584,10.748951467944877
0.5663879598662208,1.7655742545025093,3.5311485090050185,5.296722763507528,7.062297018010037,10.593445527015056
0.5745819397993311,1.7403958090803258,3.4807916181606515,5.221187427240977,6.961583236321303,10.442374854481955
0.5827759197324415,1.715925394548063,3.431850789096126,5.147776183644189,6.863701578192252,10.295552367288378
0.5909698996655519,1.6921335597057157,3.3842671194114313,5.076400679117147,6.768534238822863,10.152801358234294
0.5991638795986622,1.6689924644152943,3.3379849288305885,5.006977393245883,6.675969857661177,10.013954786491766
0.6073578595317726,1.64647577092511,3.29295154185022,4.93942731277533,6.58590308370044,9.87885462555066
0.615551839464883,1.6245585438739472,3.2491170877478943,4.8736756316218415,6.498234175495789,9.747351263243683
0.6237458193979933,1.6032171581769437,3.2064343163538873,4.809651474530831,6.412868632707775,9.619302949061662
0.6319397993311038,1.582429214077798,3.164858428155596,4.7472876422333945,6.329716856311192,9.494575284466789
0.6401337792642141,1.5621734587251828,3.1243469174503655,4.686520376175548,6.248693834900731,9.373040752351097
0.6483277591973244,1.5424297136961567,3.0848594273923133,4.62728914108847,6.169718854784627,9.25457828217694
0.6565217391304349,1.5231788079470197,3.0463576158940393,4.5695364238410585,6.092715231788079,9.139072847682117
0.6647157190635452,1.5044025157232703,3.0088050314465407,4.513207547169811,6.017610062893081,9.026415094339622
0.6729096989966555,1.4860834990059641,2.9721669980119283,4.458250497017892,5.944333996023857,8.916500994035784
0.681103678929766,1.4682052541124477,2.9364105082248955,4.404615762337343,5.872821016449791,8.809231524674686
0.6892976588628763,1.450752062105774,2.901504124211548,4.352256186317321,5.803008248423096,8.704512372634643
0.6974916387959866,1.4337089426995924,2.8674178853991847,4.301126828098777,5.7348357707983695,8.602253656197554
0.7056856187290971,1.4170616113744074,2.834123222748815,4.251184834123222,5.66824644549763,8.502369668246445
0.7138795986622074,1.4007964394471772,2.8015928788943545,4.202389318341532,5.603185757788709,8.404778636683064
0.7220735785953178,1.384900416859657,2.769800833719314,4.154701250578971,5.539601667438628,8.309402501157942
0.7302675585284282,1.3693611174719487,2.7387222349438973,4.1080833524158455,5.477444469887795,8.216166704831691
0.7384615384615385,1.3541666666666665,2.708333333333333,4.0625,5.416666666666666,8.125
0.7466555183946488,1.339305711086226,2.678611422172452,4.0179171332586785,5.357222844344904,8.035834266517357
0.7548494983277593,1.3247673903411608,2.6495347806823215,3.9743021710234823,5.299069561364643,7.9486043420469645
0.7630434782608696,1.3105413105413104,2.621082621082621,3.9316239316239314,5.242165242165242,7.863247863247863
0.77123745819398,1.2966175195143104,2.5932350390286207,3.889852558542931,5.1864700780572415,7.779705117085862
0.7794314381270904,1.282986483587213,2.565972967174426,3.848959450761639,5.131945934348852,7.697918901523278
0.7876254180602007,1.2696390658174097,2.5392781316348194,3.8089171974522293,5.078556263269639,7.617834394904459
0.7958193979933111,1.2565665055683966,2.513133011136793,3.76969951670519,5.026266022273586,7.53939903341038
0.8040133779264215,1.2437603993344426,2.487520798668885,3.7312811980033276,4.97504159733777,7.462562396006655
0.8122073578595319,1.2312126827259624,2.462425365451925,3.693638048177887,4.92485073090385,7.387276096355774
0.8204013377926422,1.2189156135344474,2.437831227068895,3.6567468406033425,4.87566245413779,7.313493681206685
0.8285953177257526,1.2068617558022199,2.4137235116044398,3.6205852674066596,4.8274470232088795,7.241170534813319
0.8367892976588629,1.1950439648281375,2.390087929656275,3.5851318944844124,4.78017585931255,7.170263788968825
0.8449832775919733,1.1834553730457154,2.3669107460914307,3.550366119137146,4.733821492182861,7.100732238274292
0.8531772575250838,1.1720893767150136,2.344178753430027,3.5162681301450407,4.688357506860054,7.032536260290081
