# per n: circulation threshold (proved for omega above it; all omega at n = 1) and F(0) = 1 - delta^2
n,circulation_threshold,F0
1,0.5533985905294663,0.8163263946145115
2,0.5031152949374527,0.9876540801331309
3,0.5020790110464022,0.9917352933374048
4,0.5138701197773617,0.946745349981785
6,0.5486726407127174,0.8304496838103536
