# Fig 2A: nu*eta = 2.0179, the fitted first-layer coefficient; constrains the product only
nu,eta
0.55,3.668897465816816
0.5581939799331104,3.6150400734186663
0.5663879598662208,3.562740999430619
0.5745819397993311,3.5119335753991585
0.5827759197324415,3.46255488237346
0.5909698996655519,3.414545490965339
0.5991638795986622,3.36784922273835
0.6073578595317726,3.322412930911759
0.615551839464883,3.2781862985796
0.6237458193979933,3.2351216528341844
0.6319397993311038,3.1931737933504913
0.6401337792642141,3.1522998341357127
0.6483277591973244,3.112459057279213
0.6565217391304349,3.0736127776544846
0.6647157190635452,3.035724217628052
0.6729096989966555,2.998758390922343
0.681103678929766,2.9626819948616516
0.6892976588628763,2.9274633103036165
0.6974916387959866,2.893072108624193
0.7056856187290971,2.8594795651828218
0.7138795986622074,2.8266581787471323
0.7220735785953178,2.7945816964037764
0.7302675585284282,2.763225043524504
0.7384615384615385,2.732564258394816
0.7466555183946488,2.7025764311470346
0.7548494983277593,2.6732396466706927
0.7630434782608696,2.6445329312012946
0.77123745819398,2.6164362023138565
0.7794314381270904,2.5889302220706947
0.7876254180602007,2.5619965530937385
0.7958193979933111,2.5356175173506004
0.8040133779264215,2.509776157460796
0.8122073578595319,2.4844562003441437
0.8204013377926422,2.4596420230475964
0.8285953177257526,2.435318620599699
0.8367892976588629,2.4114715757536986
0.8449832775919733,2.388087030491096
0.8531772575250838,2.3651516591672888
0.8613712374581941,2.3426526431899646
0.8695652173913044,2.320577647129136
0.8777591973244148,2.298914796165271
0.8859531772575251,2.2776526547888842
0.8941471571906355,2.2567802066713125
0.902341137123746,2.236286835632229
0.9105351170568563,2.216162307634804
0.9187290969899666,2.196396753744359
0.926923076923077,2.1769806539908907
0.9351170568561874,2.1579048220800265
0.9433110367892977,2.139160390900817
0.9515050167224082,2.1207387987823387
0.9596989966555185,2.102631776454349
0.9678929765886288,2.0848313346702674
0.9760869565217392,2.0673297524535736
0.9842809364548496,2.0501195659312788
0.99247491638796,2.033193557720557
1.0006688963210704,2.016544746836816
1.0088628762541807,2.00016637909357
1.017056856187291,1.9840519179663776
1.0252508361204016,1.9681950358948794
1.0334448160535117,1.952589605998626
1.0416387959866222,1.937229694183899
1.0498327759197326,1.9221095516201827
1.058026755852843,1.9072236075662254
1.0662207357859534,1.8925664625268988
1.0744147157190636,1.878132881723192
1.082608695652174,1.8639177888587437
1.0908026755852844,1.849916260167332
1.0989966555183948,1.8361235187266445
1.107190635451505,1.8225349290245443
1.1153846153846154,1.8091459917648438
1.123578595317726,1.7959523389003582
1.1317725752508363,1.7829497288817238
1.1399665551839466,1.7701340421111202
1.148160535117057,1.7575012765906652
1.1563545150501673,1.745047543755822
1.1645484949832778,1.732769064484708
1.172742474916388,1.7206621652747054
1.1809364548494985,1.7087232745782366
1.1891304347826088,1.6969489192900447
1.1973244147157192,1.6853357213787021
1.2055183946488297,1.673880394655501
1.2137123745819398,1.6625797416742227
1.2219063545150504,1.6514306507556462
1.2301003344481607,1.6404300931309825
1.238294314381271,1.629575120198718
1.2464882943143816,1.6188628608896574
1.2546822742474917,1.6082905191352137
1.2628762541806022,1.5978553714342567
1.2710702341137126,1.587554764514078
1.279264214046823,1.5773861130812428
1.2874581939799332,1.5673468976583333
1.2956521739130435,1.557434662502776
1.303846153846154,1.5476470136041434
1.3120401337792642,1.5379816167565012
1.3202341137123748,1.528436195702534
1.328428093645485,1.519008530346363
1.3366220735785954,1.5096964550320915
1.344816053511706,1.5004978568852905
1.353010033444816,1.491410674214746
1.3612040133779266,1.4824328949719296
1.369397993311037,1.4735625552657843
1.3775919732441473,1.464797737930506
1.3857859531772578,1.456136571144142
1.393979933110368,1.4475772270959104
1.4021739130434785,1.4391179207002394
1.4103678929765888,1.4307569083556446
1.4185618729096992,1.4224924867466118
1.4267558528428095,1.4143229916867683
1.4349498327759198,1.4062467970016908
1.4431438127090304,1.398262313449769
1.4513377926421407,1.3903679876796298
1.459531772575251,1.382562301222675
1.4677257525083613,1.3748437695193696
1.4759197324414717,1.3672109409779638
1.4841137123745822,1.359662396064395
1.4923076923076923,1.3521967464221771
1.5005016722408029,1.3448126340211197
1.5086956521739132,1.337508730333796
1.5168896321070235,1.3302837355386956
1.525083612040134,1.3231363777490686
1.5332775919732442,1.3160654122664968
1.5414715719063548,1.3090696208582673
1.549665551839465,1.3021478110576785
1.5578595317725754,1.295298815486422
1.5660535117056857,1.288521491198239
1.574247491638796,1.281814719043075
1.5824414715719066,1.2751774030509888
1.590635451505017,1.2686084698351037
1.5988294314381273,1.2621068680129177
1.6070234113712376,1.255671567645318
1.615217391304348,1.2493015596926709
1.6234113712374585,1.2429958554873821
1.6316053511705688,1.236753486222354
1.6397993311036791,1.2305735024547733
1.6479933110367895,1.224454973624709
1.6561872909698998,1.2183969875879956
1.6643812709030101,1.2123986501629165
1.6725752508361207,1.2064590846902126
1.680769230769231,1.2005774316059603
1.6889632107023413,1.1947528480268819
1.6971571906354517,1.1889845073476704
1.705351170568562,1.1832715988499223
1.7135451505016726,1.1776133273222902
1.7217391304347829,1.1720089126914828
1.7299331103678932,1.1664575896637512
1.7381270903010035,1.160958607376516
1.7463210702341139,1.1555112290598015
1.7545150501672242,1.1501147317071585
1.7627090301003348,1.1447684057557639
1.770903010033445,1.139471554775402
1.7790969899665554,1.1342234951660408
1.7872909698996657,1.1290235558637263
1.795484949832776,1.1238710780545318
1.8036789297658864,1.1187654148963015
1.811872909698997,1.1137059312479471
1.8200668896321073,1.1086920034060554
1.8282608695652176,1.1037230188485783
1.836454849498328,1.0987983759853859
1.8446488294314383,1.0939174839154662
1.8528428093645488,1.0890797621905692
1.8610367892976591,1.0842846405850937
1.8692307692307695,1.079531558872026
1.8774247491638798,1.0748199666047482
1.8856187290969901,1.0701493229045325
1.8938127090301005,1.0655190962535548
1.902006688963211,1.0609287642932572
1.9102006688963213,1.0563778136279005
1.9183946488294317,1.051865739633151
1.926588628762542,1.0473920462695518
1.9347826086956523,1.0429562459007353
1.9429765886287629,1.0385578591162326
1.9511705685618732,1.034196414558751
1.9593645484949835,1.0298714487557827
1.9675585284280939,1.025582505955423
1.9757525083612042,1.0213291379662723
1.9839464882943145,1.017110904001307
1.992140468227425,1.0129273705256028
2.0003344481605354,1.0087781111078002
2.008528428093646,1.0046627062752065
2.016722408026756,1.00058074337243
2.024916387959866,0.9965318164234461
2.033110367892977,0.9925155259969983
2.0413043478260873,0.9885314790752443
2.0494983277591974,0.9845792889255474
2.057692307692308,0.9806585749753358
2.0658862876254185,0.976768962689939
2.0740802675585286,0.9729100834533184
2.082274247491639,0.9690815744516147
2.0904682274247497,0.9652830785594357
2.09866220735786,0.9615142442288054
2.10685618729097,0.9577747253807055
2.1150501672240805,0.9540641812991388
2.123244147157191,0.9503822765276448
2.131438127090301,0.9467286807682024
2.1396321070234117,0.9431030687824546
2.147826086956522,0.9395051202951967
2.1560200668896323,0.9359345199000626
2.1642140468227424,0.9323909569673551
2.1724080267558534,0.9288741255539609
2.1806020066889635,0.9253837243152996
2.1887959866220736,0.9219194564192458
2.196989966555184,0.9184810294619811
2.2051839464882947,0.9150681553857213
2.213377926421405,0.9116805503982705
2.2215719063545154,0.9083179348943551
2.229765886287626,0.904980033378694
2.237959866220736,0.9016665743907575
2.246153846153846,0.8983772904311724
2.2543478260869567,0.8951119178897343
2.2625418060200673,0.891870196974982
2.2707357859531774,0.8886518716452985
2.278929765886288,0.8854566895414959
2.2871237458193985,0.882284401920853
2.2953177257525086,0.8791347635925622
2.3035117056856187,0.876007532854556
2.3117056856187297,0.8729024714316772
2.31989966555184,0.8698193444151594
2.32809364548495,0.8667579202033837
2.3362876254180605,0.8637179704438843
2.344481605351171,0.8606992699765696
2.352675585284281,0.8577015967781297
2.3608695652173917,0.8547247319076007
2.369063545150502,0.8517684594530603
2.3772575250836123,0.8488325664794251
2.3854515050167224,0.8459168429773227
2.393645484949833,0.8430210818130157
2.4018394648829435,0.8401450786793502
2.4100334448160536,0.8372886320477039
2.418227424749164,0.834451543120912
2.4264214046822747,0.8316336157871472
2.434615384615385,0.8288346565747309
2.4428093645484954,0.8260544746078523
2.451003344481606,0.8232928815631784
2.459197324414716,0.8205496916273295
2.467391304347826,0.8178247214552022
2.4755852842809367,0.815117790129121
2.4837792642140473,0.812428719118798
2.4919732441471574,0.8097573322420821
2.500167224080268,0.8071034556264803
2.5083612040133785,0.8044669176714337
2.5165551839464886,0.8018475490113302
2.5247491638795987,0.7992451824792363
2.5329431438127092,0.7966596530713348
2.54113712374582,0.7940907979120497
2.54933110367893,0.7915384562198431
2.557525083612041,0.7890024692736698
2.565719063545151,0.7864826803800761
2.573913043478261,0.7839789348409244
2.582107023411371,0.7814910799217349
2.590301003344482,0.7790189648206266
2.5984949832775923,0.7765624406378472
2.6066889632107024,0.7741213603458755
2.6148829431438134,0.7716955787600887
2.6230769230769235,0.7692849525099775
