enzyme_target_ratio,G_over_K,total_fraction_lambda1,total_fraction_lambda4,gap,rigorous_pairwise_bound
1.000000000000000048e-04,4.336244396414017821e+00,8.726023618281980587e-01,8.725982407406684960e-01,4.121087529562750262e-06,1.000000000000000048e-04
1.000000000000000048e-04,4.781762498950185680e+00,8.509283672269100096e-01,8.509243814289787489e-01,3.985797931260748328e-06,1.000000000000000048e-04
1.000000000000000048e-04,5.273054400548867093e+00,8.263591175024013191e-01,8.263553882548769769e-01,3.729247524342227393e-06,1.000000000000000048e-04
1.000000000000000048e-04,5.814823031727796021e+00,7.988106996509395374e-01,7.988073124933622315e-01,3.387157577305899281e-06,1.000000000000000048e-04
1.000000000000000048e-04,6.412254515483961193e+00,7.682997847785852930e-01,7.682967875006039282e-01,2.997277981364732113e-06,1.000000000000000048e-04
1.000000000000000048e-04,7.071067811865474617e+00,7.349667963584384234e-01,7.349642029520664366e-01,2.593406371986795023e-06,1.000000000000000048e-04
1.000000000000000048e-04,7.797569463168178672e+00,6.990919971881816020e-01,6.990897952880050781e-01,2.201900176523885477e-06,1.000000000000000048e-04
1.000000000000000048e-04,8.598713963809681005e+00,6.610998998034286478e-01,6.610980591916313376e-01,1.840611797310209852e-06,1.000000000000000048e-04
1.000000000000000048e-04,9.482170332776291843e+00,6.215484079720908772e-01,6.215468884047233855e-01,1.519567367491703180e-06,1.000000000000000048e-04
1.000000000000000048e-04,1.045639552591272725e+01,5.811013917124189243e-01,5.811001491474914182e-01,1.242564927506073502e-06,1.000000000000000048e-04
1.000000000000000048e-04,1.153071539079968311e+01,5.404866212362184896e-01,5.404856122164527488e-01,1.009019765740859498e-06,1.000000000000000048e-04
1.000000000000000048e-04,1.271541393916609408e+01,5.004442829410519211e-01,5.004434673019553248e-01,8.156390965963211670e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.402183179140337721e+01,4.616736022798688110e-01,4.616729445416227207e-01,6.577382460903891115e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.546247473554957885e+01,4.247855779248977393e-01,4.247850477583848816e-01,5.301665128576438235e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.705113343993265929e+01,3.902683099880228101e-01,3.902678820947187432e-01,4.278933040668952970e-07,1.000000000000000048e-04
1.000000000000000048e-04,1.880301546543196523e+01,3.584684412078976701e-01,3.584680948731135408e-01,3.463347841292652163e-07,1.000000000000000048e-04
1.000000000000000048e-04,2.073489084105543157e+01,3.295888414743075590e-01,3.295885599735955407e-01,2.815007120182677625e-07,1.000000000000000048e-04
1.000000000000000048e-04,2.286525259636630025e+01,3.036998582663519852e-01,3.036996282391339341e-01,2.300272180510987141e-07,1.000000000000000048e-04
1.000000000000000048e-04,2.521449378746882530e+01,2.807598375021552184e-01,2.807596483580962476e-01,1.891440589707471531e-07,1.000000000000000048e-04
1.000000000000000048e-04,2.780510271114779997e+01,2.606402801910474576e-01,2.606401235817310535e-01,1.566093164040438523e-07,1.000000000000000048e-04
1.000000000000000048e-04,3.066187817586519060e+01,2.431516342886305970e-01,2.431515036562925114e-01,1.306323380856344585e-07,1.000000000000000048e-04
1.000000000000000048e-04,3.381216689031207068e+01,2.280668620736117369e-01,2.280667522766071931e-01,1.097970045438323439e-07,1.000000000000000048e-04
1.000000000000000048e-04,3.728612524193668776e+01,2.151411486193424427e-01,2.151410556277147668e-01,9.299162767595348100e-08,1.000000000000000048e-04
1.000000000000000048e-04,4.111700797134443519e+01,2.041271521273965717e-01,2.041270727792421080e-01,7.934815446364318348e-08,1.000000000000000048e-04
