G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
1.000000000000000000e+00,1.000000000000000048e-04,4.000000000000000000e+00,9.893673748053323225e-01,9.885916853426796047e-01,9.893730667424024405e-01,2.980285424914255743e-18
1.000000000000000000e+00,1.778279410038922698e-04,1.000000000000000000e+00,9.893568134321033547e-01,9.884738871772713598e-01,9.893730667424024405e-01,6.988021814847977797e-18
1.000000000000000000e+00,1.778279410038922698e-04,4.000000000000000000e+00,9.893629364104428170e-01,9.885924480814508586e-01,9.893730667424024405e-01,3.183996848728914975e-18
1.000000000000000000e+00,3.162277660168379394e-04,1.000000000000000000e+00,9.893441861645930757e-01,9.884674296941273752e-01,9.893730667424024405e-01,2.958262568285643934e-18
1.000000000000000000e+00,3.162277660168379394e-04,4.000000000000000000e+00,9.893550313715868683e-01,9.885931216029062440e-01,9.893730667424024405e-01,3.342392009865469138e-18
1.000000000000000000e+00,5.623413251903490971e-04,1.000000000000000000e+00,9.893217893470411806e-01,9.884563166371201914e-01,9.893730667424024405e-01,1.021521734388686209e-17
1.000000000000000000e+00,5.623413251903490971e-04,4.000000000000000000e+00,9.893409564974882109e-01,9.885925517339352320e-01,9.893730667424024405e-01,4.768520207333853261e-17
1.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000000e+00,9.892821722484951286e-01,9.884371900078615658e-01,9.893730667424024405e-01,1.528386250025659532e-17
1.000000000000000000e+00,1.000000000000000021e-03,4.000000000000000000e+00,9.893159552481513019e-01,9.885875020161927207e-01,9.893730667424024405e-01,1.340516142269668632e-15
1.000000000000000000e+00,1.778279410038922752e-03,1.000000000000000000e+00,9.892124659199961201e-01,9.884036594130276576e-01,9.893730667424024405e-01,1.883801274693563954e-18
1.000000000000000000e+00,1.778279410038922752e-03,4.000000000000000000e+00,9.892718407735207053e-01,9.885708369545113117e-01,9.893730667424024405e-01,2.024468840925385503e-14
1.000000000000000000e+00,3.162277660168379394e-03,1.000000000000000000e+00,9.890910074378651551e-01,9.883425602484396943e-01,9.893730667424024405e-01,1.567231180986741745e-16
1.000000000000000000e+00,3.162277660168379394e-03,4.000000000000000000e+00,9.891950368736983634e-01,9.885298041675405489e-01,9.893730667424024405e-01,6.927035442645668173e-18
