pool_scale,total_G_uM,free_G_reference,free_G_transformed,free_PII_TV,total_GS_gap
1,10.0,9.984469954528413,9.994853090361934,3.0119954589911488e-06,1.19475389331731e-07
1,11.931663584704934,11.912891378208815,11.925185017124099,3.951283922705144e-06,1.4976367826235277e-07
1,14.236459589857388,14.213708308200838,14.228237763653622,5.211115327739374e-06,1.886920113868657e-07
1,16.986464646342473,16.95880053037448,16.97593256986728,6.902647847983128e-06,2.3890818652425516e-07
1,20.267678165364227,20.233902433578862,20.25404163695891,9.171342060952846e-06,3.0382714689036923e-07
1,24.182711751219564,24.14126029227283,24.16483725621287,1.2201873893426138e-05,3.8776078906889075e-07
1,28.853998118144272,28.802790021400913,28.83023416202055,1.6216368800600663e-05,4.959651691082518e-07
1,34.42761986194067,34.363824067341525,34.39550760599323,2.145437329824294e-05,6.344720496014012e-07
1,41.07787782147818,40.9975507558175,41.03367954325724,2.810946704809292e-05,8.094644175985063e-07
1,49.01274189394899,48.91027207434121,48.95068175460658,3.617231898288232e-05,1.0258196644661135e-06
1,58.480354764257314,58.34765312448706,58.39145066963928,4.5094174097173166e-05,1.2843510349571752e-06
1,69.77679193613147,69.60224987596341,69.64725191815265,5.317601720307254e-05,1.5773009283419261e-06
1,83.25532074018732,83.02285406622234,83.06491475688173,5.6770259003926345e-05,1.8810240576713462e-06
1,99.33744787086225,99.026603974679,99.05937050528543,5.01171924501475e-05,2.1388374025744193e-06
1,118.52610093582918,118.11497649022519,118.1312607535013,2.7885084209577972e-05,2.2057892187540666e-06
1,141.4213562373095,140.89346824997892,140.88897674854164,8.460710806855118e-06,1.7086546444514995e-06
1,168.7392046316289,168.09162608809308,168.0686417673226,4.6465229866182034e-05,1.2407725416465482e-07
1,201.33394232152818,200.57997721253483,200.5464753892874,7.02679318634003e-05,4.326778613337676e-06
1,240.22488679628626,239.38811282792224,239.3527984677146,7.34673550396392e-05,1.1245431778869608e-05
1,286.62825339271126,285.7333181511618,285.70192364299686,6.114265453082551e-05,1.874004644746019e-05
1,341.9951893353393,341.0620193219326,341.0368494585846,4.273265686725782e-05,2.1945503944742484e-05
1,408.05715467367395,407.0996176926635,407.08071714889064,2.5727811987199395e-05,1.574357089884071e-05
1,486.88006928981815,485.9069262381365,485.89345343568925,1.5883437847464404e-05,1.594251430425686e-06
1,580.9289192863941,579.9453312374235,579.9364185511457,9.457208664437333e-06,2.2245717535174236e-05
1,693.1448431551464,692.1536199406512,692.1487057158467,4.226838256266019e-06,3.6244277155761395e-05
1,827.037108400027,826.039521378194,826.0384333362754,6.892355473714362e-07,4.2209398305903534e-05
1,986.7928549496274,985.789143914171,985.7920782309682,1.2624012656059502e-06,4.3159922536673e-05
1,1177.4080373049494,1176.3977733793608,1176.4052029754412,2.3051871706151333e-06,4.154778319165331e-05
1,1404.8436603050366,1403.8260475080044,1403.8385832983126,2.887274029696532e-06,3.873236909979205e-05
1,1676.2121943865202,1675.1863153602924,1675.204563233264,2.946476507732776e-06,3.547378982615701e-05
1,2000.0,1998.9649833375488,1998.9894385797218,2.6499722164535777e-06,3.2204034823068994e-05
10,10.0,9.874449191045363,9.959732946944035,2.4638941426767424e-05,8.446466472909243e-08
10,11.931663584704934,11.780213642843995,11.88135106748445,3.236174405479143e-05,1.0043976610638942e-07
10,14.236459589857388,14.053300100213827,14.173073829051058,4.274935446705301e-05,1.1940987820844773e-07
10,16.986464646342473,16.76422307785776,16.905817004706122,5.674821478033381e-05,1.41978187178011e-07
10,20.267678165364227,19.996845399629816,20.163845265024097,7.561497474391843e-05,1.6895810772598195e-07
10,24.182711751219564,23.850766896605638,24.047107296188763,0.00010097850086499228,2.0157267150600433e-07
10,28.853998118144272,28.444035801734046,28.673837748105584,0.00013486122556652624,2.4193702452773605e-07
10,34.42761986194067,33.916151408195624,34.183342106728354,0.00017957105910618664,2.94242286308591e-07
10,41.07787782147818,40.43128222066388,40.73879278419223,0.00023726286101560736,3.6762851419416576e-07
10,49.01274189394899,48.18161215001402,48.52979353704598,0.00030875437552120675,4.828514375915195e-07
10,58.480354764257314,57.39090130366676,57.7746180289244,0.00039086470362388213,6.861531519874705e-07
10,69.77679193613147,68.31911150385237,68.72300618523055,0.00047140745753618653,1.0709332722133504e-06
10,83.25532074018732,81.27103433852034,81.66344976989429,0.000522211432024477,1.7812184482338014e-06
10,99.33744787086225,96.61562563581705,96.94486966587219,0.0004956842043069242,2.8666158715480103e-06
10,118.52610093582918,114.82510901943989,115.02678249987603,0.0003396631720956672,3.634867797845274e-06
10,141.4213562373095,136.53330788862212,136.55710451988105,4.414247237895893e-05,1.1598922513861992e-06
10,168.7392046316289,162.58269175522105,162.42901233548614,0.0003072216660149595,1.0863760112079027e-05
10,201.33394232152818,194.0101405435434,193.74002764960758,0.0005643121287123786,4.013496593246579e-05
10,240.22488679628626,231.9769027351715,231.6736928293934,0.0006341902765803857,9.455330686000338e-05
10,286.62825339271126,277.73468319528496,277.45765714684137,0.0005478175552961107,0.0001794275166968548
10,341.9951893353393,332.68614074117147,332.4597583381983,0.00039382121933410636,0.00027539093102249557
10,408.05715467367395,398.49020445850346,398.3170920747549,0.00024324503940427802,0.0003188716765132049
10,486.88006928981815,477.15275707601586,477.0268249162341,0.00014917863746027882,0.00024957927116708856
10,580.9289192863941,571.0989966278903,571.0123066996571,9.323014514448641e-05,0.00011485140147171613
10,693.1448431551464,683.2461593347897,683.1915486741802,4.7864866655616956e-05,1.2945423886190355e-05
10,827.037108400027,817.0895631639285,817.0614155015659,1.82161216008489e-05,3.4140484853950603e-05
