IDH_dimer_uM,AceK_uM,bound_fraction_cap,interval_low,interval_high,width,sampled_low,sampled_high,max_rhs,max_conservation_error
0.1,0.0001,0.001,0.15475023571300106,0.15576760576974644,0.0010173700567453758,0.15483027609620303,0.15515503830068902,3.5236570605778894e-19,3.674401820134843e-15
0.1,0.001,0.01,0.15320172661385467,0.16337330301506403,0.010171576401209359,0.1540615924987182,0.15728693543366723,2.168404344971009e-18,2.607506224827638e-15
0.1,0.010000000000000002,0.10000000000000002,0.13791957403015034,0.23943027546824008,0.10151070143808974,0.14656162202642728,0.17110851223073792,1.9081958235744878e-17,2.975050761300224e-15
1.0,0.001,0.001,0.15459446958307152,0.15576760576974644,0.0011731361866749168,0.15477655891043576,0.15550924987680592,1.734723475976807e-17,6.417826339810695e-15
1.0,0.01,0.01,0.15171153143316538,0.16337330301506403,0.011661771581898656,0.1534546225262425,0.16073254851089575,1.249000902703301e-16,1.7307336119820604e-14
1.0,0.1,0.1,0.1279388769979142,0.23943027546824006,0.11149139847032585,0.1411047462398607,0.1992725743730572,4.830583089696163e-16,2.1871393585115584e-14
10.0,0.01,0.001,0.1530907271734669,0.15576760576974644,0.002676878596279547,0.15470033395198962,0.15559345620154832,3.0531133177191805e-16,1.0848787146411354e-13
10.0,0.1,0.01,0.14073276469770563,0.16337330301506403,0.022640538317358405,0.15314408170030777,0.16066533767913382,1.3436402176616394e-15,2.3224477896377493e-13
10.0,1.0,0.1,0.10555881354027356,0.23943027546824006,0.1338714619279665,0.1393597592885744,0.22242804463928714,5.615520910140181e-15,2.298161660974074e-13
